DATE,GT_INTEREST_RATE
2002-01-03,4.62
2002-01-04,6.29
2002-01-09,5.13
2002-01-11,4.45
2002-02-05,5.69
2002-02-06,5.78
2002-02-08,5.35
2002-02-11,5.31
2002-02-13,3.57
2002-03-05,6.64
2002-03-06,3.87
2002-03-07,5.83
2002-03-08,5.08
2002-03-11,7.49
2002-03-13,2.34
2002-04-02,4.85
2002-04-03,4.23
2002-04-05,7.39
2002-04-09,4.39
2002-04-10,5.26
2002-04-11,3.75
2002-04-12,5.08
2002-05-02,4.89
2002-05-03,4.81
2002-05-06,4.71
2002-05-07,4.08
2002-05-08,4.96
2002-05-09,5.04
2002-06-03,5.43
2002-06-05,3.52
2002-06-06,5.34
2002-06-11,5.43
2002-06-12,2.73
2002-07-01,4.95
2002-07-02,4.45
2002-07-03,4.74
2002-07-05,6.44
2002-07-08,7.07
2002-07-10,5.47
2002-07-11,6.77
2002-08-01,5.52
2002-08-02,4.47
2002-08-05,4.58
2002-08-07,3.75
2002-08-08,10.71
2002-09-03,6.57
2002-09-04,6.79
2002-09-05,5.3
2002-09-09,5.29
2002-09-10,5.81
2002-09-12,4.27
2002-10-01,5.15
2002-10-04,7.62
2002-10-07,3.81
2002-10-09,5.38
2002-10-10,5.76
2002-11-04,3.93
2002-11-05,7.94
2002-11-07,5.37
2002-11-08,4.61
2002-11-12,6.07
2002-11-13,3.52
2002-12-03,5.3
2002-12-04,4.92
2002-12-05,3.58
2002-12-09,5.41
2002-12-10,4.45
2002-12-12,7.71
2002-12-13,2.27
2003-01-09,1.8
2003-01-10,1.58
2003-01-13,1.87
2003-02-05,3.25
2003-02-06,2.58
2003-02-07,1.75
2003-02-10,1.83
2003-02-11,2.02
2003-02-13,2.39
2003-03-03,2.31
2003-03-04,4.39
2003-03-05,1.94
2003-03-07,1.2
2003-03-10,2.49
2003-03-11,1.65
2003-03-12,1.72
2003-03-13,1.94
2003-04-03,1.61
2003-04-04,4.94
2003-04-07,2.06
2003-04-08,1.57
2003-04-09,1.5
2003-04-11,2.09
2003-05-02,3.5
2003-05-05,1.47
2003-05-06,1.16
2003-05-08,2.01
2003-05-09,2.27
2003-05-12,1.67
2003-06-02,5.51
2003-06-03,3.01
2003-06-05,1.0
2003-06-06,0.48
2003-06-10,1.96
2003-06-11,2.38
2003-07-01,4.25
2003-07-02,5.68
2003-07-03,1.0
2003-07-04,0.91
2003-07-07,1.66
2003-07-08,1.29
2003-07-10,2.38
2003-07-11,2.77
2003-08-01,2.63
2003-08-04,1.97
2003-08-05,5.18
2003-08-07,2.58
2003-08-08,1.8
2003-08-12,1.77
2003-09-01,0.84
2003-09-04,2.87
2003-09-05,0.52
2003-09-09,1.86
2003-09-10,2.52
2003-09-12,2.25
2003-10-01,0.38
2003-10-02,4.76
2003-10-03,3.61
2003-10-06,1.53
2003-10-07,1.6
2003-10-09,2.97
