DATE,PA_CPI
2002-01-31,78.4
2002-02-28,78.3
2002-03-31,78.6
2002-04-30,78.6
2002-05-31,78.4
2002-06-30,78.5
2002-07-31,78.6
2002-08-31,78.9
2002-09-30,78.8
2002-10-31,78.7
2002-11-30,78.7
2002-12-31,78.5
2003-01-31,78.7
2003-02-28,78.7
2003-03-31,78.8
2003-04-30,78.8
2003-05-31,78.6
2003-06-30,78.7
2003-07-31,78.8
2003-08-31,78.8
2003-09-30,78.7
2003-10-31,78.4
2003-11-30,78.5
2003-12-31,78.4
2004-01-31,78.7
2004-02-29,78.7
2004-03-31,78.5
2004-04-30,78.5
2004-05-31,78.8
2004-06-30,79.1
2004-07-31,79.2
2004-08-31,79.4
2004-09-30,79.2
2004-10-31,79.3
2004-11-30,79.3
2004-12-31,79.6
2005-01-31,79.9
2005-02-28,80.3
2005-03-31,80.9
2005-04-30,81.1
2005-05-31,80.9
2005-06-30,81.0
2005-07-31,81.3
2005-08-31,81.3
2005-09-30,82.0
2005-10-31,82.5
2005-11-30,82.0
2005-12-31,82.3
2006-01-31,82.4
2006-02-28,82.2
2006-03-31,82.5
2006-04-30,83.5
2006-05-31,83.4
2006-06-30,83.6
2006-07-31,83.6
2006-08-31,83.6
2006-09-30,83.3
2006-10-31,83.6
2006-11-30,83.6
2006-12-31,84.1
2007-01-31,84.3
2007-02-28,84.5
2007-03-31,85.2
2007-04-30,85.8
2007-05-31,86.2
2007-06-30,86.6
2007-07-31,87.0
2007-08-31,87.2
2007-09-30,87.6
2007-10-31,88.1
2007-11-30,89.1
2007-12-31,89.5
2008-01-31,90.7
2008-02-29,91.6
2008-03-31,92.7
2008-04-30,93.1
2008-05-31,93.9
2008-06-30,95.0
2008-07-31,95.3
2008-08-31,95.7
2008-09-30,96.4
2008-10-31,96.4
2008-11-30,95.9
2008-12-31,95.5
2009-01-31,95.2
2009-02-28,95.5
2009-03-31,96.1
2009-04-30,96.5
2009-05-31,96.2
2009-06-30,96.7
2009-07-31,97.2
2009-08-31,97.5
2009-09-30,96.9
2009-10-31,97.2
2009-11-30,97.2
2009-12-31,97.3
2010-01-31,98.1
2010-02-28,98.3
2010-03-31,98.7
2010-04-30,99.0
2010-05-31,99.3
2010-06-30,99.4
2010-07-31,100.5
2010-08-31,101.0
2010-09-30,101.0
2010-10-31,101.2
2010-11-30,101.4
2010-12-31,102.1
2011-01-31,102.8
2011-02-28,103.2
2011-03-31,104.2
2011-04-30,105.3
2011-05-31,105.6
2011-06-30,105.8
2011-07-31,105.9
2011-08-31,106.4
2011-09-30,107.1
2011-10-31,107.4
2011-11-30,108.3
2011-12-31,108.6
2012-01-31,109.1
2012-02-29,109.8
2012-03-31,110.8
2012-04-30,111.5
2012-05-31,112.0
2012-06-30,111.9
2012-07-31,112.2
2012-08-31,112.8
2012-09-30,112.9
2012-10-31,113.0
2012-11-30,113.2
2012-12-31,113.6
2013-01-31,114.2
2013-02-28,114.8
2013-03-31,115.3
2013-04-30,115.7
2013-05-31,116.2
2013-06-30,116.6
2013-07-31,116.9
2013-08-31,117.2
2013-09-30,117.3
2013-10-31,117.4
2013-11-30,117.5
2013-12-31,117.8
2014-01-31,118.1
2014-02-28,118.8
2014-03-31,119.2
2014-04-30,119.8
2014-05-31,120.0
2014-06-30,120.5
2014-07-31,119.6
2014-08-31,119.8
2014-09-30,120.2
2014-10-31,119.9
2014-11-30,120.1
2014-12-31,120.1
2015-01-31,119.2
2015-02-28,118.2
2015-03-31,119.3
2015-04-30,119.9
2015-05-31,120.4
2015-06-30,120.6
2015-07-31,120.7
2015-08-31,120.2
2015-09-30,119.6
2015-10-31,119.5
2015-11-30,119.5
2015-12-31,119.4
2016-01-31,119.5
2016-02-29,119.6
2016-03-31,120.0
2016-04-30,120.6
2016-05-31,120.8
2016-06-30,120.7
2016-07-31,120.8
2016-08-31,120.8
2016-09-30,121.0
2016-10-31,121.1
2016-11-30,121.0
2016-12-31,121.1
2017-01-31,121.5
2017-02-28,121.8
2017-03-31,121.7
2017-04-30,121.7
2017-05-31,121.7
2017-06-30,121.5
2017-07-31,121.3
2017-08-31,121.6
2017-09-30,122.0
2017-10-31,121.7
2017-11-30,121.5
2017-12-31,121.7
2018-01-31,122.0
2018-02-28,122.3
2018-03-31,122.4
2018-04-30,122.7
2018-05-31,122.7
2018-06-30,122.9
2018-07-31,122.8
2018-08-31,122.9
2018-09-30,122.9
2018-10-31,123.0
2018-11-30,122.4
2018-12-31,121.9
2019-01-31,121.6
2019-02-28,121.7
2019-03-31,122.2
2019-04-30,122.5
2019-05-31,122.7
2019-06-30,122.2
2019-07-31,122.5
2019-08-31,122.2
2019-09-30,122.1
2019-10-31,122.1
2019-11-30,122.0
2019-12-31,121.8
2020-01-31,122.0
2020-02-29,121.7
2020-03-31,121.2
2020-04-30,119.6
2020-05-31,119.6
2020-06-30,120.2
2020-07-31,119.8
2020-08-31,119.8
2020-09-30,119.8
2020-10-31,119.7
2020-11-30,119.6
2020-12-31,119.9
2021-01-31,120.3
2021-02-28,121.0
2021-03-31,121.5
2021-04-30,121.7
2021-05-31,121.9
2021-06-30,122.1
2021-07-31,122.6
2021-08-31,122.6
2021-09-30,122.8
2021-10-31,123.2
2021-11-30,123.6
2021-12-31,123.1
2022-01-31,123.5
2022-02-28,124.3
2022-03-31,125.4
2022-04-30,126.1
2022-05-31,127.1
2022-06-30,128.5
2022-07-31,126.9
2022-08-31,125.2
2022-09-30,125.2
