DATE,SA_CHICKEN_PRICE
2010-01-31,10.61
2010-02-28,10.66
2010-03-31,10.79
2010-04-30,10.6
2010-05-31,10.77
2010-06-30,10.93
2010-07-31,11.26
2010-08-31,11.45
2010-09-30,11.38
2010-10-31,11.58
2010-11-30,11.67
2010-12-31,11.77
2011-01-31,11.93
2011-02-28,11.94
2011-03-31,11.96
2011-04-30,12.14
2011-05-31,12.23
2011-06-30,12.23
2011-07-31,12.18
2011-08-31,11.82
2011-09-30,11.73
2011-10-31,11.68
2011-11-30,11.63
2011-12-31,11.65
2012-01-31,11.59
2012-02-29,11.5
2012-03-31,11.3
2012-04-30,11.47
2012-05-31,11.49
2012-06-30,11.42
2012-07-31,11.6
2012-08-31,11.87
2012-09-30,12.19
2012-10-31,12.56
2012-11-30,12.44
2012-12-31,12.29
2013-01-31,12.34
2013-02-28,12.31
2013-03-31,12.34
2013-04-30,12.36
2013-05-31,12.38
2013-06-30,12.4
2013-07-31,12.42
2013-08-31,12.4
2013-09-30,12.38
2013-10-31,12.34
2013-11-30,12.42
2013-12-31,12.34
2014-01-31,12.27
2014-02-28,12.41
2014-03-31,12.44
2014-04-30,12.52
2014-05-31,12.44
2014-06-30,12.46
2014-07-31,12.39
2014-08-31,12.43
2014-09-30,12.35
2014-10-31,12.3
2014-11-30,12.23
2014-12-31,12.23
2015-01-31,12.21
2015-02-28,12.11
2015-03-31,12.11
2015-04-30,12.1
2015-05-31,12.04
2015-06-30,12.1
2015-07-31,12.07
2015-08-31,12.1
2015-09-30,12.15
2015-10-31,12.25
2015-11-30,12.32
2015-12-31,12.24
2016-01-31,12.34
2016-02-29,12.47
2016-03-31,12.22
2016-04-30,12.14
2016-05-31,12.29
2016-06-30,12.4
2016-07-31,12.37
2016-08-31,12.39
2016-09-30,12.47
2016-10-31,12.47
2016-11-30,12.42
2016-12-31,12.36
2017-01-31,12.27
2017-02-28,12.31
2017-03-31,12.27
2017-04-30,12.33
2017-05-31,12.4
2017-06-30,12.35
2017-07-31,12.34
2017-08-31,12.34
2017-09-30,12.38
2017-10-31,12.32
2017-11-30,12.31
2017-12-31,12.23
2018-01-31,12.8
2018-02-28,12.94
2018-03-31,13.08
2018-04-30,13.08
2018-05-31,13.07
2018-06-30,13.08
2018-07-31,13.13
2018-08-31,13.19
2018-09-30,13.26
2018-10-31,13.27
2018-11-30,13.27
2018-12-31,13.28
2019-01-31,13.33
2019-02-28,13.34
2019-03-31,13.34
2019-04-30,13.33
2019-05-31,13.3
2019-06-30,13.29
2019-07-31,13.29
2019-08-31,13.32
2019-09-30,13.31
2019-10-31,13.26
2019-11-30,13.18
2019-12-31,13.34
2020-01-31,13.72
2020-02-29,13.9
2020-03-31,14.04
2020-04-30,14.12
2020-05-31,14.14
2020-06-30,14.24
2020-07-31,15.62
2020-08-31,15.67
2020-09-30,15.62
2020-10-31,15.57
2020-11-30,15.57
2020-12-31,15.59
2021-01-31,15.62
2021-02-28,15.67
2021-03-31,15.49
2021-04-30,15.19
2021-05-31,15.13
2021-06-30,15.08
2021-07-31,15.31
2021-08-31,15.45
2021-09-30,15.39
2021-10-31,15.49
2021-11-30,15.59
2021-12-31,15.67
2022-01-31,15.72
2022-02-28,15.97
2022-03-31,16.13
2022-04-30,16.87
2022-05-31,17.84
2022-06-30,18.0
2022-07-31,18.1
2022-08-31,18.53
2022-09-30,18.53
2022-10-31,18.52
2022-11-30,18.53
2022-12-31,18.39
2023-01-31,18.5
2023-02-28,18.49
2023-03-31,18.44
2023-04-30,18.51
2023-05-31,18.45
2023-06-30,18.33
2023-07-31,18.42
2023-08-31,18.14
2023-09-30,18.15
2023-10-31,17.99
2023-11-30,17.91
2023-12-31,17.94
2024-01-31,18.17
2024-02-29,18.19
2024-03-31,18.14
2024-04-30,18.03
2024-05-31,17.92
2024-06-30,17.88
2024-07-31,17.89
2024-08-31,17.84
2024-09-30,17.84
2024-10-31,17.8
2024-11-30,17.58
2024-12-31,17.49
2025-01-31,17.51
2025-02-28,17.27
