DATE,US_BEEF_CUTOUT_CHOICE
2004-01-05,84.14
2004-01-06,83.39
2004-01-07,81.0
2004-01-08,81.2
2004-01-09,81.0
2004-01-12,81.18
2004-01-13,79.2
2004-01-14,72.96
2004-01-15,72.64
2004-01-16,72.97
2004-01-19,72.19
2004-01-20,72.53
2004-01-21,72.3
2004-01-22,71.77
2004-01-23,70.29
2004-01-26,69.7
2004-01-27,68.67
2004-01-28,66.37
2004-01-29,64.72
2004-01-30,64.45
2004-02-02,64.58
2004-02-03,63.33
2004-02-04,62.37
2004-02-05,61.6
2004-02-06,61.62
2004-02-09,60.33
2004-02-10,59.49
2004-02-11,58.92
2004-02-12,57.92
2004-02-13,58.22
2004-02-16,58.16
2004-02-17,59.43
2004-02-18,60.35
2004-02-19,61.35
2004-02-20,61.27
2004-02-23,62.7
2004-02-24,63.98
2004-02-25,66.27
2004-02-26,67.87
2004-02-27,69.62
2004-03-01,71.57
2004-03-02,72.3
2004-03-03,72.59
2004-03-04,73.52
2004-03-05,73.84
2004-03-08,73.36
2004-03-09,73.38
2004-03-10,71.31
2004-03-11,71.2
2004-03-12,70.81
2004-03-15,69.78
2004-03-16,68.82
2004-03-17,67.67
2004-03-18,67.76
2004-03-19,67.98
2004-03-22,67.56
2004-03-23,66.36
2004-03-24,66.05
2004-03-25,65.76
2004-03-26,65.84
2004-03-29,66.15
2004-03-30,66.34
2004-03-31,67.32
2004-04-01,68.15
2004-04-02,69.99
2004-04-05,73.91
2004-04-06,80.85
2004-04-07,86.79
2004-04-08,89.47
2004-04-09,91.78
2004-04-12,93.84
2004-04-13,97.52
2004-04-14,98.3
2004-04-15,98.49
2004-04-16,94.69
2004-04-19,92.44
2004-04-20,87.92
2004-04-21,83.5
2004-04-22,81.77
2004-04-23,80.51
2004-04-26,77.98
2004-04-27,77.15
2004-04-28,76.44
2004-04-29,76.58
2004-04-30,77.94
2004-05-03,78.26
2004-05-04,79.56
2004-05-05,79.37
2004-05-06,78.93
2004-05-07,78.76
2004-05-10,78.15
2004-05-11,77.0
2004-05-12,76.39
2004-05-13,76.3
2004-05-14,76.19
2004-05-17,75.76
2004-05-18,74.77
2004-05-19,74.6
2004-05-20,73.07
2004-05-21,72.33
2004-05-24,70.69
2004-05-25,70.41
2004-05-26,69.89
2004-05-27,68.88
2004-05-28,68.26
2004-06-01,69.21
2004-06-02,71.45
2004-06-03,72.4
2004-06-04,74.01
2004-06-07,77.17
2004-06-08,77.97
2004-06-09,79.26
2004-06-10,79.02
2004-06-11,77.48
2004-06-14,76.03
2004-06-15,74.26
2004-06-16,73.38
2004-06-17,72.7
2004-06-18,72.59
2004-06-21,73.63
2004-06-22,74.52
2004-06-23,75.26
2004-06-24,75.0
2004-06-25,74.28
2004-06-28,73.61
2004-06-29,73.62
2004-06-30,74.83
2004-07-01,75.1
2004-07-02,75.3
2004-07-06,75.45
2004-07-07,77.03
2004-07-08,78.23
2004-07-09,78.43
2004-07-12,78.94
2004-07-13,80.32
2004-07-14,80.79
2004-07-15,80.66
2004-07-16,80.81
2004-07-19,80.26
2004-07-20,79.9
2004-07-21,79.73
2004-07-22,79.37
2004-07-23,78.93
2004-07-26,78.79
2004-07-27,78.69
2004-07-28,78.86
2004-07-29,78.52
2004-07-30,78.13
2004-08-02,77.85
2004-08-03,77.96
2004-08-04,75.85
2004-08-05,75.29
2004-08-06,74.94
2004-08-09,75.2
2004-08-10,74.91
2004-08-11,74.12
2004-08-12,73.39
2004-08-13,73.2
2004-08-16,74.22
2004-08-17,74.66
2004-08-18,74.96
2004-08-19,75.4
2004-08-20,75.33
2004-08-23,75.67
2004-08-24,76.29
2004-08-25,76.27
2004-08-26,75.74
2004-08-27,74.95
2004-08-30,75.05
2004-08-31,74.72
2004-09-01,73.07
2004-09-02,72.9
2004-09-03,72.51
2004-09-07,71.91
2004-09-08,71.95
2004-09-09,71.49
2004-09-10,71.38
2004-09-13,71.32
2004-09-14,70.87
2004-09-15,71.56
2004-09-16,71.73
2004-09-17,71.36
2004-09-20,71.97
2004-09-21,73.02
2004-09-22,73.31
2004-09-23,73.11
2004-09-24,72.82
2004-09-27,72.68
2004-09-28,71.89
2004-09-29,70.66
2004-09-30,69.84
2004-10-01,69.18
2004-10-04,68.65
2004-10-05,68.69
2004-10-06,67.5
2004-10-07,66.75
2004-10-08,66.33
2004-10-11,66.35
2004-10-12,68.7
2004-10-13,69.56
2004-10-14,69.78
2004-10-15,70.24
2004-10-18,70.84
2004-10-19,72.26
2004-10-20,73.56
2004-10-21,74.04
2004-10-22,73.57
2004-10-25,73.14
2004-10-26,72.71
2004-10-27,72.1
2004-10-28,71.45
2004-10-29,71.33
2004-11-01,72.04
2004-11-02,71.39
