DATE,US_BEEF_CUTOUT_SELECT
2002-06-07,209.69
2002-06-18,213.56
2002-07-26,203.76
2002-07-27,204.49
2002-07-30,204.91
2002-10-01,206.61
2002-12-24,216.22
2003-01-16,264.66
2003-02-21,210.12
2003-03-03,347.27
2003-08-10,345.06
2003-08-17,342.78
2003-08-20,329.8
2003-09-14,318.0
2003-09-18,205.29
2003-10-05,204.42
2003-10-11,203.86
2003-12-04,204.85
2004-01-05,132.55
2004-01-06,130.44
2004-01-07,126.74
2004-01-08,126.62
2004-01-09,128.34
2004-01-12,131.47
2004-01-13,134.35
2004-01-14,136.5
2004-01-15,139.63
2004-01-16,141.5
2004-01-19,142.43
2004-01-20,143.31
2004-01-21,144.97
2004-01-22,145.86
2004-01-23,144.77
2004-01-26,143.56
2004-01-27,141.94
2004-01-28,139.37
2004-01-29,136.31
2004-01-30,133.86
2004-02-02,131.82
2004-02-03,129.83
2004-02-04,128.33
2004-02-05,126.36
2004-02-06,125.52
2004-02-09,125.4
2004-02-10,126.08
2004-02-11,125.37
2004-02-12,123.92
2004-02-13,124.06
2004-02-16,124.89
2004-02-17,125.56
2004-02-18,126.61
2004-02-19,126.77
2004-02-20,124.85
2004-02-23,126.42
2004-02-24,128.15
2004-02-25,130.4
2004-02-26,132.18
2004-02-27,134.85
2004-03-01,136.21
2004-03-02,137.74
2004-03-03,137.93
2004-03-04,139.62
2004-03-05,140.28
2004-03-08,140.87
2004-03-09,143.34
2004-03-10,143.26
2004-03-11,143.05
2004-03-12,142.76
2004-03-15,143.74
2004-03-16,145.3
2004-03-17,145.02
2004-03-18,143.96
2004-03-19,142.12
2004-03-22,141.49
2004-03-23,142.38
2004-03-24,141.26
2004-03-25,139.12
2004-03-26,137.95
2004-03-29,136.85
2004-03-30,137.51
2004-03-31,138.92
2004-04-01,138.57
2004-04-02,139.12
2004-04-05,142.15
2004-04-06,147.95
2004-04-07,151.97
2004-04-08,154.67
2004-04-09,156.51
2004-04-12,159.38
2004-04-13,162.39
2004-04-14,163.49
2004-04-15,164.03
2004-04-16,162.97
2004-04-19,162.16
2004-04-20,161.9
2004-04-21,161.58
2004-04-22,160.27
2004-04-23,157.88
2004-04-26,158.0
2004-04-27,158.13
2004-04-28,157.98
2004-04-29,157.87
2004-04-30,157.88
2004-05-03,159.21
2004-05-04,161.0
2004-05-05,160.84
2004-05-06,159.87
2004-05-07,159.55
2004-05-10,160.2
2004-05-11,160.58
2004-05-12,159.58
2004-05-13,158.93
2004-05-14,157.57
2004-05-17,155.85
2004-05-18,155.97
2004-05-19,155.15
2004-05-20,153.56
2004-05-21,151.53
2004-05-24,151.48
2004-05-25,151.77
2004-05-26,149.42
2004-05-27,147.23
2004-05-28,146.08
2004-06-01,147.93
2004-06-02,150.57
2004-06-03,150.99
2004-06-04,152.82
2004-06-07,154.12
2004-06-08,155.22
2004-06-09,156.64
2004-06-10,156.15
2004-06-11,152.87
2004-06-14,150.0
2004-06-15,147.86
2004-06-16,146.9
2004-06-17,145.42
2004-06-18,143.43
2004-06-21,144.07
2004-06-22,145.96
2004-06-23,145.13
2004-06-24,144.41
2004-06-25,142.99
2004-06-28,143.67
2004-06-29,144.93
2004-06-30,143.45
2004-07-01,142.46
2004-07-02,140.73
2004-07-06,140.84
2004-07-07,140.95
2004-07-08,140.25
2004-07-09,139.67
2004-07-12,140.15
2004-07-13,140.55
2004-07-14,139.63
2004-07-15,139.03
2004-07-16,138.78
2004-07-19,137.02
2004-07-20,136.83
2004-07-21,136.88
2004-07-22,136.23
2004-07-23,136.48
2004-07-26,139.15
2004-07-27,141.49
2004-07-28,142.38
2004-07-29,142.66
2004-07-30,139.91
2004-08-02,138.99
2004-08-03,139.38
2004-08-04,137.32
2004-08-05,135.82
2004-08-06,135.28
2004-08-09,135.47
2004-08-10,135.69
2004-08-11,135.47
2004-08-12,135.52
2004-08-13,135.9
2004-08-16,136.54
2004-08-17,138.39
2004-08-18,140.06
2004-08-19,140.02
2004-08-20,138.96
2004-08-23,139.07
2004-08-24,140.21
2004-08-25,139.75
2004-08-26,137.27
2004-08-27,135.63
2004-08-30,135.38
2004-08-31,135.25
2004-09-01,133.33
2004-09-02,131.96
2004-09-03,129.52
2004-09-04,249.13
2004-09-07,130.26
2004-09-08,130.2
2004-09-09,129.24
2004-09-10,128.12
2004-09-13,129.44
2004-09-14,132.66
2004-09-15,133.91
2004-09-16,134.0
2004-09-17,133.98
2004-09-20,134.58
2004-09-21,136.6
2004-09-22,136.18
2004-09-23,136.05
2004-09-24,136.07
2004-09-27,136.35
2004-09-28,136.43
2004-09-29,135.11
2004-09-30,133.91
