Year,Month,Layer_Herd,Unit
2007,DEC,58203000,HEAD
2008,JAN,58768000,HEAD
2008,FEB,58591000,HEAD
2008,MAR,58242000,HEAD
2008,APR,58721000,HEAD
2008,MAY,58076000,HEAD
2008,JUN,56967000,HEAD
2008,JUL,56187000,HEAD
2008,AUG,55419000,HEAD
2008,SEP,54197000,HEAD
2008,OCT,54411000,HEAD
2008,NOV,53354000,HEAD
2008,DEC,54053000,HEAD
2009,JAN,54921000,HEAD
2009,FEB,54789000,HEAD
2009,MAR,54906000,HEAD
2009,APR,54723000,HEAD
2009,MAY,54831000,HEAD
2009,JUN,54715000,HEAD
2009,JUL,53701000,HEAD
2009,AUG,53438000,HEAD
2009,SEP,53010000,HEAD
2009,OCT,53383000,HEAD
2009,NOV,53936000,HEAD
2009,DEC,54632000,HEAD
2010,JAN,55320000,HEAD
2010,FEB,55849000,HEAD
2010,MAR,55863000,HEAD
2010,APR,56642000,HEAD
2010,MAY,55718000,HEAD
2010,JUN,56023000,HEAD
2010,JUL,55396000,HEAD
2010,AUG,54066000,HEAD
2010,SEP,54089000,HEAD
2010,OCT,54658000,HEAD
2010,NOV,54243000,HEAD
2010,DEC,55534000,HEAD
2011,JAN,55016000,HEAD
2011,FEB,55127000,HEAD
2011,MAR,55701000,HEAD
2011,APR,56021000,HEAD
2011,MAY,55431000,HEAD
2011,JUN,54805000,HEAD
2011,JUL,53483000,HEAD
2011,AUG,51708000,HEAD
2011,SEP,50937000,HEAD
2011,OCT,50488000,HEAD
2011,NOV,50149000,HEAD
2011,DEC,50399000,HEAD
2012,JAN,50781000,HEAD
2012,FEB,50723000,HEAD
2012,MAR,52167000,HEAD
2012,APR,52896000,HEAD
2012,MAY,52814000,HEAD
2012,JUN,51445000,HEAD
2012,JUL,50462000,HEAD
2012,AUG,49632000,HEAD
2012,SEP,49413000,HEAD
2012,OCT,49106000,HEAD
2012,NOV,50232000,HEAD
2012,DEC,51419000,HEAD
2013,JAN,51321000,HEAD
2013,FEB,51684000,HEAD
2013,MAR,53097000,HEAD
2013,APR,53258000,HEAD
2013,MAY,53513000,HEAD
2013,JUN,52556000,HEAD
2013,JUL,52751000,HEAD
2013,AUG,51924000,HEAD
2013,SEP,51859000,HEAD
2013,OCT,51651000,HEAD
2013,NOV,52249000,HEAD
2013,DEC,52782000,HEAD
2014,JAN,53396000,HEAD
2014,FEB,53098000,HEAD
2014,MAR,53474000,HEAD
2014,APR,53679000,HEAD
2014,MAY,53879000,HEAD
2014,JUN,53744000,HEAD
2014,JUL,53928000,HEAD
2014,AUG,53201000,HEAD
2014,SEP,52906000,HEAD
2014,OCT,53135000,HEAD
2014,NOV,53372000,HEAD
