zip_5,agg_level_desc,watershed_desc,watershed_code,class_desc,country_code,state_name,asd_desc,prodn_practice_desc,sector_desc,load_time,group_desc,domaincat_desc,commodity_desc,CV (%),statisticcat_desc,short_desc,source_desc,asd_code,country_name,county_ansi,state_alpha,reference_period_desc,state_fips_code,location_desc,congr_district_code,freq_desc,domain_desc,util_practice_desc,region_desc,unit_desc,year,begin_code,county_code,state_ansi,week_ending,county_name,Value,end_code
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-02-12 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #01,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,01,,,2025-01-04,,"249,628,000",01
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-02-19 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #02,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,02,,,2025-01-11,,"249,319,000",02
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-02-26 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #03,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,03,,,2025-01-18,,"248,054,000",03
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-03-05 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #04,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,04,,,2025-01-25,,"249,168,000",04
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-03-12 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #05,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,05,,,2025-02-01,,"248,787,000",05
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-03-19 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #06,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,06,,,2025-02-08,,"249,373,000",06
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-03-26 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #07,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,07,,,2025-02-15,,"248,753,000",07
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-04-02 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #08,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,08,,,2025-02-22,,"249,501,000",08
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-04-02 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #09,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,09,,,2025-03-01,,"249,750,000",09
,NATIONAL,,00000000,BROILERS,9000,US TOTAL,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,2025-04-02 15:00:00.000,POULTRY,NOT SPECIFIED,CHICKENS,,EGGS SET,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",SURVEY,,UNITED STATES,,US,WEEK #10,99,US TOTAL,,WEEKLY,TOTAL,ALL UTILIZATION PRACTICES,,EGGS,2025,10,,,2025-03-08,,"249,898,000",10
