Year,Month,Hatching Eggs,Unit
2007,DEC,1077000000,EGGS
2008,JAN,1091000000,EGGS
2008,FEB,1024000000,EGGS
2008,MAR,1099000000,EGGS
2008,APR,1059000000,EGGS
2008,MAY,1095000000,EGGS
2008,JUN,1048000000,EGGS
2008,JUL,1070000000,EGGS
2008,AUG,1058000000,EGGS
2008,SEP,1010000000,EGGS
2008,OCT,1028000000,EGGS
2008,NOV,987000000,EGGS
2008,DEC,1011000000,EGGS
2009,JAN,1014000000,EGGS
2009,FEB,928000000,EGGS
2009,MAR,1028000000,EGGS
2009,APR,994000000,EGGS
2009,MAY,1031000000,EGGS
2009,JUN,1001000000,EGGS
2009,JUL,1025000000,EGGS
2009,AUG,1017000000,EGGS
2009,SEP,972000000,EGGS
2009,OCT,1005000000,EGGS
2009,NOV,974000000,EGGS
2009,DEC,1012000000,EGGS
2010,JAN,1023000000,EGGS
2010,FEB,926000000,EGGS
2010,MAR,1031000000,EGGS
2010,APR,1010000000,EGGS
2010,MAY,1046000000,EGGS
2010,JUN,1010000000,EGGS
2010,JUL,1047000000,EGGS
2010,AUG,1033000000,EGGS
2010,SEP,989000000,EGGS
2010,OCT,1017000000,EGGS
2010,NOV,981000000,EGGS
2010,DEC,1017000000,EGGS
2011,JAN,1027000000,EGGS
2011,FEB,923000000,EGGS
2011,MAR,1032000000,EGGS
2011,APR,1012000000,EGGS
2011,MAY,1047000000,EGGS
2011,JUN,1010000000,EGGS
2011,JUL,1028000000,EGGS
2011,AUG,1004000000,EGGS
2011,SEP,956000000,EGGS
2011,OCT,976000000,EGGS
2011,NOV,937000000,EGGS
2011,DEC,967000000,EGGS
2012,JAN,976000000,EGGS
2012,FEB,917000000,EGGS
2012,MAR,983000000,EGGS
2012,APR,965000000,EGGS
2012,MAY,1006000000,EGGS
2012,JUN,966000000,EGGS
2012,JUL,979000000,EGGS
2012,AUG,968000000,EGGS
2012,SEP,923000000,EGGS
2012,OCT,953000000,EGGS
2012,NOV,931000000,EGGS
2012,DEC,969800000,EGGS
2013,JAN,981700000,EGGS
2013,FEB,892700000,EGGS
2013,MAR,1002200000,EGGS
2013,APR,981100000,EGGS
2013,MAY,1024200000,EGGS
2013,JUN,992800000,EGGS
2013,JUL,1011500000,EGGS
2013,AUG,1006000000,EGGS
2013,SEP,969400000,EGGS
2013,OCT,993300000,EGGS
2013,NOV,960600000,EGGS
2013,DEC,993800000,EGGS
2014,JAN,996100000,EGGS
2014,FEB,902400000,EGGS
2014,MAR,997200000,EGGS
2014,APR,968400000,EGGS
2014,MAY,1014600000,EGGS
2014,JUN,990100000,EGGS
2014,JUL,1025500000,EGGS
2014,AUG,1024800000,EGGS
2014,SEP,991800000,EGGS
2014,OCT,1026100000,EGGS
2014,NOV,989500000,EGGS
2014,DEC,1029900000,EGGS
2015,JAN,1038300000,EGGS
2015,FEB,934500000,EGGS
2015,MAR,1042700000,EGGS
2015,APR,1025300000,EGGS
2015,MAY,1075100000,EGGS
2015,JUN,1048000000,EGGS
2015,JUL,1081200000,EGGS
2015,AUG,1078900000,EGGS
2015,SEP,1037300000,EGGS
2015,OCT,1066000000,EGGS
2015,NOV,1028500000,EGGS
2015,DEC,1067300000,EGGS
2016,JAN,1078300000,EGGS
2016,FEB,1014200000,EGGS
2016,MAR,1085200000,EGGS
2016,APR,1056300000,EGGS
2016,MAY,1095900000,EGGS
2016,JUN,1055900000,EGGS
2016,JUL,1093000000,EGGS
2016,AUG,1091400000,EGGS
2016,SEP,1048000000,EGGS
2016,OCT,1084700000,EGGS
2016,NOV,1054100000,EGGS
2016,DEC,1072200000,EGGS
2017,JAN,1056600000,EGGS
2017,FEB,958200000,EGGS
2017,MAR,1067600000,EGGS
2017,APR,1040000000,EGGS
2017,MAY,1080700000,EGGS
2017,JUN,1054000000,EGGS
2017,JUL,1100200000,EGGS
2017,AUG,1095000000,EGGS
2017,SEP,1054700000,EGGS
2017,OCT,1089400000,EGGS
2017,NOV,1044900000,EGGS
2017,DEC,1064900000,EGGS
2018,JAN,1066600000,EGGS
2018,FEB,975200000,EGGS
2018,MAR,1088500000,EGGS
2018,APR,1066000000,EGGS
2018,MAY,1113200000,EGGS
2018,JUN,1086500000,EGGS
2018,JUL,1120300000,EGGS
2018,AUG,1113300000,EGGS
2018,SEP,1068800000,EGGS
2018,OCT,1098200000,EGGS
2018,NOV,1065000000,EGGS
2018,DEC,1089400000,EGGS
2019,JAN,1092000000,EGGS
2019,FEB,1003100000,EGGS
2019,MAR,1114000000,EGGS
2019,APR,1080200000,EGGS
2019,MAY,1124300000,EGGS
2019,JUN,1091000000,EGGS
2019,JUL,1126300000,EGGS
2019,AUG,1119400000,EGGS
2019,SEP,1077600000,EGGS
2019,OCT,1116400000,EGGS
2019,NOV,1079500000,EGGS
2019,DEC,1119900000,EGGS
2020,JAN,1135500000,EGGS
2020,FEB,1072500000,EGGS
2020,MAR,1148400000,EGGS
2020,APR,1115300000,EGGS
2020,MAY,1152100000,EGGS
2020,JUN,1125900000,EGGS
2020,JUL,1172500000,EGGS
2020,AUG,1170200000,EGGS
2020,SEP,1136400000,EGGS
2020,OCT,1175100000,EGGS
2020,NOV,1129600000,EGGS
2020,DEC,1165600000,EGGS
2021,JAN,1171800000,EGGS
2021,FEB,1065600000,EGGS
2021,MAR,1204500000,EGGS
2021,APR,1185700000,EGGS
2021,MAY,1230000000,EGGS
2021,JUN,1181700000,EGGS
2021,JUL,1202700000,EGGS
2021,AUG,1204700000,EGGS
2021,SEP,1172600000,EGGS
2021,OCT,1210700000,EGGS
2021,NOV,1171200000,EGGS
2021,DEC,1210100000,EGGS
2022,JAN,1213400000,EGGS
2022,FEB,1123800000,EGGS
2022,MAR,1249900000,EGGS
2022,APR,1193100000,EGGS
2022,MAY,1235200000,EGGS
2022,JUN,1190300000,EGGS
2022,JUL,1224800000,EGGS
2022,AUG,1222500000,EGGS
2022,SEP,1179700000,EGGS
2022,OCT,1214400000,EGGS
2022,NOV,1163400000,EGGS
2022,DEC,1177400000,EGGS
2023,JAN,1170300000,EGGS
2023,FEB,1073000000,EGGS
2023,MAR,1201200000,EGGS
2023,APR,1170400000,EGGS
2023,MAY,1220600000,EGGS
2023,JUN,1186200000,EGGS
2023,JUL,1226100000,EGGS
2023,AUG,1224400000,EGGS
2023,SEP,1180000000,EGGS
2023,OCT,1216300000,EGGS
2023,NOV,1173800000,EGGS
2023,DEC,1199500000,EGGS
2024,JAN,1199800000,EGGS
2024,FEB,1128800000,EGGS
2024,MAR,1206100000,EGGS
2024,APR,1162500000,EGGS
2024,MAY,1193000000,EGGS
2024,JUN,1155800000,EGGS
2024,JUL,1199000000,EGGS
2024,AUG,1216100000,EGGS
2024,SEP,1180200000,EGGS
2024,OCT,1199800000,EGGS
2024,NOV,1153000000,EGGS
2024,DEC,1187600000,EGGS
2025,JAN,1195800000,EGGS
2025,FEB,1086400000,EGGS
