source_desc,short_desc,statisticcat_desc,commodity_desc,CV (%),domaincat_desc,group_desc,load_time,asd_desc,prodn_practice_desc,sector_desc,country_code,state_name,watershed_code,class_desc,agg_level_desc,watershed_desc,zip_5,end_code,Value,county_name,state_ansi,week_ending,begin_code,county_code,unit_desc,year,region_desc,domain_desc,util_practice_desc,congr_district_code,freq_desc,state_fips_code,state_alpha,location_desc,reference_period_desc,county_ansi,country_name,asd_code
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-02-12 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,01,"192,480,000",,,2025-01-04,01,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #01,,UNITED STATES,
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-02-19 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,02,"190,370,000",,,2025-01-11,02,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #02,,UNITED STATES,
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-02-26 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,03,"191,057,000",,,2025-01-18,03,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #03,,UNITED STATES,
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-03-05 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,04,"192,316,000",,,2025-01-25,04,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #04,,UNITED STATES,
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-03-12 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,05,"191,909,000",,,2025-02-01,05,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #05,,UNITED STATES,
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-03-19 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,06,"191,338,000",,,2025-02-08,06,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #06,,UNITED STATES,
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-03-26 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,07,"191,178,000",,,2025-02-15,07,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #07,,UNITED STATES,
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-04-02 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,08,"189,939,000",,,2025-02-22,08,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #08,,UNITED STATES,
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-04-09 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,09,"190,702,000",,,2025-03-01,09,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #09,,UNITED STATES,
SURVEY,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",PLACEMENTS,CHICKENS,,NOT SPECIFIED,POULTRY,2025-04-09 15:00:00.000,,ALL PRODUCTION PRACTICES,ANIMALS & PRODUCTS,9000,US TOTAL,00000000,BROILERS,NATIONAL,,,10,"191,094,000",,,2025-03-08,10,,HEAD,2025,,TOTAL,ALL UTILIZATION PRACTICES,,WEEKLY,99,US,US TOTAL,WEEK #10,,UNITED STATES,
