Year,Month,Pullet Placements,Unit
2025,JAN,7774000,HEAD
2025,FEB,8223000,HEAD
2024,JAN,7436000,HEAD
2024,FEB,8197000,HEAD
2024,MAR,9419000,HEAD
2024,APR,8152000,HEAD
2024,MAY,8232000,HEAD
2024,JUN,9784000,HEAD
2024,JUL,7767000,HEAD
2024,AUG,8701000,HEAD
2024,SEP,9840000,HEAD
2024,OCT,8058000,HEAD
2024,NOV,8263000,HEAD
2024,DEC,9137000,HEAD
2023,JAN,8010000,HEAD
2023,FEB,7706000,HEAD
2023,MAR,8991000,HEAD
2023,APR,8117000,HEAD
2023,MAY,8643000,HEAD
2023,JUN,9710000,HEAD
2023,JUL,8519000,HEAD
2023,AUG,8242000,HEAD
2023,SEP,8910000,HEAD
2023,OCT,8011000,HEAD
2023,NOV,8207000,HEAD
2023,DEC,9649000,HEAD
2022,JAN,7880000,HEAD
2022,FEB,8499000,HEAD
2022,MAR,9296000,HEAD
2022,APR,7935000,HEAD
2022,MAY,8468000,HEAD
2022,JUN,8709000,HEAD
2022,JUL,7536000,HEAD
2022,AUG,7680000,HEAD
2022,SEP,8143000,HEAD
2022,OCT,7302000,HEAD
2022,NOV,7662000,HEAD
2022,DEC,9158000,HEAD
2021,JAN,8095000,HEAD
2021,FEB,8245000,HEAD
2021,MAR,8232000,HEAD
2021,APR,8110000,HEAD
2021,MAY,8708000,HEAD
2021,JUN,9546000,HEAD
2021,JUL,8623000,HEAD
2021,AUG,8737000,HEAD
2021,SEP,9618000,HEAD
2021,OCT,8566000,HEAD
2021,NOV,7986000,HEAD
2021,DEC,8986000,HEAD
2020,JAN,7482000,HEAD
2020,FEB,8135000,HEAD
2020,MAR,8547000,HEAD
2020,APR,8161000,HEAD
2020,MAY,8188000,HEAD
2020,JUN,8074000,HEAD
2020,JUL,8235000,HEAD
2020,AUG,8211000,HEAD
2020,SEP,9708000,HEAD
2020,OCT,8072000,HEAD
2020,NOV,7796000,HEAD
2020,DEC,7801000,HEAD
2019,JAN,7478000,HEAD
2019,FEB,7882000,HEAD
2019,MAR,8222000,HEAD
2019,APR,7339000,HEAD
2019,MAY,8767000,HEAD
2019,JUN,8717000,HEAD
2019,JUL,8510000,HEAD
2019,AUG,8094000,HEAD
2019,SEP,8615000,HEAD
2019,OCT,7531000,HEAD
2019,NOV,8141000,HEAD
2019,DEC,8627000,HEAD
2018,JAN,7133000,HEAD
2018,FEB,7579000,HEAD
2018,MAR,8088000,HEAD
2018,APR,7688000,HEAD
2018,MAY,8282000,HEAD
2018,JUN,8319000,HEAD
2018,JUL,7473000,HEAD
2018,AUG,8343000,HEAD
2018,SEP,8277000,HEAD
2018,OCT,7269000,HEAD
2018,NOV,7901000,HEAD
2018,DEC,8595000,HEAD
2017,JAN,7163000,HEAD
2017,FEB,7832000,HEAD
2017,MAR,8262000,HEAD
2017,APR,7045000,HEAD
2017,MAY,8159000,HEAD
2017,JUN,8257000,HEAD
2017,JUL,7084000,HEAD
2017,AUG,8155000,HEAD
2017,SEP,8240000,HEAD
2017,OCT,7589000,HEAD
2017,NOV,7943000,HEAD
2017,DEC,7595000,HEAD
2016,JAN,6726000,HEAD
2016,FEB,8098000,HEAD
2016,MAR,8143000,HEAD
2016,APR,7615000,HEAD
2016,MAY,8083000,HEAD
2016,JUN,8500000,HEAD
2016,JUL,7730000,HEAD
2016,AUG,7690000,HEAD
2016,SEP,7609000,HEAD
2016,OCT,6909000,HEAD
2016,NOV,7710000,HEAD
2016,DEC,7535000,HEAD
2015,JAN,6944000,HEAD
2015,FEB,7892000,HEAD
2015,MAR,7160000,HEAD
2015,APR,6995000,HEAD
2015,MAY,7541000,HEAD
2015,JUN,7790000,HEAD
2015,JUL,7428000,HEAD
2015,AUG,7907000,HEAD
2015,SEP,8573000,HEAD
2015,OCT,6863000,HEAD
2015,NOV,7230000,HEAD
2015,DEC,7544000,HEAD
2014,JAN,6470000,HEAD
2014,FEB,7239000,HEAD
2014,MAR,6790000,HEAD
2014,APR,6710000,HEAD
2014,MAY,7600000,HEAD
2014,JUN,7094000,HEAD
2014,JUL,6212000,HEAD
2014,AUG,7436000,HEAD
2014,SEP,7253000,HEAD
2014,OCT,6823000,HEAD
2014,NOV,7591000,HEAD
2014,DEC,6795000,HEAD
2013,JAN,6303000,HEAD
2013,FEB,7156000,HEAD
2013,MAR,6589000,HEAD
2013,APR,6222000,HEAD
2013,MAY,7565000,HEAD
2013,JUN,7011000,HEAD
2013,JUL,6569000,HEAD
2013,AUG,7131000,HEAD
2013,SEP,6911000,HEAD
2013,OCT,6231000,HEAD
2013,NOV,7215000,HEAD
2013,DEC,6669000,HEAD
