Year,Month,Heads,Heads Unit
2025,JAN,1678721000,HEAD
2025,FEB,1477275000,HEAD
2024,JAN,1660120000,HEAD
2024,FEB,1552847000,HEAD
2024,MAR,1516596000,HEAD
2024,APR,1615807000,HEAD
2024,MAY,1658162000,HEAD
2024,JUN,1535644000,HEAD
2024,JUL,1681305000,HEAD
2024,AUG,1656765000,HEAD
2024,SEP,1569314000,HEAD
2024,OCT,1754858000,HEAD
2024,NOV,1480153000,HEAD
2024,DEC,1580700000,HEAD
2023,JAN,1637091000,HEAD
2023,FEB,1488990000,HEAD
2023,MAR,1663700000,HEAD
2023,APR,1475953000,HEAD
2023,MAY,1673559000,HEAD
2023,JUN,1636018000,HEAD
2023,JUL,1550752000,HEAD
2023,AUG,1737275000,HEAD
2023,SEP,1552146000,HEAD
2023,OCT,1680778000,HEAD
2023,NOV,1551382000,HEAD
2023,DEC,1475978000,HEAD
2022,JAN,1539706000,HEAD
2022,FEB,1455050000,HEAD
2022,MAR,1678802000,HEAD
2022,APR,1502464000,HEAD
2022,MAY,1590324000,HEAD
2022,JUN,1650894000,HEAD
2022,JUL,1543535000,HEAD
2022,AUG,1757126000,HEAD
2022,SEP,1643784000,HEAD
2022,OCT,1648106000,HEAD
2022,NOV,1615057000,HEAD
2022,DEC,1582813000,HEAD
2021,JAN,1517294000,HEAD
2021,FEB,1379488000,HEAD
2021,MAR,1694572000,HEAD
2021,APR,1554878000,HEAD
2021,MAY,1506829000,HEAD
2021,JUN,1641705000,HEAD
2021,JUL,1568859000,HEAD
2021,AUG,1628195000,HEAD
2021,SEP,1617728000,HEAD
2021,OCT,1571616000,HEAD
2021,NOV,1526440000,HEAD
2021,DEC,1558259000,HEAD
2020,JAN,1670658000,HEAD
2020,FEB,1461366000,HEAD
2020,MAR,1652781000,HEAD
2020,APR,1534732000,HEAD
2020,MAY,1492255000,HEAD
2020,JUN,1576700000,HEAD
2020,JUL,1603260000,HEAD
2020,AUG,1573362000,HEAD
2020,SEP,1610938000,HEAD
2020,OCT,1606257000,HEAD
2020,NOV,1464024000,HEAD
