Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit
2025,JAN,1678721000,HEAD,11171164000,"LB, LIVE BASIS",306523527534448384,"HEAD × LB, LIVE BASIS"
2025,FEB,1477275000,HEAD,9721171000,"LB, LIVE BASIS",-4085901184684551616,"HEAD × LB, LIVE BASIS"
2024,JAN,1660120000,HEAD,10930391000,"LB, LIVE BASIS",-300983366789551616,"HEAD × LB, LIVE BASIS"
2024,FEB,1552847000,HEAD,10094439000,"LB, LIVE BASIS",-2771624755876551616,"HEAD × LB, LIVE BASIS"
2024,MAR,1516596000,HEAD,9819264000,"LB, LIVE BASIS",-3554887568365551616,"HEAD × LB, LIVE BASIS"
2024,APR,1615807000,HEAD,10551817000,"LB, LIVE BASIS",-1397044302390551616,"HEAD × LB, LIVE BASIS"
2024,MAY,1658162000,HEAD,10814770000,"LB, LIVE BASIS",-514103420969551616,"HEAD × LB, LIVE BASIS"
2024,JUN,1535644000,HEAD,10074012000,"LB, LIVE BASIS",-2976647989981551616,"HEAD × LB, LIVE BASIS"
2024,JUL,1681305000,HEAD,10975415000,"LB, LIVE BASIS",6276042865448384,"HEAD × LB, LIVE BASIS"
2024,AUG,1656765000,HEAD,10897854000,"LB, LIVE BASIS",-391560991399551616,"HEAD × LB, LIVE BASIS"
2024,SEP,1569314000,HEAD,10495934000,"LB, LIVE BASIS",-1975327904433551616,"HEAD × LB, LIVE BASIS"
2024,OCT,1754858000,HEAD,11765784000,"LB, LIVE BASIS",2200536104962448384,"HEAD × LB, LIVE BASIS"
2024,NOV,1480153000,HEAD,9825032000,"LB, LIVE BASIS",-3904193483813551616,"HEAD × LB, LIVE BASIS"
2024,DEC,1580700000,HEAD,10452166000,"LB, LIVE BASIS",-1925005277509551616,"HEAD × LB, LIVE BASIS"
2023,JAN,1637091000,HEAD,10722275000,"LB, LIVE BASIS",-893404171684551616,"HEAD × LB, LIVE BASIS"
2023,FEB,1488990000,HEAD,9677331000,"LB, LIVE BASIS",-4037294988019551616,"HEAD × LB, LIVE BASIS"
2023,MAR,1663700000,HEAD,10799337000,"LB, LIVE BASIS",-479887106809551616,"HEAD × LB, LIVE BASIS"
2023,APR,1475953000,HEAD,9586143000,"LB, LIVE BASIS",-4298047554430551616,"HEAD × LB, LIVE BASIS"
2023,MAY,1673559000,HEAD,10925602000,"LB, LIVE BASIS",-162104516191551616,"HEAD × LB, LIVE BASIS"
2023,JUN,1636018000,HEAD,10693334000,"LB, LIVE BASIS",-952257169697551616,"HEAD × LB, LIVE BASIS"
2023,JUL,1550752000,HEAD,10049511000,"LB, LIVE BASIS",-2862444791437551616,"HEAD × LB, LIVE BASIS"
2023,AUG,1737275000,HEAD,11246832000,"LB, LIVE BASIS",1092095989090448384,"HEAD × LB, LIVE BASIS"
2023,SEP,1552146000,HEAD,10279232000,"LB, LIVE BASIS",-2491875241837551616,"HEAD × LB, LIVE BASIS"
2023,OCT,1680778000,HEAD,11269646000,"LB, LIVE BASIS",495028990878448384,"HEAD × LB, LIVE BASIS"
2023,NOV,1551382000,HEAD,10267496000,"LB, LIVE BASIS",-2517935594237551616,"HEAD × LB, LIVE BASIS"
2023,DEC,1475978000,HEAD,9752999000,"LB, LIVE BASIS",-4051532115687551616,"HEAD × LB, LIVE BASIS"
2022,JAN,1539706000,HEAD,9971212000,"LB, LIVE BASIS",-3094009130037551616,"HEAD × LB, LIVE BASIS"
2022,FEB,1455050000,HEAD,9403975000,"LB, LIVE BASIS",-4763490249959551616,"HEAD × LB, LIVE BASIS"
2022,MAR,1678802000,HEAD,10796745000,"LB, LIVE BASIS",-321146974219551616,"HEAD × LB, LIVE BASIS"
2022,APR,1502464000,HEAD,9628815000,"LB, LIVE BASIS",-3979796173549551616,"HEAD × LB, LIVE BASIS"
2022,MAY,1590324000,HEAD,10215594000,"LB, LIVE BASIS",-2200639761253551616,"HEAD × LB, LIVE BASIS"
2022,JUN,1650894000,HEAD,10645484000,"LB, LIVE BASIS",-872178411013551616,"HEAD × LB, LIVE BASIS"
2022,JUL,1543535000,HEAD,9938214000,"LB, LIVE BASIS",-3106762927219551616,"HEAD × LB, LIVE BASIS"
2022,AUG,1757126000,HEAD,11402001000,"LB, LIVE BASIS",1588008335416448384,"HEAD × LB, LIVE BASIS"
2022,SEP,1643784000,HEAD,10807074000,"LB, LIVE BASIS",-682248745693551616,"HEAD × LB, LIVE BASIS"
2022,OCT,1648106000,HEAD,10960981000,"LB, LIVE BASIS",-381885521723551616,"HEAD × LB, LIVE BASIS"
2022,NOV,1615057000,HEAD,10625353000,"LB, LIVE BASIS",-1286193333588551616,"HEAD × LB, LIVE BASIS"
2022,DEC,1582813000,HEAD,10395224000,"LB, LIVE BASIS",-1993048388597551616,"HEAD × LB, LIVE BASIS"
2021,JAN,1517294000,HEAD,9759892000,"LB, LIVE BASIS",-3638118501461551616,"HEAD × LB, LIVE BASIS"
2021,FEB,1379488000,HEAD,8820073000,"LB, LIVE BASIS",-6279559211085551616,"HEAD × LB, LIVE BASIS"
2021,MAR,1694572000,HEAD,10833558000,"LB, LIVE BASIS",-88500026533551616,"HEAD × LB, LIVE BASIS"
2021,APR,1554878000,HEAD,10010454000,"LB, LIVE BASIS",-2881709379097551616,"HEAD × LB, LIVE BASIS"
2021,MAY,1506829000,HEAD,9749340000,"LB, LIVE BASIS",-3756155830849551616,"HEAD × LB, LIVE BASIS"
2021,JUN,1641705000,HEAD,10636044000,"LB, LIVE BASIS",-985497458689551616,"HEAD × LB, LIVE BASIS"
2021,JUL,1568859000,HEAD,10150604000,"LB, LIVE BASIS",-2521877632873551616,"HEAD × LB, LIVE BASIS"
2021,AUG,1628195000,HEAD,10546483000,"LB, LIVE BASIS",-1275013185524551616,"HEAD × LB, LIVE BASIS"
2021,SEP,1617728000,HEAD,10605238000,"LB, LIVE BASIS",-1290353614445551616,"HEAD × LB, LIVE BASIS"
2021,OCT,1571616000,HEAD,10313539000,"LB, LIVE BASIS",-2237821164685551616,"HEAD × LB, LIVE BASIS"
2021,NOV,1526440000,HEAD,9896059000,"LB, LIVE BASIS",-3341003773749551616,"HEAD × LB, LIVE BASIS"
2021,DEC,1558259000,HEAD,9992127000,"LB, LIVE BASIS",-2876422246816551616,"HEAD × LB, LIVE BASIS"
2020,JAN,1670658000,HEAD,10713307000,"LB, LIVE BASIS",-548472027703551616,"HEAD × LB, LIVE BASIS"
2020,FEB,1461366000,HEAD,9265934000,"LB, LIVE BASIS",-4905823167865551616,"HEAD × LB, LIVE BASIS"
2020,MAR,1652781000,HEAD,10461876000,"LB, LIVE BASIS",-1155554196553551616,"HEAD × LB, LIVE BASIS"
