Year,Month,Weight,Weight Unit
2025,JAN,11171164000,"LB, LIVE BASIS"
2025,FEB,9721171000,"LB, LIVE BASIS"
2024,JAN,10930391000,"LB, LIVE BASIS"
2024,FEB,10094439000,"LB, LIVE BASIS"
2024,MAR,9819264000,"LB, LIVE BASIS"
2024,APR,10551817000,"LB, LIVE BASIS"
2024,MAY,10814770000,"LB, LIVE BASIS"
2024,JUN,10074012000,"LB, LIVE BASIS"
2024,JUL,10975415000,"LB, LIVE BASIS"
2024,AUG,10897854000,"LB, LIVE BASIS"
2024,SEP,10495934000,"LB, LIVE BASIS"
2024,OCT,11765784000,"LB, LIVE BASIS"
2024,NOV,9825032000,"LB, LIVE BASIS"
2024,DEC,10452166000,"LB, LIVE BASIS"
2023,JAN,10722275000,"LB, LIVE BASIS"
2023,FEB,9677331000,"LB, LIVE BASIS"
2023,MAR,10799337000,"LB, LIVE BASIS"
2023,APR,9586143000,"LB, LIVE BASIS"
2023,MAY,10925602000,"LB, LIVE BASIS"
2023,JUN,10693334000,"LB, LIVE BASIS"
2023,JUL,10049511000,"LB, LIVE BASIS"
2023,AUG,11246832000,"LB, LIVE BASIS"
2023,SEP,10279232000,"LB, LIVE BASIS"
2023,OCT,11269646000,"LB, LIVE BASIS"
2023,NOV,10267496000,"LB, LIVE BASIS"
2023,DEC,9752999000,"LB, LIVE BASIS"
2022,JAN,9971212000,"LB, LIVE BASIS"
2022,FEB,9403975000,"LB, LIVE BASIS"
2022,MAR,10796745000,"LB, LIVE BASIS"
2022,APR,9628815000,"LB, LIVE BASIS"
2022,MAY,10215594000,"LB, LIVE BASIS"
2022,JUN,10645484000,"LB, LIVE BASIS"
2022,JUL,9938214000,"LB, LIVE BASIS"
2022,AUG,11402001000,"LB, LIVE BASIS"
2022,SEP,10807074000,"LB, LIVE BASIS"
2022,OCT,10960981000,"LB, LIVE BASIS"
2022,NOV,10625353000,"LB, LIVE BASIS"
2022,DEC,10395224000,"LB, LIVE BASIS"
2021,JAN,9759892000,"LB, LIVE BASIS"
2021,FEB,8820073000,"LB, LIVE BASIS"
2021,MAR,10833558000,"LB, LIVE BASIS"
2021,APR,10010454000,"LB, LIVE BASIS"
2021,MAY,9749340000,"LB, LIVE BASIS"
2021,JUN,10636044000,"LB, LIVE BASIS"
2021,JUL,10150604000,"LB, LIVE BASIS"
2021,AUG,10546483000,"LB, LIVE BASIS"
2021,SEP,10605238000,"LB, LIVE BASIS"
2021,OCT,10313539000,"LB, LIVE BASIS"
2021,NOV,9896059000,"LB, LIVE BASIS"
2021,DEC,9992127000,"LB, LIVE BASIS"
2020,JAN,10713307000,"LB, LIVE BASIS"
2020,FEB,9265934000,"LB, LIVE BASIS"
2020,MAR,10461876000,"LB, LIVE BASIS"
2020,APR,9776379000,"LB, LIVE BASIS"
2020,MAY,9642464000,"LB, LIVE BASIS"
2020,JUN,10225179000,"LB, LIVE BASIS"
2020,JUL,10159648000,"LB, LIVE BASIS"
2020,AUG,10117282000,"LB, LIVE BASIS"
2020,SEP,10491309000,"LB, LIVE BASIS"
2020,OCT,10418695000,"LB, LIVE BASIS"
2020,NOV,9402221000,"LB, LIVE BASIS"
2020,DEC,10039572000,"LB, LIVE BASIS"
2019,JAN,10065163000,"LB, LIVE BASIS"
2019,FEB,8839296000,"LB, LIVE BASIS"
2019,MAR,9247177000,"LB, LIVE BASIS"
2019,APR,9730919000,"LB, LIVE BASIS"
2019,MAY,10366716000,"LB, LIVE BASIS"
2019,JUN,9554341000,"LB, LIVE BASIS"
2019,JUL,10478267000,"LB, LIVE BASIS"
2019,AUG,10427843000,"LB, LIVE BASIS"
2019,SEP,9984638000,"LB, LIVE BASIS"
2019,OCT,11086941000,"LB, LIVE BASIS"
2019,NOV,9276100000,"LB, LIVE BASIS"
2019,DEC,9867585000,"LB, LIVE BASIS"
2018,JAN,9862433000,"LB, LIVE BASIS"
2018,FEB,8823347000,"LB, LIVE BASIS"
2018,MAR,9462097000,"LB, LIVE BASIS"
2018,APR,9370148000,"LB, LIVE BASIS"
2018,MAY,10141452000,"LB, LIVE BASIS"
2018,JUN,9484907000,"LB, LIVE BASIS"
2018,JUL,9844167000,"LB, LIVE BASIS"
2018,AUG,10577581000,"LB, LIVE BASIS"
2018,SEP,9255261000,"LB, LIVE BASIS"
2018,OCT,10599455000,"LB, LIVE BASIS"
2018,NOV,9368414000,"LB, LIVE BASIS"
2018,DEC,8742371000,"LB, LIVE BASIS"
2017,JAN,9486223000,"LB, LIVE BASIS"
2017,FEB,8557386000,"LB, LIVE BASIS"
2017,MAR,9725074000,"LB, LIVE BASIS"
2017,APR,8719786000,"LB, LIVE BASIS"
2017,MAY,9889389000,"LB, LIVE BASIS"
2017,JUN,9631648000,"LB, LIVE BASIS"
2017,JUL,9111940000,"LB, LIVE BASIS"
2017,AUG,10232592000,"LB, LIVE BASIS"
2017,SEP,9309425000,"LB, LIVE BASIS"
2017,OCT,10062188000,"LB, LIVE BASIS"
2017,NOV,9344929000,"LB, LIVE BASIS"
2017,DEC,9026980000,"LB, LIVE BASIS"
2016,JAN,8857840000,"LB, LIVE BASIS"
2016,FEB,8845795000,"LB, LIVE BASIS"
2016,MAR,9597410000,"LB, LIVE BASIS"
2016,APR,8962124000,"LB, LIVE BASIS"
2016,MAY,9413033000,"LB, LIVE BASIS"
2016,JUN,9491959000,"LB, LIVE BASIS"
2016,JUL,8830822000,"LB, LIVE BASIS"
2016,AUG,9903867000,"LB, LIVE BASIS"
2016,SEP,9387566000,"LB, LIVE BASIS"
2016,OCT,9276111000,"LB, LIVE BASIS"
2016,NOV,9064963000,"LB, LIVE BASIS"
2016,DEC,8987229000,"LB, LIVE BASIS"
2015,JAN,9063983000,"LB, LIVE BASIS"
2015,FEB,8159789000,"LB, LIVE BASIS"
2015,MAR,9212116000,"LB, LIVE BASIS"
2015,APR,9090805000,"LB, LIVE BASIS"
2015,MAY,8797579000,"LB, LIVE BASIS"
2015,JUN,9312854000,"LB, LIVE BASIS"
2015,JUL,9425539000,"LB, LIVE BASIS"
2015,AUG,9260482000,"LB, LIVE BASIS"
2015,SEP,9453234000,"LB, LIVE BASIS"
2015,OCT,9425965000,"LB, LIVE BASIS"
2015,NOV,8496263000,"LB, LIVE BASIS"
2015,DEC,9060562000,"LB, LIVE BASIS"
2014,JAN,8686420000,"LB, LIVE BASIS"
2014,FEB,8192102000,"LB, LIVE BASIS"
2014,MAR,8436801000,"LB, LIVE BASIS"
2014,APR,8731901000,"LB, LIVE BASIS"
2014,MAY,8724817000,"LB, LIVE BASIS"
2014,JUN,8737403000,"LB, LIVE BASIS"
2014,JUL,9045543000,"LB, LIVE BASIS"
2014,AUG,8706349000,"LB, LIVE BASIS"
2014,SEP,8984802000,"LB, LIVE BASIS"
2014,OCT,9583385000,"LB, LIVE BASIS"
2014,NOV,7990244000,"LB, LIVE BASIS"
2014,DEC,9099772000,"LB, LIVE BASIS"
2013,JAN,8923739000,"LB, LIVE BASIS"
2013,FEB,7857613000,"LB, LIVE BASIS"
2013,MAR,8163072000,"LB, LIVE BASIS"
2013,APR,8721035000,"LB, LIVE BASIS"
2013,MAY,8950243000,"LB, LIVE BASIS"
2013,JUN,8200951000,"LB, LIVE BASIS"
2013,JUL,8945029000,"LB, LIVE BASIS"
2013,AUG,8999946000,"LB, LIVE BASIS"
2013,SEP,8464603000,"LB, LIVE BASIS"
2013,OCT,9450325000,"LB, LIVE BASIS"
2013,NOV,8049152000,"LB, LIVE BASIS"
2013,DEC,8425719000,"LB, LIVE BASIS"
2012,JAN,8466802000,"LB, LIVE BASIS"
2012,FEB,8045492000,"LB, LIVE BASIS"
2012,MAR,8312403000,"LB, LIVE BASIS"
2012,APR,8169252000,"LB, LIVE BASIS"
2012,MAY,8965141000,"LB, LIVE BASIS"
