Type,Year,Herd,Month,Date
ALL CLASSES,2024,"24,600,000",6,2024-06-01
ALL CLASSES,2024,"8,929,500",12,2024-12-01
ALL CLASSES,2023,"24,700,000",6,2023-06-01
ALL CLASSES,2023,"8,863,000",12,2023-12-01
ALL CLASSES,2022,"25,300,000",6,2022-06-01
ALL CLASSES,2022,"9,139,500",12,2022-12-01
ALL CLASSES,2021,"25,700,000",6,2021-06-01
ALL CLASSES,2021,"9,430,900",12,2021-12-01
ALL CLASSES,2020,"25,850,000",6,2020-06-01
ALL CLASSES,2020,"9,650,500",12,2020-12-01
ALL CLASSES,2019,"26,000,000",6,2019-06-01
ALL CLASSES,2019,"9,596,600",12,2019-12-01
ALL CLASSES,2018,"26,450,000",6,2018-06-01
ALL CLASSES,2018,"9,837,700",12,2018-12-01
ALL CLASSES,2017,"25,950,000",6,2017-06-01
ALL CLASSES,2017,"9,808,200",12,2017-12-01
ALL CLASSES,2016,"25,450,000",6,2016-06-01
ALL CLASSES,2016,"9,612,700",12,2016-12-01
ALL CLASSES,2015,"24,650,000",6,2015-06-01
ALL CLASSES,2015,"9,436,700",12,2015-12-01
ALL CLASSES,2014,"24,200,000",6,2014-06-01
ALL CLASSES,2014,"9,322,000",12,2014-12-01
ALL CLASSES,2013,"24,400,000",6,2013-06-01
ALL CLASSES,2013,"9,230,000",12,2013-12-01
ALL CLASSES,2012,"25,100,000",6,2012-06-01
ALL CLASSES,2012,"9,369,000",12,2012-12-01
ALL CLASSES,2011,"25,700,000",6,2011-06-01
ALL CLASSES,2011,"9,657,200",12,2011-12-01
ALL CLASSES,2010,"25,900,000",6,2010-06-01
ALL CLASSES,2010,"9,839,800",12,2010-12-01
ALL CLASSES,2009,"26,100,000",6,2009-06-01
ALL CLASSES,2009,"9,839,000",12,2009-12-01
ALL CLASSES,2008,"26,300,000",6,2008-06-01
ALL CLASSES,2008,"9,857,500",12,2008-12-01
ALL CLASSES,2007,"26,700,000",6,2007-06-01
ALL CLASSES,2007,"10,058,700",12,2007-12-01
ALL CLASSES,2006,"26,900,000",6,2006-06-01
ALL CLASSES,2006,"10,115,700",12,2006-12-01
ALL CLASSES,2005,"27,000,000",6,2005-06-01
ALL CLASSES,2005,"10,106,100",12,2005-12-01
ALL CLASSES,2004,"27,200,000",6,2004-06-01
ALL CLASSES,2004,"10,060,400",12,2004-12-01
ALL CLASSES,2003,"27,500,000",6,2003-06-01
ALL CLASSES,2003,"10,092,800",12,2003-12-01
ALL CLASSES,2002,"27,900,000",6,2002-06-01
ALL CLASSES,2002,"10,323,700",12,2002-12-01
ALL CLASSES,2001,"28,100,000",6,2001-06-01
ALL CLASSES,2001,"10,200,400",12,2001-12-01
ALL CLASSES,2000,"28,400,000",6,2000-06-01
ALL CLASSES,2000,"10,230,600",12,2000-12-01
ALL CLASSES,1999,"28,500,000",6,1999-06-01
ALL CLASSES,1999,"10,296,400",12,1999-12-01
ALL CLASSES,1998,"28,500,000",6,1998-06-01
ALL CLASSES,1998,"10,312,100",12,1998-12-01
ALL CLASSES,1997,"28,600,000",6,1997-06-01
ALL CLASSES,1997,"10,360,900",12,1997-12-01
ALL CLASSES,1996,"29,300,000",6,1996-06-01
ALL CLASSES,1996,"10,523,000",12,1996-12-01
ALL CLASSES,1995,"29,500,000",6,1995-06-01
ALL CLASSES,1995,"10,763,700",12,1995-12-01
ALL CLASSES,1994,"29,300,000",6,1994-06-01
ALL CLASSES,1994,"10,804,500",12,1994-12-01
ALL CLASSES,1993,"28,800,000",6,1993-06-01
ALL CLASSES,1993,"10,569,200",12,1993-12-01
ALL CLASSES,1992,"28,500,000",6,1992-06-01
ALL CLASSES,1992,"10,433,000",12,1992-12-01
ALL CLASSES,1991,"28,400,000",6,1991-06-01
ALL CLASSES,1991,"10,183,200",12,1991-12-01
ALL CLASSES,1990,"28,200,000",6,1990-06-01
ALL CLASSES,1990,"10,413,300",12,1990-12-01
ALL CLASSES,1989,"28,300,000",6,1989-06-01
ALL CLASSES,1989,"10,516,900",12,1989-12-01
ALL CLASSES,1988,"28,100,000",6,1988-06-01
ALL CLASSES,1988,"11,217,900",12,1988-12-01
ALL CLASSES,1987,"28,750,000",6,1987-06-01
ALL CLASSES,1987,"11,402,000",12,1987-12-01
ALL CLASSES,1986,"29,450,000",6,1986-06-01
ALL CLASSES,1986,"11,732,000",12,1986-12-01
ALL CLASSES,1985,"29,350,000",6,1985-06-01
ALL CLASSES,1985,"11,700,000",12,1985-12-01
ALL CLASSES,1984,"30,400,000",6,1984-06-01
ALL CLASSES,1984,"12,070,000",12,1984-12-01
ALL CLASSES,1983,"31,150,000",6,1983-06-01
ALL CLASSES,1983,"12,735,000",12,1983-12-01
ALL CLASSES,1982,"31,161,000",6,1982-06-01
ALL CLASSES,1982,"13,039,000",12,1982-12-01
ALL CLASSES,1981,"31,713,000",6,1981-06-01
ALL CLASSES,1981,"12,953,000",12,1981-12-01
ALL CLASSES,1980,"32,131,000",6,1980-06-01
ALL CLASSES,1980,"12,807,000",12,1980-12-01
ALL CLASSES,1979,"29,775,000",6,1979-06-01
ALL CLASSES,1979,"12,821,000",12,1979-12-01
ALL CLASSES,1978,"31,023,000",6,1978-06-01
ALL CLASSES,1978,"12,795,000",12,1978-12-01
ALL CLASSES,1977,"33,500,000",6,1977-06-01
ALL CLASSES,1977,"12,431,000",12,1977-12-01
