WeekEnd Date  ,National Prime,National Choice,National Select,National Other,Reg 1-5 Prime,Reg 1-5 Choice,Reg 1-5 Select,Reg 1-5 Other,Reg 6 Prime,Reg 6 Choice,Reg 6 Select,Reg 6 Other,Reg 7-8 Prime,Reg 7-8 Choice,Reg 7-8 Select,Reg 7-8 Other,Region 9-10 Prime,Region 9-10 Choice,Region 9-10 Select,Region 9-10 Other,Nebraska Prime,Nebraska Choice,Nebraska Select,Nebraska Other,Kansas Prime,Kansas Choice,Kansas Select,Kansas Other,Texas Prime,Texas Choice,Texas Select,Texas Other,YG 1,YG 2,YG 3,YG 4,YG 5,YG 1-5,No YG,% Fed Cattle YG,Upper 2/3 Choice,Schedule GLA,Class Total Reg 1-5,Steer Reg 1-5,Heifer Reg 1-5,Dairy Cow Reg 1-5,Other Cow Reg 1-5,Bulls Reg 1-5,Class Total Reg 6,Steer Reg 6,Heifer Reg 6,Dairy Cow Reg 6,Other Cow Reg 6,Bulls Reg 6,Class Total Reg 7-8,Steer Reg 7-8,Heifer Reg 7-8,Dairy Cow Reg 7-8,Other Cow Reg 7-8,Bulls Reg 7-8,Class Total Reg 9-10,Steer Reg 9-10,Heifer Reg 9-10,Dairy Cow Reg 9-10,Other Cow Reg 9-10,Bulls Reg 9-10,Total %,Total Steer %,Total Heifer %,Total Dairy Cow %,Total Other Cow %,Total Bulls %,Total Head,Total Steer Head,Total Heifer Head,Total Dairy Cow Head,Total Other Cow Head,Total Bull Head
2/14/2009,2.86%,61.40%,28.44%,7.30%,7.97%,66.34%,18.75%,6.94%,0.73%,47.32%,42.83%,9.12%,2.76%,66.04%,25.38%,5.81%,2.25%,56.16%,26.72%,14.87%,4.57%,70.79%,18.45%,6.19%,1.45%,60.48%,33.16%,4.90%,0.74%,47.72%,43.07%,8.47%,8.26%,33.31%,40.09%,9.27%,1.46%,92.39%,7.61%,55.41%,23.08%,60.98%,18.41%,6.10%,2.17%,4.98%,4.45%,0.71%,20.67%,10.17%,6.36%,0.95%,2.78%,0.40%,49.93%,26.86%,19.97%,0.32%,2.46%,0.31%,11.00%,4.50%,1.50%,4.19%,0.61%,0.19%,100.00%,47.63%,30.00%,10.45%,10.30%,1.62%,618300.0,294500.0,185500.0,64600.0,63700.0,10000.0
2/21/2009,2.84%,62.42%,27.42%,7.32%,8.44%,65.04%,17.73%,8.80%,0.65%,47.64%,42.96%,8.75%,2.59%,67.56%,23.81%,6.04%,2.35%,59.08%,27.21%,11.37%,4.02%,72.08%,17.55%,6.35%,1.50%,62.28%,31.08%,5.14%,0.66%,48.12%,43.16%,8.06%,7.98%,33.72%,40.90%,9.02%,1.44%,93.06%,6.94%,56.51%,23.81%,61.96%,18.27%,6.27%,1.90%,4.97%,4.43%,0.70%,20.32%,10.59%,5.81%,0.76%,2.76%,0.39%,50.51%,27.48%,20.22%,0.31%,2.18%,0.32%,10.90%,4.69%,1.79%,3.62%,0.60%,0.19%,100.00%,49.03%,29.72%,9.66%,9.97%,1.61%,615700.0,301900.0,183000.0,59500.0,61400.0,9900.0
2/28/2009,2.86%,63.24%,27.85%,6.05%,7.92%,67.50%,17.76%,6.82%,0.80%,50.67%,41.12%,7.42%,2.71%,67.30%,24.90%,5.10%,2.30%,60.33%,28.92%,8.44%,3.70%,71.70%,18.52%,6.08%,1.46%,61.41%,34.34%,2.78%,0.78%,50.98%,41.32%,6.91%,8.02%,33.35%,41.43%,9.84%,1.54%,94.17%,5.83%,57.17%,24.15%,60.27%,18.26%,6.71%,2.10%,4.72%,4.09%,0.65%,20.33%,10.60%,6.33%,0.73%,2.29%,0.37%,50.34%,26.45%,20.88%,0.32%,2.31%,0.37%,11.07%,4.82%,2.02%,3.59%,0.47%,0.18%,100.00%,48.58%,31.33%,9.36%,9.16%,1.57%,618800.0,300600.0,193900.0,57900.0,56700.0,9700.0
3/7/2009,3.17%,62.63%,27.02%,7.18%,8.05%,68.47%,16.78%,6.69%,0.74%,49.77%,40.51%,8.97%,3.11%,66.31%,24.17%,6.41%,2.87%,61.46%,26.84%,8.84%,4.67%,70.98%,17.99%,6.35%,1.86%,60.73%,32.40%,5.02%,0.73%,50.04%,40.72%,8.52%,7.74%,32.30%,39.11%,9.19%,1.31%,89.64%,10.36%,55.40%,24.37%,58.69%,17.92%,6.60%,1.86%,4.77%,4.05%,0.65%,21.60%,10.89%,6.81%,0.83%,2.67%,0.40%,48.91%,25.76%,20.13%,0.35%,2.32%,0.35%,11.57%,5.16%,1.54%,4.09%,0.56%,0.22%,100.00%,48.41%,30.34%,10.05%,9.60%,1.61%,603200.0,292000.0,183000.0,60600.0,57900.0,9700.0
3/14/2009,2.98%,61.50%,27.11%,8.41%,7.88%,69.75%,16.30%,6.08%,0.71%,46.01%,39.71%,13.57%,3.02%,65.62%,24.48%,6.88%,2.23%,63.19%,26.04%,8.54%,4.33%,69.88%,17.86%,7.92%,1.63%,59.77%,33.57%,5.03%,0.69%,46.23%,39.85%,13.23%,8.33%,32.55%,40.07%,9.92%,1.49%,92.36%,7.64%,55.03%,23.17%,61.56%,17.57%,6.42%,2.02%,4.43%,4.05%,0.66%,20.72%,10.88%,6.53%,0.59%,2.37%,0.35%,50.90%,26.64%,21.33%,0.30%,2.29%,0.34%,10.80%,4.80%,1.81%,3.33%,0.62%,0.24%,100.00%,48.74%,31.69%,8.66%,9.33%,1.58%,624900.0,304600.0,198000.0,54100.0,58300.0,9900.0
3/21/2009,3.27%,61.46%,28.10%,7.17%,8.32%,69.02%,17.04%,5.62%,0.69%,47.82%,43.94%,7.55%,3.44%,64.96%,24.49%,7.11%,2.21%,62.11%,26.94%,8.73%,5.62%,69.47%,16.86%,8.04%,1.61%,59.58%,33.50%,5.31%,0.69%,48.08%,44.15%,7.09%,8.45%,32.82%,41.05%,9.57%,1.49%,93.39%,6.61%,56.89%,23.78%,58.92%,17.65%,6.36%,2.15%,4.45%,3.98%,0.71%,19.89%,10.68%,6.21%,0.61%,2.07%,0.31%,51.44%,27.41%,21.04%,0.31%,2.31%,0.37%,11.02%,4.79%,1.80%,3.35%,0.86%,0.23%,100.00%,49.24%,31.20%,8.72%,9.22%,1.62%,618000.0,304300.0,192800.0,53900.0,57000.0,10000.0
3/28/2009,3.15%,61.68%,27.82%,7.35%,7.68%,65.91%,16.56%,9.85%,0.72%,47.55%,44.06%,7.67%,3.22%,65.21%,24.82%,6.74%,1.86%,62.89%,27.64%,7.60%,5.19%,69.24%,17.92%,7.66%,1.72%,59.80%,33.88%,4.61%,0.72%,47.97%,44.26%,7.04%,7.52%,33.31%,40.81%,9.61%,1.51%,92.76%,7.24%,55.88%,23.80%,61.78%,18.49%,6.79%,2.10%,4.58%,4.23%,0.79%,20.39%,10.74%,6.38%,0.60%,2.21%,0.46%,49.69%,26.89%,19.60%,0.33%,2.51%,0.36%,11.43%,4.69%,2.33%,3.23%,0.87%,0.31%,100.00%,49.11%,30.41%,8.74%,9.82%,1.92%,584600.0,287100.0,177800.0,51100.0,57400.0,11200.0
4/4/2009,3.07%,61.83%,28.66%,6.44%,7.17%,68.67%,17.77%,6.39%,0.69%,49.75%,42.31%,7.25%,3.21%,64.83%,26.03%,5.93%,2.39%,61.69%,27.72%,8.20%,5.40%,70.29%,18.61%,5.70%,1.48%,58.34%,35.06%,5.13%,0.69%,50.18%,42.56%,6.58%,8.82%,35.03%,39.91%,9.27%,1.50%,94.53%,5.47%,56.71%,22.48%,58.90%,17.27%,6.45%,2.07%,4.23%,3.82%,0.71%,20.24%,11.14%,6.23%,0.59%,1.89%,0.39%,51.67%,27.66%,20.92%,0.33%,2.48%,0.30%,10.81%,5.07%,1.67%,3.05%,0.74%,0.28%,100.00%,50.31%,30.89%,8.20%,8.92%,1.67%,609600.0,306700.0,188300.0,50000.0,54400.0,10200.0
4/11/2009,3.03%,60.38%,29.09%,7.49%,7.58%,68.85%,17.65%,5.92%,0.66%,48.19%,43.04%,8.11%,3.14%,63.31%,26.39%,7.17%,2.18%,59.91%,27.09%,10.82%,5.78%,69.05%,17.30%,7.88%,1.32%,57.73%,35.42%,5.53%,0.66%,48.53%,43.28%,7.53%,9.28%,35.27%,39.21%,8.51%,1.29%,93.55%,6.45%,55.34%,22.37%,59.98%,18.05%,7.04%,2.00%,4.44%,3.82%,0.75%,21.01%,10.91%,6.89%,0.60%,2.20%,0.40%,50.53%,27.00%,20.54%,0.30%,2.37%,0.32%,10.41%,4.66%,1.65%,2.90%,0.90%,0.30%,100.00%,49.61%,31.09%,8.24%,9.29%,1.77%,599300.0,297300.0,186300.0,49400.0,55700.0,10600.0
4/18/2009,3.06%,60.96%,28.82%,7.15%,7.39%,68.63%,17.38%,6.61%,0.70%,48.71%,43.02%,7.58%,3.12%,63.78%,26.18%,6.92%,2.25%,60.57%,28.37%,8.80%,5.13%,69.07%,19.11%,6.69%,1.35%,56.89%,35.38%,6.37%,0.69%,49.08%,43.24%,6.99%,9.82%,35.62%,38.70%,8.81%,1.34%,94.29%,5.71%,57.76%,22.88%,57.64%,17.40%,6.84%,1.92%,3.95%,3.98%,0.71%,20.88%,11.30%,6.20%,0.69%,2.29%,0.41%,50.95%,28.66%,19.24%,0.28%,2.42%,0.35%,10.77%,4.80%,1.78%,2.98%,0.94%,0.28%,100.00%,51.60%,29.14%,7.89%,9.62%,1.74%,608100.0,313800.0,177200.0,48000.0,58500.0,10600.0
