Date, Composite CUTOUT VALUE, PRIME CUTOUT VALUE, BRANDED CUTOUT VALUE, CHOICE CUTOUT VALUE, SELECT CUTOUT VALUE, UNGRADED CUTOUT VALUE,Composite Primal Rib,Prime Primal Rib,Branded Primal Rib,Choice Primal Rib,Select Primal Rib,Ungraded Primal Rib,Composite Primal Chuck,Prime Primal Chuck,Branded Primal Chuck,Choice Primal Chuck,Select Primal Chuck,Ungraded Primal Chuck,Composite Primal Round,Prime Primal Round,Branded Primal Round,Choice Primal Round,Select Primal Round,Ungraded Primal Round,Composite Primal Loin,Prime Primal Loin,Branded Primal Loin,Choice Primal Loin,Select Primal Loin,Ungraded Primal Loin,Composite Primal Brisket,Prime Primal Brisket,Branded Primal Brisket,Choice Primal Brisket,Select Primal Brisket,Ungraded Primal Brisket,Composite Primal Short Plate,Prime Primal Short Plate,Branded Primal Short Plate,Choice Primal Short Plate,Select Primal Short Plate,Ungraded Primal Short Plate,Composite Primal Flank,Prime Primal Flank,Branded Primal Flank,Choice Primal Flank,Select Primal Flank,Ungraded Primal Flank,Total Volume ,Prime Volume,Branded  Volume,Choice Volume,Select Volume,"Ungraded Volume(Cuts, Trims, Grinds)",Negotiated Sales      0-21 Day,Negotiated Sales      21+ Day,Formula Sales,Forward Contract Sales,Domestic Sales,NAFTA Exports,Overseas Exports,Delivery 0-21,Delivery 22-60,Delivery 60-90,Delivery 91 and up
2008-09-12,156.59,193.88,162.85,159.49,153.15,147.13,219.36,326.08,228.15,221.67,208.5,194.75,138.47,138.52,139.26,138.51,138.08,138.67,142.12,142.56,144.41,142.53,141.61,139.97,198.35,316.18,218.42,209.6,189.64,169.42,106.69,107.23,109.04,107.22,106.51,105.41,117.62,117.62,117.62,117.62,117.62,117.62,95.27,98.96,99.79,98.95,91.4,93.39,8195,40,683,2140,1825,3508,3586,1165,3184,260,7320,201,673,,,,
2008-09-19,157.34,190.87,165.92,160.06,153.45,147.67,221.67,307.76,239.31,221.94,210.39,193.14,140.34,140.33,142.46,140.31,139.7,139.27,143.41,143.17,145.11,143.14,144.0,142.61,196.46,308.62,221.12,209.06,185.12,168.76,105.52,105.49,109.7,105.49,105.16,106.1,118.23,118.23,118.23,118.23,118.23,118.23,97.2,100.02,101.41,100.01,93.19,94.01,6697,25,536,1828,1409,2898,2787,819,2732,360,5980,229,488,,,,
2008-09-26,157.33,192.03,164.74,159.29,152.69,146.05,218.52,308.76,239.98,220.92,204.74,184.21,141.37,141.18,143.37,141.2,140.58,142.41,145.85,145.5,146.92,145.47,145.23,142.73,195.26,310.92,213.52,203.26,183.34,162.8,105.32,106.03,108.02,106.03,104.63,104.8,115.68,115.68,115.68,115.68,115.68,115.68,95.46,98.34,99.79,98.32,90.86,92.2,7486,36,568,1771,1558,3553,3041,765,3212,468,6747,292,448,,,,
2008-10-03,153.07,185.67,161.72,155.89,150.17,142.53,213.34,301.57,229.63,219.99,206.99,184.3,137.7,136.86,141.7,136.86,137.49,137.82,143.41,143.2,145.89,143.18,143.25,140.9,186.91,294.24,209.7,197.21,177.91,156.09,104.69,106.03,107.28,106.02,104.14,103.33,113.22,113.22,113.22,113.22,113.22,113.22,93.44,96.99,96.82,96.98,88.95,89.64,7311,34,560,1840,1545,3332,3083,770,3075,383,6857,167,287,,,,
2008-10-10,151.04,183.25,157.27,155.14,146.23,138.23,220.08,303.73,221.49,235.13,199.21,179.28,133.97,134.67,136.08,134.66,133.06,130.19,139.76,138.95,143.19,138.93,140.51,137.54,184.06,290.78,205.1,194.74,173.87,153.51,102.29,102.56,103.87,102.56,101.66,102.03,111.06,111.06,111.06,111.06,111.06,111.06,93.64,96.71,97.81,96.71,89.02,90.84,7229,40,552,1925,1376,3336,3109,573,3128,420,6817,116,296,,,,
2008-10-17,145.81,176.21,154.73,148.85,141.72,134.03,206.55,284.57,225.87,207.34,196.68,178.88,127.59,129.15,130.06,129.11,125.98,122.92,137.37,136.69,140.29,136.68,136.83,133.62,178.43,277.95,203.1,190.07,168.36,148.88,103.08,104.55,102.74,104.55,101.94,102.46,109.3,109.3,109.3,109.3,109.3,109.3,93.8,97.24,97.83,97.24,88.35,89.73,7747,35,660,1876,1575,3602,3210,727,3386,425,7165,194,388,,,,
2008-10-24,143.26,164.35,149.32,146.17,139.05,130.95,203.03,267.04,205.86,207.54,190.67,172.27,122.94,124.41,126.4,124.36,122.07,117.58,135.22,136.31,138.71,136.27,133.29,131.24,178.27,239.9,196.03,185.98,169.03,148.79,99.95,99.69,100.45,99.69,100.08,100.18,108.08,108.08,108.08,108.08,108.08,108.08,93.05,96.93,97.56,96.93,88.1,89.43,8898,46,614,2053,1939,4244,3509,976,3023,1390,8288,205,404,,,,
2008-10-31,140.96,164.23,147.73,142.92,138.46,130.39,193.93,266.17,207.32,198.34,185.61,169.2,121.13,121.79,123.36,121.74,121.04,117.14,135.04,134.68,138.4,134.64,133.89,129.96,175.52,245.58,192.43,181.33,170.22,149.83,99.84,100.16,101.49,100.16,98.88,101.33,107.0,107.0,107.0,107.0,107.0,107.0,92.28,96.03,97.53,96.02,89.22,89.65,8186,37,622,1909,1615,4003,3321,709,2916,1240,7748,172,266,,,,
2008-11-07,145.36,167.63,150.9,146.33,142.76,134.52,208.41,283.34,221.52,211.5,201.05,175.65,121.84,121.65,123.83,121.63,121.67,120.73,137.24,137.31,139.9,137.28,136.35,134.33,184.23,248.95,197.33,186.83,178.07,155.58,100.42,100.74,101.13,100.74,99.73,101.29,107.98,107.98,107.98,107.98,107.98,107.98,95.81,98.9,97.34,98.89,90.27,91.81,8140,41,634,2256,1895,3315,3390,809,3083,859,7530,325,286,,,,
2008-11-14,150.01,177.48,156.87,151.34,145.64,137.78,227.63,311.97,247.0,232.24,212.13,186.93,122.73,122.68,124.88,122.65,122.2,122.07,140.96,141.78,142.39,141.73,139.7,136.74,190.18,273.78,206.94,193.06,180.44,159.91,101.12,101.08,102.44,101.08,100.66,101.81,110.47,110.47,110.47,110.47,110.47,110.47,92.92,94.43,95.94,94.42,90.13,89.62,7263,41,611,2097,1541,2973,2767,766,3003,727,6864,246,152,,,,
