Type,Year,Herd,Month,Date
"COWS, BEEF",2025,"27,863,500",01,2025-01-01
"COWS, BEEF",2024,"28,013,000",01,2024-01-01
"COWS, BEEF",2023,"28,939,300",01,2023-01-01
"COWS, BEEF",2023,"29,000,000",07,2023-07-01
"COWS, BEEF",2022,"29,965,200",01,2022-01-01
"COWS, BEEF",2022,"30,200,000",07,2022-07-01
"COWS, BEEF",2021,"30,856,600",01,2021-01-01
"COWS, BEEF",2021,"31,100,000",07,2021-07-01
"COWS, BEEF",2020,"31,348,700",01,2020-01-01
"COWS, BEEF",2020,"31,950,000",07,2020-07-01
"COWS, BEEF",2019,"31,640,700",01,2019-01-01
"COWS, BEEF",2019,"32,200,000",07,2019-07-01
"COWS, BEEF",2018,"31,466,200",01,2018-01-01
"COWS, BEEF",2018,"32,300,000",07,2018-07-01
"COWS, BEEF",2017,"31,170,700",01,2017-01-01
"COWS, BEEF",2017,"32,100,000",07,2017-07-01
"COWS, BEEF",2016,"30,163,800",01,2016-01-01
"COWS, BEEF",2015,"29,332,100",01,2015-01-01
"COWS, BEEF",2015,"30,400,000",07,2015-07-01
"COWS, BEEF",2014,"28,956,400",01,2014-01-01
"COWS, BEEF",2014,"29,750,000",07,2014-07-01
"COWS, BEEF",2013,"29,631,300",01,2013-01-01
"COWS, BEEF",2012,"30,281,900",01,2012-01-01
"COWS, BEEF",2012,"30,467,000",07,2012-07-01
"COWS, BEEF",2011,"30,912,600",01,2011-01-01
"COWS, BEEF",2011,"31,398,000",07,2011-07-01
"COWS, BEEF",2010,"31,439,900",01,2010-01-01
"COWS, BEEF",2010,"31,767,000",07,2010-07-01
"COWS, BEEF",2009,"31,793,800",01,2009-01-01
"COWS, BEEF",2009,"32,196,000",07,2009-07-01
"COWS, BEEF",2008,"32,434,500",01,2008-01-01
"COWS, BEEF",2008,"32,682,000",07,2008-07-01
"COWS, BEEF",2007,"32,644,200",01,2007-01-01
"COWS, BEEF",2007,"33,150,000",07,2007-07-01
"COWS, BEEF",2006,"32,702,500",01,2006-01-01
"COWS, BEEF",2006,"33,250,000",07,2006-07-01
"COWS, BEEF",2005,"32,674,400",01,2005-01-01
"COWS, BEEF",2005,"33,250,000",07,2005-07-01
"COWS, BEEF",2004,"32,531,300",01,2004-01-01
"COWS, BEEF",2004,"33,200,000",07,2004-07-01
"COWS, BEEF",2003,"32,983,300",01,2003-01-01
"COWS, BEEF",2003,"33,500,000",07,2003-07-01
"COWS, BEEF",2002,"33,133,700",01,2002-01-01
"COWS, BEEF",2002,"33,750,000",07,2002-07-01
"COWS, BEEF",2001,"33,398,200",01,2001-01-01
"COWS, BEEF",2001,"33,900,000",07,2001-07-01
"COWS, BEEF",2000,"33,575,000",01,2000-01-01
"COWS, BEEF",2000,"33,950,000",07,2000-07-01
"COWS, BEEF",1999,"33,750,400",01,1999-01-01
"COWS, BEEF",1999,"34,150,000",07,1999-07-01
"COWS, BEEF",1998,"33,885,000",01,1998-01-01
"COWS, BEEF",1998,"34,400,000",07,1998-07-01
"COWS, BEEF",1997,"34,457,900",01,1997-01-01
"COWS, BEEF",1997,"34,800,000",07,1997-07-01
"COWS, BEEF",1996,"35,318,700",01,1996-01-01
"COWS, BEEF",1996,"35,700,000",07,1996-07-01
"COWS, BEEF",1995,"35,190,300",01,1995-01-01
"COWS, BEEF",1995,"36,100,000",07,1995-07-01
"COWS, BEEF",1994,"34,602,900",01,1994-01-01
"COWS, BEEF",1994,"35,600,000",07,1994-07-01
"COWS, BEEF",1993,"33,364,900",01,1993-01-01
"COWS, BEEF",1993,"34,900,000",07,1993-07-01
"COWS, BEEF",1992,"33,006,800",01,1992-01-01
"COWS, BEEF",1992,"33,900,000",07,1992-07-01
"COWS, BEEF",1991,"32,519,800",01,1991-01-01
"COWS, BEEF",1991,"33,400,000",07,1991-07-01
"COWS, BEEF",1990,"32,454,700",01,1990-01-01
"COWS, BEEF",1990,"32,900,000",07,1990-07-01
"COWS, BEEF",1989,"32,487,600",01,1989-01-01
"COWS, BEEF",1989,"33,000,000",07,1989-07-01
"COWS, BEEF",1988,"33,182,600",01,1988-01-01
"COWS, BEEF",1988,"34,050,000",07,1988-07-01
"COWS, BEEF",1987,"33,945,400",01,1987-01-01
"COWS, BEEF",1987,"34,000,000",07,1987-07-01
"COWS, BEEF",1986,"33,753,300",01,1986-01-01
"COWS, BEEF",1986,"34,150,000",07,1986-07-01
"COWS, BEEF",1985,"35,405,500",01,1985-01-01
"COWS, BEEF",1985,"35,250,000",07,1985-07-01
"COWS, BEEF",1984,"37,483,900",01,1984-01-01
"COWS, BEEF",1984,"37,700,000",07,1984-07-01
"COWS, BEEF",1983,"37,939,600",01,1983-01-01
"COWS, BEEF",1983,"38,500,000",07,1983-07-01
"COWS, BEEF",1982,"39,229,600",01,1982-01-01
"COWS, BEEF",1982,"38,990,000",07,1982-07-01
"COWS, BEEF",1981,"38,773,100",01,1981-01-01
"COWS, BEEF",1981,"40,054,000",07,1981-07-01
"COWS, BEEF",1980,"37,107,400",01,1980-01-01
"COWS, BEEF",1980,"39,161,000",07,1980-07-01
"COWS, BEEF",1979,"37,061,800",01,1979-01-01
"COWS, BEEF",1979,"37,115,000",07,1979-07-01
"COWS, BEEF",1978,"38,738,400",01,1978-01-01
"COWS, BEEF",1978,"37,652,000",07,1978-07-01
"COWS, BEEF",1977,"41,443,400",01,1977-01-01
"COWS, BEEF",1977,"41,244,000",07,1977-07-01
"COWS, BEEF",1976,"43,900,600",01,1976-01-01
"COWS, BEEF",1976,"42,915,000",07,1976-07-01
"COWS, BEEF",1975,"45,711,800",01,1975-01-01
"COWS, BEEF",1975,"46,905,000",07,1975-07-01
"COWS, BEEF",1974,"43,181,700",01,1974-01-01
"COWS, BEEF",1974,"45,745,000",07,1974-07-01
"COWS, BEEF",1973,"40,931,600",01,1973-01-01
"COWS, BEEF",1973,"42,644,000",07,1973-07-01
"COWS, BEEF",1972,"38,809,600",01,1972-01-01
"COWS, BEEF",1972,"40,092,000",07,1972-07-01
"COWS, BEEF",1971,"37,877,600",01,1971-01-01
"COWS, BEEF",1971,"38,813,000",07,1971-07-01
"COWS, BEEF",1970,"36,689,600",01,1970-01-01
"COWS, BEEF",1969,"36,510,500",01,1969-01-01
"COWS, BEEF",1968,"35,565,400",01,1968-01-01
"COWS, BEEF",1967,"34,708,300",01,1967-01-01
"COWS, BEEF",1966,"34,442,200",01,1966-01-01
"COWS, BEEF",1965,"34,238,000",01,1965-01-01
"COWS, BEEF",1964,"32,793,800",01,1964-01-01
"COWS, BEEF",1963,"30,588,600",01,1963-01-01
"COWS, BEEF",1962,"28,691,400",01,1962-01-01
"COWS, BEEF",1961,"27,327,400",01,1961-01-01
"COWS, BEEF",1960,"26,344,000",01,1960-01-01
"COWS, BEEF",1959,"25,112,000",01,1959-01-01
"COWS, BEEF",1958,"24,165,000",01,1958-01-01
"COWS, BEEF",1957,"24,534,000",01,1957-01-01
"COWS, BEEF",1956,"25,371,000",01,1956-01-01
"COWS, BEEF",1955,"25,659,000",01,1955-01-01
"COWS, BEEF",1954,"25,050,000",01,1954-01-01
"COWS, BEEF",1953,"23,291,000",01,1953-01-01
"COWS, BEEF",1952,"20,863,000",01,1952-01-01
"COWS, BEEF",1951,"18,526,000",01,1951-01-01
"COWS, BEEF",1950,"16,743,000",01,1950-01-01
"COWS, BEEF",1949,"15,919,000",01,1949-01-01
"COWS, BEEF",1948,"16,010,000",01,1948-01-01
"COWS, BEEF",1947,"16,488,000",01,1947-01-01
"COWS, BEEF",1946,"16,408,000",01,1946-01-01
"COWS, BEEF",1945,"16,456,000",01,1945-01-01
"COWS, BEEF",1944,"15,521,000",01,1944-01-01
"COWS, BEEF",1943,"13,980,000",01,1943-01-01
"COWS, BEEF",1942,"12,578,000",01,1942-01-01
"COWS, BEEF",1941,"11,366,000",01,1941-01-01
"COWS, BEEF",1940,"10,676,000",01,1940-01-01
"COWS, BEEF",1939,"9,987,000",01,1939-01-01
"COWS, BEEF",1938,"10,132,000",01,1938-01-01
"COWS, BEEF",1937,"10,682,000",01,1937-01-01
"COWS, BEEF",1936,"11,048,000",01,1936-01-01
"COWS, BEEF",1935,"11,151,000",01,1935-01-01
"COWS, BEEF",1934,"12,678,000",01,1934-01-01
"COWS, BEEF",1933,"11,346,000",01,1933-01-01
"COWS, BEEF",1932,"10,439,000",01,1932-01-01
"COWS, BEEF",1931,"9,809,000",01,1931-01-01
"COWS, BEEF",1930,"9,162,000",01,1930-01-01
"COWS, BEEF",1929,"8,997,000",01,1929-01-01
"COWS, BEEF",1928,"8,926,000",01,1928-01-01
"COWS, BEEF",1927,"9,439,000",01,1927-01-01
