DATE,US_CATTLE_ON_FEED
2002-01-31,11.562
2002-02-28,11.518
2002-03-31,11.587
2002-04-30,10.971
2002-05-31,10.99
2002-06-30,10.507
2002-07-31,10.109
2002-08-31,10.159
2002-09-30,10.452
2002-10-31,10.785
2002-11-30,10.946
2002-12-31,10.658
2003-01-31,10.7
2003-02-28,10.546
2003-03-31,10.713
2003-04-30,10.535
2003-05-31,10.539
2003-06-30,9.923
2003-07-31,9.59
2003-08-31,9.839
2003-09-30,10.218
2003-10-31,11.043
2003-11-30,11.335
2003-12-31,11.253
2004-01-31,11.138
2004-02-29,10.987
2004-03-31,10.763
2004-04-30,10.375
2004-05-31,10.64
2004-06-30,10.132
2004-07-31,9.868
2004-08-31,9.988
2004-09-30,10.502
2004-10-31,11.334
2004-11-30,11.334
2004-12-31,11.299
2005-01-31,11.342
2005-02-28,11.154
2005-03-31,10.873
2005-04-30,10.641
2005-05-31,10.771
2005-06-30,10.394
2005-07-31,10.093
2005-08-31,10.0
2005-09-30,10.482
2005-10-31,11.473
2005-11-30,11.726
2005-12-31,11.804
2006-01-31,12.11
2006-02-28,12.023
2006-03-31,11.812
2006-04-30,11.559
2006-05-31,11.187
2006-06-30,10.872
2006-07-31,10.822
2006-08-31,10.986
2006-09-30,11.385
2006-10-31,11.969
2006-11-30,11.973
2006-12-31,11.974
2007-01-31,11.726
2007-02-28,11.599
2007-03-31,11.644
2007-04-30,11.297
2007-05-31,11.272
2007-06-30,10.737
2007-07-31,10.299
2007-08-31,10.302
2007-09-30,10.967
2007-10-31,11.769
2007-11-30,12.099
2007-12-31,12.092
2008-01-31,11.966
2008-02-29,11.853
2008-03-31,11.684
2008-04-30,11.135
2008-05-31,10.815
2008-06-30,10.295
2008-07-31,9.869
2008-08-31,9.997
2008-09-30,10.415
2008-10-31,10.972
2008-11-30,11.346
2008-12-31,11.234
2009-01-31,11.288
2009-02-28,11.228
2009-03-31,11.162
2009-04-30,10.822
2009-05-31,10.407
2009-06-30,9.752
2009-07-31,9.637
2009-08-31,9.89
2009-09-30,10.474
2009-10-31,11.134
2009-11-30,11.277
2009-12-31,10.983
2010-01-31,10.959
2010-02-28,10.839
2010-03-31,10.727
2010-04-30,10.413
2010-05-31,10.49
2010-06-30,10.056
2010-07-31,9.86
2010-08-31,10.166
2010-09-30,10.783
2010-10-31,11.492
2010-11-30,11.615
2010-12-31,11.493
2011-01-31,11.566
2011-02-28,11.386
2011-03-31,11.257
2011-04-30,11.175
2011-05-31,10.902
2011-06-30,10.433
2011-07-31,10.579
2011-08-31,10.7
2011-09-30,11.282
2011-10-31,11.879
2011-11-30,12.051
2011-12-31,11.86
2012-01-31,11.801
2012-02-29,11.677
2012-03-31,11.502
2012-04-30,11.11
2012-05-31,11.077
2012-06-30,10.71
2012-07-31,10.656
2012-08-31,10.642
2012-09-30,10.994
2012-10-31,11.259
2012-11-30,11.358
2012-12-31,11.182
2013-01-31,11.024
2013-02-28,10.797
2013-03-31,10.881
2013-04-30,10.735
2013-05-31,10.738
2013-06-30,10.327
2013-07-31,9.991
2013-08-31,9.847
2013-09-30,10.081
2013-10-31,10.557
2013-11-30,10.682
2013-12-31,10.523
2014-01-31,10.678
2014-02-28,10.716
2014-03-31,10.792
2014-04-30,10.554
2014-05-31,10.497
2014-06-30,10.043
2014-07-31,9.752
2014-08-31,9.719
2014-09-30,9.985
2014-10-31,10.571
2014-11-30,10.816
2014-12-31,10.626
2015-01-31,10.713
2015-02-28,10.688
2015-03-31,10.797
2015-04-30,10.64
2015-05-31,10.571
2015-06-30,10.236
2015-07-31,10.002
2015-08-31,9.986
2015-09-30,10.228
2015-10-31,10.809
2015-11-30,10.8
2015-12-31,10.575
