Year,Month,Unit,Value,Class,Commodity,Date
2025,1,HEAD,"31,000",BULLS,CATTLE,2025-01-01
2025,2,HEAD,"28,300",BULLS,CATTLE,2025-02-01
2024,1,HEAD,"31,600",BULLS,CATTLE,2024-01-01
2024,2,HEAD,"36,900",BULLS,CATTLE,2024-02-01
2024,3,HEAD,"37,500",BULLS,CATTLE,2024-03-01
2024,4,HEAD,"46,100",BULLS,CATTLE,2024-04-01
2024,5,HEAD,"43,400",BULLS,CATTLE,2024-05-01
2024,6,HEAD,"41,500",BULLS,CATTLE,2024-06-01
2024,7,HEAD,"44,900",BULLS,CATTLE,2024-07-01
2024,8,HEAD,"45,200",BULLS,CATTLE,2024-08-01
2024,9,HEAD,"43,200",BULLS,CATTLE,2024-09-01
2024,10,HEAD,"46,100",BULLS,CATTLE,2024-10-01
2024,11,HEAD,"40,700",BULLS,CATTLE,2024-11-01
2024,12,HEAD,"33,300",BULLS,CATTLE,2024-12-01
2023,1,HEAD,"37,900",BULLS,CATTLE,2023-01-01
2023,2,HEAD,"33,200",BULLS,CATTLE,2023-02-01
2023,3,HEAD,"44,800",BULLS,CATTLE,2023-03-01
2023,4,HEAD,"42,400",BULLS,CATTLE,2023-04-01
2023,5,HEAD,"48,300",BULLS,CATTLE,2023-05-01
2023,6,HEAD,"50,400",BULLS,CATTLE,2023-06-01
2023,7,HEAD,"43,000",BULLS,CATTLE,2023-07-01
2023,8,HEAD,"51,500",BULLS,CATTLE,2023-08-01
2023,9,HEAD,"48,400",BULLS,CATTLE,2023-09-01
2023,10,HEAD,"50,000",BULLS,CATTLE,2023-10-01
2023,11,HEAD,"44,400",BULLS,CATTLE,2023-11-01
2023,12,HEAD,"37,200",BULLS,CATTLE,2023-12-01
2022,1,HEAD,"37,200",BULLS,CATTLE,2022-01-01
2022,2,HEAD,"38,100",BULLS,CATTLE,2022-02-01
2022,3,HEAD,"51,000",BULLS,CATTLE,2022-03-01
2022,4,HEAD,"49,400",BULLS,CATTLE,2022-04-01
2022,5,HEAD,"48,700",BULLS,CATTLE,2022-05-01
2022,6,HEAD,"51,600",BULLS,CATTLE,2022-06-01
2022,7,HEAD,"46,700",BULLS,CATTLE,2022-07-01
2022,8,HEAD,"51,500",BULLS,CATTLE,2022-08-01
2022,9,HEAD,"52,100",BULLS,CATTLE,2022-09-01
2022,10,HEAD,"50,800",BULLS,CATTLE,2022-10-01
2022,11,HEAD,"46,500",BULLS,CATTLE,2022-11-01
2022,12,HEAD,"41,200",BULLS,CATTLE,2022-12-01
2021,1,HEAD,"37,800",BULLS,CATTLE,2021-01-01
2021,2,HEAD,"29,100",BULLS,CATTLE,2021-02-01
2021,3,HEAD,"47,200",BULLS,CATTLE,2021-03-01
2021,4,HEAD,"46,700",BULLS,CATTLE,2021-04-01
2021,5,HEAD,"46,900",BULLS,CATTLE,2021-05-01
2021,6,HEAD,"50,100",BULLS,CATTLE,2021-06-01
2021,7,HEAD,"50,400",BULLS,CATTLE,2021-07-01
2021,8,HEAD,"52,900",BULLS,CATTLE,2021-08-01
2021,9,HEAD,"48,700",BULLS,CATTLE,2021-09-01
2021,10,HEAD,"46,500",BULLS,CATTLE,2021-10-01
2021,11,HEAD,"44,500",BULLS,CATTLE,2021-11-01
2021,12,HEAD,"42,900",BULLS,CATTLE,2021-12-01
2020,1,HEAD,"40,100",BULLS,CATTLE,2020-01-01
2020,2,HEAD,"36,300",BULLS,CATTLE,2020-02-01
2020,3,HEAD,"38,900",BULLS,CATTLE,2020-03-01
2020,4,HEAD,"36,100",BULLS,CATTLE,2020-04-01
2020,5,HEAD,"39,400",BULLS,CATTLE,2020-05-01
2020,6,HEAD,"50,800",BULLS,CATTLE,2020-06-01
2020,7,HEAD,"48,800",BULLS,CATTLE,2020-07-01
2020,8,HEAD,"47,800",BULLS,CATTLE,2020-08-01
2020,9,HEAD,"48,600",BULLS,CATTLE,2020-09-01
2020,10,HEAD,"49,700",BULLS,CATTLE,2020-10-01
2020,11,HEAD,"40,900",BULLS,CATTLE,2020-11-01
2020,12,HEAD,"40,900",BULLS,CATTLE,2020-12-01
2019,1,HEAD,"37,800",BULLS,CATTLE,2019-01-01
2019,2,HEAD,"32,200",BULLS,CATTLE,2019-02-01
2019,3,HEAD,"39,900",BULLS,CATTLE,2019-03-01
2019,4,HEAD,"46,900",BULLS,CATTLE,2019-04-01
2019,5,HEAD,"48,100",BULLS,CATTLE,2019-05-01
2019,6,HEAD,"49,300",BULLS,CATTLE,2019-06-01
2019,7,HEAD,"47,200",BULLS,CATTLE,2019-07-01
2019,8,HEAD,"49,800",BULLS,CATTLE,2019-08-01
2019,9,HEAD,"48,800",BULLS,CATTLE,2019-09-01
2019,10,HEAD,"51,100",BULLS,CATTLE,2019-10-01
2019,11,HEAD,"47,100",BULLS,CATTLE,2019-11-01
2019,12,HEAD,"40,500",BULLS,CATTLE,2019-12-01
2018,1,HEAD,"38,800",BULLS,CATTLE,2018-01-01
2018,2,HEAD,"36,200",BULLS,CATTLE,2018-02-01
2018,3,HEAD,"45,300",BULLS,CATTLE,2018-03-01
2018,4,HEAD,"45,400",BULLS,CATTLE,2018-04-01
2018,5,HEAD,"50,900",BULLS,CATTLE,2018-05-01
2018,6,HEAD,"50,500",BULLS,CATTLE,2018-06-01
2018,7,HEAD,"46,500",BULLS,CATTLE,2018-07-01
2018,8,HEAD,"50,100",BULLS,CATTLE,2018-08-01
2018,9,HEAD,"43,800",BULLS,CATTLE,2018-09-01
2018,10,HEAD,"50,100",BULLS,CATTLE,2018-10-01
2018,11,HEAD,"41,500",BULLS,CATTLE,2018-11-01
2018,12,HEAD,"38,500",BULLS,CATTLE,2018-12-01
2017,1,HEAD,"36,200",BULLS,CATTLE,2017-01-01
2017,2,HEAD,"38,200",BULLS,CATTLE,2017-02-01
2017,3,HEAD,"45,900",BULLS,CATTLE,2017-03-01
2017,4,HEAD,"44,000",BULLS,CATTLE,2017-04-01
2017,5,HEAD,"50,300",BULLS,CATTLE,2017-05-01
2017,6,HEAD,"54,800",BULLS,CATTLE,2017-06-01
2017,7,HEAD,"46,500",BULLS,CATTLE,2017-07-01
2017,8,HEAD,"53,900",BULLS,CATTLE,2017-08-01
