DATE,US_CHICKEN_COMPOSITE_PRICE
2016-01-01,86.7
2016-01-08,87.99
2016-01-15,89.5
2016-01-22,87.64
2016-01-29,86.35
2016-02-05,80.83
2016-02-12,81.95
2016-02-19,81.77
2016-02-26,81.49
2016-03-04,80.09
2016-03-11,82.63
2016-03-18,86.56
2016-03-25,87.19
2016-04-01,86.19
2016-04-08,87.32
2016-04-15,88.37
2016-04-22,89.19
2016-04-29,88.75
2016-05-06,89.65
2016-05-13,90.95
2016-05-20,96.42
2016-05-27,98.27
2016-06-03,99.05
2016-06-10,99.17
2016-06-17,97.56
2016-06-24,94.88
2016-07-01,94.29
2016-07-08,94.38
2016-07-15,91.67
2016-07-22,86.0
2016-07-29,81.7
2016-08-05,81.04
2016-08-12,79.86
2016-08-19,79.44
2016-08-26,79.01
2016-09-02,79.12
2016-09-09,80.76
2016-09-16,77.78
2016-09-23,76.24
2016-09-30,72.04
2016-10-07,70.59
2016-10-14,70.26
2016-10-21,71.32
2016-10-28,70.81
2016-11-04,73.28
2016-11-18,79.74
2016-11-25,81.62
2016-12-02,84.03
2016-12-09,84.49
2016-12-16,82.65
2016-12-23,83.65
2016-12-30,85.39
2017-01-06,87.16
2017-01-13,86.66
2017-01-20,85.13
2017-01-27,83.36
2017-02-03,83.56
2017-02-10,84.68
2017-02-17,85.67
2017-02-24,86.12
2017-03-03,86.56
2017-03-10,93.04
2017-03-17,96.63
2017-03-24,98.57
2017-03-31,98.45
2017-04-07,97.41
2017-04-14,96.49
2017-04-21,96.44
2017-04-28,97.26
2017-05-05,99.12
2017-05-12,104.25
2017-05-19,108.46
2017-05-26,113.84
2017-06-02,115.62
2017-06-09,112.61
2017-06-16,107.79
2017-06-23,107.75
2017-06-30,107.97
2017-07-07,108.13
2017-07-14,106.25
2017-07-21,101.96
2017-07-28,98.24
2017-08-04,95.24
2017-08-11,94.05
2017-08-18,93.14
2017-08-25,92.15
2017-09-01,89.44
2017-09-08,89.76
2017-09-15,90.0
2017-09-22,89.17
2017-09-29,86.4
2017-10-06,85.87
2017-10-13,84.44
2017-10-20,84.21
2017-10-27,84.81
2017-11-03,86.35
2017-11-10,86.12
2017-11-17,85.8
2017-11-24,86.13
2017-12-01,85.9
2017-12-08,85.68
2017-12-15,86.68
2017-12-22,87.42
2017-12-29,89.8
2018-01-05,95.0
2018-01-12,96.09
2018-01-19,94.62
2018-01-26,92.72
2018-02-02,91.66
2018-02-09,90.63
2018-02-16,91.24
2018-02-23,91.0
2018-03-02,91.42
2018-03-09,93.96
2018-03-16,99.04
2018-03-23,106.13
2018-03-30,108.59
2018-04-06,108.74
2018-04-13,108.34
2018-04-20,108.75
2018-04-27,109.06
2018-05-04,113.96
2018-05-11,116.42
2018-05-18,117.97
2018-05-25,119.57
2018-06-01,120.18
2018-06-08,121.0
2018-06-15,120.03
2018-06-22,118.19
2018-06-29,116.34
2018-07-06,114.31
2018-07-13,112.48
2018-07-20,111.41
2018-07-27,104.37
2018-08-03,95.9
2018-08-10,89.88
2018-08-17,86.13
2018-08-24,82.52
2018-08-31,82.57
2018-09-07,82.81
2018-09-14,83.08
2018-09-21,84.01
2018-09-28,82.59
2018-10-05,80.56
2018-10-12,83.32
2018-10-19,84.0
2018-10-26,85.35
2018-11-02,84.67
2018-11-09,85.74
2018-11-16,87.75
2018-11-23,87.07
2018-11-30,87.2
2018-12-07,86.57
2018-12-14,86.11
2018-12-21,91.01
2018-12-28,96.21
2019-01-04,104.79
2019-01-11,103.87
2019-01-18,99.96
2019-01-25,94.22
2019-02-01,92.04
2019-02-08,91.16
2019-02-15,90.94
2019-02-22,89.16
2019-03-01,87.96
2019-03-08,89.35
2019-03-15,92.0
2019-03-22,96.33
2019-03-29,95.48
2019-04-05,96.62
2019-04-12,96.25
2019-04-19,97.11
2019-04-26,100.34
2019-05-03,100.46
2019-05-10,101.54
2019-05-17,101.87
2019-05-24,100.95
2019-05-31,99.52
2019-06-07,97.03
2019-06-14,94.63
2019-06-21,93.96
2019-06-28,92.79
2019-07-05,93.75
2019-07-12,92.81
2019-07-19,86.11
2019-07-26,86.21
2019-08-02,82.97
2019-08-09,83.24
2019-08-16,82.55
2019-08-23,79.31
2019-08-30,76.29
2019-09-06,76.08
2019-09-13,76.19
2019-09-20,76.91
2019-09-27,78.48
2019-10-04,79.61
2019-10-11,78.71
2019-10-18,78.49
2019-10-25,78.31
2019-11-01,78.92
2019-11-08,78.5
2019-11-15,78.31
2019-11-22,77.0
2019-11-29,79.5
2019-12-06,82.59
2019-12-13,84.89
2019-12-20,85.54
2019-12-27,85.5
2020-01-03,90.49
2020-01-10,91.46
2020-01-17,90.96
2020-01-24,90.9
2020-01-31,88.75
2020-02-07,85.82
2020-02-14,81.62
2020-02-21,78.39
2020-02-28,76.71
2020-03-06,76.58
2020-03-13,80.33
2020-03-20,87.51
2020-03-27,83.68
2020-04-03,66.61
2020-04-10,50.51
2020-04-17,50.0
2020-04-24,52.7
2020-05-01,60.63
2020-05-08,68.42
2020-05-15,77.45
2020-05-22,74.45
2020-05-29,74.0
2020-06-05,74.62
2020-06-12,73.15
2020-06-19,72.38
2020-06-26,74.24
2020-07-03,74.97
2020-07-10,75.34
2020-07-17,71.25
2020-07-24,66.1
2020-07-31,64.89
2020-08-07,67.39
2020-08-14,66.5
2020-08-21,66.73
