DATE,US_CHICKEN_LEG_PRICE
2010-11-01,59.94
2010-11-02,55.14
2010-11-03,52.94
2010-11-04,56.71
2010-11-05,55.93
2010-11-08,54.21
2010-11-09,56.09
2010-11-10,54.19
2010-11-11,52.97
2010-11-12,58.09
2010-11-15,53.02
2010-11-16,54.55
2010-11-17,53.17
2010-11-18,52.31
2010-11-19,52.51
2010-11-22,53.64
2010-11-23,55.86
2010-11-24,50.71
2010-11-26,51.31
2010-11-29,52.89
2010-11-30,50.87
2010-12-01,50.43
2010-12-02,52.08
2010-12-03,48.62
2010-12-06,52.68
2010-12-07,53.59
2010-12-08,50.46
2010-12-09,48.71
2010-12-10,50.3
2010-12-13,48.71
2010-12-14,52.75
2010-12-15,50.83
2010-12-16,50.88
2010-12-17,47.84
2010-12-20,50.72
2010-12-21,50.04
2010-12-22,45.89
2010-12-23,46.71
2010-12-28,47.93
2010-12-29,54.82
2010-12-30,51.28
2011-01-03,49.02
2011-01-04,47.34
2011-01-05,48.37
2011-01-06,52.09
2011-01-07,55.04
2011-01-10,50.52
2011-01-11,58.37
2011-01-12,50.49
2011-01-13,51.29
2011-01-14,50.91
2011-01-18,47.07
2011-01-19,49.85
2011-01-20,48.62
2011-01-21,50.67
2011-01-24,51.15
2011-01-25,48.18
2011-01-26,48.21
2011-01-27,49.75
2011-01-28,47.6
2011-01-31,52.25
2011-02-01,50.46
2011-02-02,49.93
2011-02-03,54.07
2011-02-04,55.04
2011-02-07,53.84
2011-02-08,58.35
2011-02-09,54.89
2011-02-10,50.36
2011-02-11,52.74
2011-02-14,56.49
2011-02-15,56.5
2011-02-16,51.25
2011-02-17,59.48
2011-02-18,60.96
2011-02-21,59.13
2011-02-22,60.22
2011-02-23,55.49
2011-02-24,62.24
2011-02-25,62.47
2011-02-28,60.66
2011-03-01,57.17
2011-03-02,55.6
2011-03-03,58.8
2011-03-04,57.09
2011-03-07,57.67
2011-03-08,59.17
2011-03-09,57.41
2011-03-10,58.67
2011-03-11,64.34
2011-03-14,63.26
2011-03-15,62.8
2011-03-16,65.51
2011-03-17,64.52
2011-03-18,64.18
2011-03-21,65.1
2011-03-22,65.25
2011-03-23,62.86
2011-03-24,66.85
2011-03-25,61.02
2011-03-28,67.43
2011-03-29,68.05
2011-03-30,67.46
2011-03-31,69.83
2011-04-01,68.06
2011-04-04,67.23
2011-04-05,67.81
2011-04-06,69.36
2011-04-07,67.23
2011-04-08,68.35
2011-04-11,66.54
2011-04-12,70.34
2011-04-13,66.45
2011-04-14,65.33
2011-04-15,64.99
2011-04-18,67.23
2011-04-19,65.3
2011-04-20,64.87
2011-04-21,66.14
2011-04-22,65.94
2011-04-25,62.62
2011-04-26,65.06
2011-04-27,67.04
2011-04-28,66.92
2011-04-29,64.51
2011-05-02,71.76
2011-05-03,65.85
2011-05-04,65.59
2011-05-05,67.76
2011-05-06,68.86
2011-05-09,71.29
2011-05-10,66.29
2011-05-11,66.63
2011-05-12,68.78
2011-05-13,71.0
2011-05-16,68.96
2011-05-17,66.94
2011-05-18,65.8
2011-05-19,72.08
2011-05-20,70.94
2011-05-23,68.05
2011-05-24,66.36
2011-05-25,67.35
2011-05-26,67.73
2011-05-27,66.8
2011-05-31,69.19
2011-06-01,65.61
2011-06-02,71.61
2011-06-03,71.03
2011-06-06,69.96
2011-06-07,66.99
2011-06-08,72.65
2011-06-09,69.18
2011-06-10,74.58
2011-06-13,72.08
2011-06-14,66.68
2011-06-15,70.62
2011-06-16,67.07
2011-06-17,63.94
2011-06-20,64.9
2011-06-21,69.98
2011-06-22,61.33
2011-06-23,67.67
2011-06-24,62.95
2011-06-27,62.81
2011-06-28,62.86
2011-06-29,60.04
2011-06-30,65.32
2011-07-01,61.06
2011-07-05,60.84
2011-07-06,64.41
2011-07-07,60.8
2011-07-08,66.36
2011-07-11,61.11
2011-07-12,61.82
2011-07-13,69.27
2011-07-14,62.09
2011-07-15,62.87
2011-07-18,61.16
2011-07-19,59.87
2011-07-20,65.93
2011-07-21,65.21
2011-07-22,66.4
2011-07-25,61.91
2011-07-26,60.08
2011-07-27,59.56
2011-07-28,66.64
2011-07-29,69.85
2011-08-01,65.32
2011-08-02,62.41
2011-08-03,62.33
2011-08-04,60.83
2011-08-05,66.21
2011-08-08,72.41
2011-08-09,72.15
2011-08-10,69.2
2011-08-11,64.27
2011-08-12,64.14
2011-08-15,66.85
2011-08-16,69.02
2011-08-17,66.43
2011-08-18,73.1
2011-08-19,70.47
2011-08-22,69.35
2011-08-23,72.25
2011-08-24,70.54
2011-08-25,71.25
2011-08-26,75.81
2011-08-29,69.46
2011-08-30,70.07
2011-08-31,69.97
2011-09-01,71.33
2011-09-02,70.91
2011-09-06,70.35
2011-09-07,70.25
2011-09-08,71.91
2011-09-09,74.67
2011-09-12,70.76
2011-09-13,69.65
2011-09-14,70.83
2011-09-15,71.2
2011-09-16,76.07
2011-09-19,72.35
2011-09-20,70.59
2011-09-21,74.86
2011-09-22,70.29
2011-09-23,71.97
2011-09-26,71.81
2011-09-27,71.73
2011-09-28,71.22
2011-09-29,67.95
2011-09-30,73.21
2011-10-03,71.43
2011-10-04,71.19
2011-10-05,71.43
2011-10-06,72.61
2011-10-07,79.4
2011-10-14,70.07
2011-10-17,69.01
2011-10-18,69.46
2011-10-19,70.16
2011-10-20,71.44
2011-10-21,71.93
2011-10-24,69.16
2011-10-25,77.69
2011-10-26,72.52
2011-10-27,69.34
2011-10-28,68.02
2011-10-31,74.71
2011-11-01,68.17
2011-11-02,69.09
2011-11-03,76.02
2011-11-04,68.66
2011-11-07,68.99
2011-11-08,67.4
2011-11-09,68.58
2011-11-10,68.19
2011-11-14,68.99
2011-11-15,63.99
2011-11-16,65.92
2011-11-17,67.2
2011-11-18,65.24
2011-11-21,66.2
2011-11-22,64.92
2011-11-23,66.05
2011-11-25,66.23
2011-11-28,66.58
2011-11-29,65.09
2011-11-30,66.58
2011-12-01,66.49
2011-12-02,68.07
2011-12-05,67.53
2011-12-06,66.03
2011-12-07,70.93
2011-12-08,69.38
2011-12-09,69.77
2011-12-12,67.61
2011-12-13,67.7
2011-12-14,70.88
2011-12-15,72.45
2011-12-16,73.07
2011-12-19,70.18
2011-12-20,70.12
2011-12-21,69.42
2011-12-22,69.85
2011-12-23,70.83
2011-12-27,70.12
2011-12-28,69.79
2011-12-29,68.02
2011-12-30,71.31
2012-01-03,71.12
2012-01-04,71.78
2012-01-05,71.78
2012-01-06,72.59
2012-01-09,72.06
2012-01-10,73.35
2012-01-11,71.09
2012-01-12,72.21
2012-01-13,71.95
2012-01-16,69.85
2012-01-17,74.71
2012-01-18,78.68
2012-01-19,75.68
2012-01-20,76.88
2012-01-23,76.01
2012-01-24,73.04
2012-01-25,75.92
2012-01-26,79.89
2012-01-27,72.24
2012-01-30,74.66
2012-01-31,75.37
2012-02-01,70.43
2012-02-02,71.17
2012-02-03,71.22
2012-02-06,70.35
2012-02-07,71.1
2012-02-08,72.55
2012-02-09,79.07
2012-02-10,75.97
2012-02-13,77.71
2012-02-14,68.91
2012-02-15,78.54
2012-02-16,73.43
2012-02-17,73.81
2012-02-20,81.42
2012-02-21,75.09
2012-02-22,73.56
2012-02-23,71.92
2012-02-24,73.67
2012-02-27,74.23
2012-02-28,70.7
2012-02-29,72.58
2012-03-01,73.93
2012-03-02,75.24
2012-03-05,75.13
2012-03-06,72.6
2012-03-07,71.74
2012-03-08,76.68
2012-03-09,74.52
2012-03-12,73.5
2012-03-13,71.91
2012-03-14,70.32
2012-03-15,72.53
2012-03-16,73.79
2012-03-19,72.58
2012-03-20,71.16
2012-03-21,78.88
2012-03-22,75.13
2012-03-23,79.8
2012-03-26,75.5
2012-03-27,75.15
2012-03-28,77.27
2012-03-29,75.56
2012-03-30,76.17
2012-04-02,76.01
2012-04-03,73.0
2012-04-04,72.14
2012-04-05,72.42
2012-04-06,70.32
2012-04-09,68.47
2012-04-10,69.32
