DATE,US_CHICKEN_READY_TO_COOK
2013-01-03,491332.0
2013-01-10,579535.0
2013-01-17,715932.0
2013-01-24,652238.0
2013-01-31,669297.0
2013-02-07,687778.0
2013-02-14,692753.0
2013-02-21,667030.0
2013-02-28,679721.0
2013-03-07,673507.0
2013-03-14,679649.0
2013-03-21,673660.0
2013-03-28,685302.0
2013-04-04,641704.0
2013-04-11,678958.0
2013-04-18,680939.0
2013-04-25,676003.0
2013-05-02,678328.0
2013-05-09,683621.0
2013-05-16,699418.0
2013-05-23,697809.0
2013-05-30,692544.0
2013-06-06,610204.0
2013-06-13,683788.0
2013-06-20,696159.0
2013-06-27,689926.0
2013-07-11,601070.0
2013-07-18,700359.0
2013-07-25,680164.0
2013-08-01,690693.0
2013-08-08,696093.0
2013-08-15,683184.0
2013-08-22,685257.0
2013-08-29,704453.0
2013-09-05,732953.0
2013-09-12,603911.0
2013-09-19,689770.0
2013-09-26,709680.0
2013-10-03,687436.0
2013-10-10,704165.0
2013-10-24,725380.0
2013-10-31,702493.0
2013-11-07,701391.0
2013-11-14,716271.0
2013-11-21,684714.0
2013-12-05,541227.0
2013-12-12,665408.0
2013-12-19,698299.0
2013-12-26,693061.0
2014-01-02,544346.0
2014-01-09,566384.0
2014-01-16,712669.0
2014-01-23,692252.0
2014-01-30,657921.0
2014-02-06,613466.0
2014-02-13,713921.0
2014-02-20,658516.0
2014-02-27,706403.0
2014-03-06,693055.0
2014-03-13,643280.0
2014-03-20,670347.0
2014-03-27,670867.0
2014-04-03,641988.0
2014-04-10,688941.0
2014-04-17,694904.0
2014-04-24,654391.0
2014-05-01,686034.0
2014-05-08,659705.0
2014-05-15,702783.0
2014-05-22,679714.0
2014-05-29,695017.0
2014-06-05,612450.0
2014-06-12,698390.0
2014-06-19,679321.0
2014-06-26,684062.0
2014-07-03,705210.0
2014-07-10,577193.0
2014-07-17,683306.0
2014-07-24,696615.0
2014-07-31,710407.0
2014-08-07,686046.0
2014-08-14,712385.0
2014-08-21,705378.0
2014-08-28,720219.0
2014-09-04,733775.0
2014-09-11,651021.0
2014-09-18,714933.0
2014-09-25,715065.0
2014-10-02,718528.0
2014-10-09,724038.0
2014-10-16,736253.0
2014-10-23,713179.0
2014-10-30,732303.0
2014-11-06,723566.0
2014-11-13,737840.0
2014-11-20,728561.0
2014-11-27,711872.0
2014-12-04,564297.0
2014-12-11,749474.0
2014-12-18,729801.0
2014-12-25,708593.0
2015-01-01,563383.0
2015-01-08,627436.0
2015-01-15,761290.0
2015-01-22,743319.0
2015-01-29,702306.0
2015-02-05,737596.0
2015-02-12,722695.0
2015-02-19,718656.0
2015-02-26,679474.0
2015-03-05,676823.0
2015-03-12,717196.0
2015-03-19,715708.0
2015-03-26,727587.0
2015-04-02,727240.0
2015-04-09,704657.0
2015-04-16,719433.0
2015-04-23,730045.0
2015-04-30,730452.0
2015-05-07,735701.0
2015-05-14,735450.0
2015-05-21,725938.0
2015-05-28,757111.0
2015-06-04,658057.0
2015-06-11,725059.0
