DATE,US_CHICKEN_SLAUGHTER_HEADS
2013-01-03,115385.0
2013-01-10,130573.0
2013-01-17,158856.0
2013-01-24,151093.0
2013-01-31,149771.0
2013-02-07,155761.0
2013-02-14,155020.0
2013-02-21,151584.0
2013-02-28,151588.0
2013-03-07,154389.0
2013-03-14,153392.0
2013-03-21,151262.0
2013-03-28,154139.0
2013-04-04,149707.0
2013-04-11,153236.0
2013-04-18,154212.0
2013-04-25,153623.0
2013-05-02,156038.0
2013-05-09,155623.0
2013-05-16,156778.0
2013-05-23,156952.0
2013-05-30,158753.0
2013-06-06,138910.0
2013-06-13,155661.0
2013-06-20,156849.0
2013-06-27,155179.0
2013-07-11,138266.0
2013-07-18,158066.0
2013-07-25,155915.0
2013-08-01,157779.0
2013-08-08,157644.0
2013-08-15,159384.0
2013-08-22,158185.0
2013-08-29,161483.0
2013-09-05,163183.0
2013-09-12,140890.0
2013-09-19,157842.0
2013-09-26,160721.0
2013-10-03,157035.0
2013-10-10,157842.0
2013-10-24,158021.0
2013-10-31,158820.0
2013-11-07,158028.0
2013-11-14,157077.0
2013-11-21,153482.0
2013-12-05,122995.0
2013-12-12,149409.0
2013-12-19,158690.0
2013-12-26,156151.0
2014-01-02,120580.0
2014-01-09,128712.0
2014-01-16,156287.0
2014-01-23,157861.0
2014-01-30,147728.0
2014-02-06,139171.0
2014-02-13,160029.0
2014-02-20,143693.0
2014-02-27,159979.0
2014-03-06,153521.0
2014-03-13,149809.0
2014-03-20,154472.0
2014-03-27,151931.0
2014-04-03,150843.0
2014-04-10,155489.0
2014-04-17,154712.0
2014-04-24,146685.0
2014-05-01,152222.0
2014-05-08,154180.0
2014-05-15,156466.0
2014-05-22,154200.0
2014-05-29,157944.0
2014-06-05,139663.0
2014-06-12,155488.0
2014-06-19,156540.0
2014-06-26,156536.0
2014-07-03,163077.0
2014-07-10,138336.0
2014-07-17,155821.0
2014-07-24,157221.0
2014-07-31,157630.0
2014-08-07,156175.0
2014-08-14,158069.0
2014-08-21,158114.0
2014-08-28,160348.0
2014-09-04,163643.0
2014-09-11,144453.0
2014-09-18,159441.0
2014-09-25,157337.0
2014-10-02,157572.0
2014-10-09,157468.0
2014-10-16,159597.0
2014-10-23,156399.0
2014-10-30,157960.0
2014-11-06,157626.0
2014-11-13,159678.0
2014-11-20,157411.0
2014-11-27,156373.0
2014-12-04,123956.0
2014-12-11,161664.0
2014-12-18,156650.0
2014-12-25,154620.0
2015-01-01,121723.0
2015-01-08,133157.0
2015-01-15,161304.0
2015-01-22,162467.0
2015-01-29,151988.0
2015-02-05,160152.0
2015-02-12,157177.0
2015-02-19,156816.0
2015-02-26,147776.0
2015-03-05,145754.0
2015-03-12,154196.0
2015-03-19,156432.0
2015-03-26,159293.0
2015-04-02,157384.0
2015-04-09,153000.0
2015-04-16,155184.0
2015-04-23,157473.0
2015-04-30,157046.0
2015-05-07,158693.0
2015-05-14,159950.0
2015-05-21,158668.0
2015-05-28,165207.0
2015-06-04,142882.0
2015-06-11,156912.0
2015-06-18,160077.0
2015-06-25,158647.0
2015-07-02,162756.0
2015-07-09,150129.0
2015-07-16,158000.0
2015-07-23,159878.0
2015-07-30,161045.0
2015-08-06,161266.0
2015-08-13,163048.0
2015-08-20,161628.0
2015-08-27,162323.0
2015-09-03,163947.0
2015-09-10,167766.0
2015-09-17,144467.0
2015-09-24,163317.0
2015-10-01,162770.0
2015-10-08,163666.0
2015-10-15,158791.0
2015-10-22,162947.0
2015-10-29,162527.0
2015-11-05,151531.0
2015-11-12,160795.0
2015-11-19,158615.0
2015-11-26,156949.0
2015-12-03,122639.0
2015-12-10,159940.0
2015-12-17,158176.0
2015-12-24,159732.0
2015-12-31,115476.0
2016-01-07,135435.0
2016-01-14,160892.0
2016-01-21,162806.0
2016-01-28,148325.0
2016-02-04,164604.0
2016-02-11,158426.0
2016-02-18,158868.0
2016-02-25,157164.0
2016-03-03,157397.0
2016-03-10,159021.0
2016-03-17,157089.0
2016-03-24,156405.0
2016-03-31,153966.0
2016-04-07,156181.0
2016-04-14,160238.0
2016-04-21,159525.0
2016-04-28,161749.0
2016-05-05,159048.0
2016-05-12,159543.0
2016-05-19,162473.0
2016-05-26,161971.0
2016-06-02,164147.0
2016-06-09,144938.0
2016-06-16,161979.0
2016-06-23,162161.0
2016-06-30,165572.0
2016-07-07,163784.0
2016-07-14,144832.0
2016-07-21,162953.0
2016-07-28,164366.0
2016-08-04,165141.0
2016-08-11,162332.0
2016-08-18,162697.0
2016-08-25,163899.0
2016-09-01,164469.0
2016-09-08,167312.0
2016-09-15,145593.0
2016-09-22,163227.0
2016-09-29,163166.0
2016-10-06,164035.0
2016-10-13,162797.0
2016-10-20,156395.0
2016-10-27,162977.0
2016-11-03,159439.0
2016-11-10,159594.0
2016-11-17,162111.0
2016-11-24,159147.0
2016-12-01,122745.0
2016-12-08,162997.0
2016-12-15,160419.0
2016-12-22,160223.0
2016-12-29,149923.0
2017-01-05,132998.0
2017-01-12,147773.0
2017-01-19,164326.0
2017-01-26,155925.0
2017-02-02,163881.0
2017-02-09,162401.0
2017-02-16,162204.0
2017-02-23,159794.0
2017-03-02,160155.0
2017-03-09,159125.0
2017-03-16,159741.0
2017-03-23,162282.0
2017-03-30,158402.0
2017-04-06,159641.0
