DATE,US_CHICKEN_SLAUGHTER_WEIGHT
2013-01-03,5.64
2013-01-10,5.84
2013-01-17,5.93
2013-01-24,5.68
2013-01-31,5.88
2013-02-07,5.81
2013-02-14,5.88
2013-02-21,5.79
2013-02-28,5.9
2013-03-07,5.74
2013-03-14,5.83
2013-03-21,5.86
2013-03-28,5.85
2013-04-04,5.64
2013-04-11,5.83
2013-04-18,5.81
2013-04-25,5.79
2013-05-02,5.72
2013-05-09,5.78
2013-05-16,5.87
2013-05-23,5.85
2013-05-30,5.74
2013-06-06,5.78
2013-06-13,5.78
2013-06-20,5.84
2013-06-27,5.85
2013-07-11,5.72
2013-07-18,5.83
2013-07-25,5.74
2013-08-01,5.76
2013-08-08,5.81
2013-08-15,5.64
2013-08-22,5.7
2013-08-29,5.74
2013-09-05,5.91
2013-09-12,5.64
2013-09-19,5.75
2013-09-26,5.81
2013-10-03,5.76
2013-10-10,5.87
2013-10-24,6.04
2013-10-31,5.82
2013-11-07,5.84
2013-11-14,6.0
2013-11-21,5.87
2013-12-05,5.79
2013-12-12,5.86
2013-12-19,5.79
2013-12-26,5.84
2014-01-02,5.94
2014-01-09,5.79
2014-01-16,6.0
2014-01-23,5.77
2014-01-30,5.86
2014-02-06,5.8
2014-02-13,5.87
2014-02-20,6.03
2014-02-27,5.81
2014-03-06,5.94
2014-03-13,5.65
2014-03-20,5.71
2014-03-27,5.81
2014-04-03,5.6
2014-04-10,5.83
2014-04-17,5.91
2014-04-24,5.87
2014-05-01,5.93
2014-05-08,5.63
2014-05-15,5.91
2014-05-22,5.8
2014-05-29,5.79
2014-06-05,5.77
2014-06-12,5.91
2014-06-19,5.71
2014-06-26,5.75
2014-07-03,5.69
2014-07-10,5.49
2014-07-17,5.77
2014-07-24,5.83
2014-07-31,5.93
2014-08-07,5.78
2014-08-14,5.93
2014-08-21,5.87
2014-08-28,5.91
2014-09-04,5.9
2014-09-11,5.93
2014-09-18,5.9
2014-09-25,5.98
2014-10-02,6.0
2014-10-09,6.05
2014-10-16,6.07
2014-10-23,6.0
2014-10-30,6.1
2014-11-06,6.04
2014-11-13,6.08
2014-11-20,6.09
2014-11-27,5.99
2014-12-04,5.99
2014-12-11,6.1
2014-12-18,6.13
2014-12-25,6.03
2015-01-01,6.09
2015-01-08,6.2
2015-01-15,6.21
2015-01-22,6.02
2015-01-29,6.08
2015-02-05,6.06
2015-02-12,6.05
2015-02-19,6.03
2015-02-26,6.05
2015-03-05,6.11
2015-03-12,6.12
2015-03-19,6.02
2015-03-26,6.01
2015-04-02,6.08
