DATE,US_CHICKEN_WINGS_PRICE
2010-11-01,134.26
2010-11-02,132.37
2010-11-03,130.18
2010-11-04,130.26
2010-11-05,128.91
2010-11-08,127.84
2010-11-09,121.02
2010-11-10,123.39
2010-11-11,126.35
2010-11-12,123.66
2010-11-15,121.36
2010-11-16,121.23
2010-11-17,121.01
2010-11-18,122.37
2010-11-19,122.5
2010-11-22,122.31
2010-11-23,118.9
2010-11-24,120.85
2010-11-26,117.75
2010-11-29,118.02
2010-11-30,116.17
2010-12-01,119.53
2010-12-02,124.03
2010-12-03,124.31
2010-12-06,117.75
2010-12-07,114.37
2010-12-08,114.52
2010-12-09,115.83
2010-12-10,111.05
2010-12-13,110.86
2010-12-14,108.81
2010-12-15,107.76
2010-12-16,112.84
2010-12-17,107.29
2010-12-20,108.34
2010-12-21,100.36
2010-12-22,107.88
2010-12-23,114.24
2010-12-28,106.14
2010-12-29,111.14
2010-12-30,111.96
2011-01-03,109.98
2011-01-04,109.83
2011-01-05,113.62
2011-01-06,110.82
2011-01-07,112.1
2011-01-10,109.08
2011-01-11,108.34
2011-01-12,109.81
2011-01-13,111.36
2011-01-14,110.14
2011-01-18,107.54
2011-01-19,111.55
2011-01-20,108.63
2011-01-21,105.56
2011-01-24,106.94
2011-01-25,98.95
2011-01-26,107.1
2011-01-27,110.3
2011-01-28,107.08
2011-01-31,103.51
2011-02-01,96.77
2011-02-02,103.4
2011-02-03,100.71
2011-02-04,105.64
2011-02-07,105.02
2011-02-08,97.29
2011-02-09,96.52
2011-02-10,99.23
2011-02-11,101.96
2011-02-14,94.98
2011-02-15,92.05
2011-02-16,94.49
2011-02-17,98.18
2011-02-18,91.17
2011-02-21,91.13
2011-02-22,86.65
2011-02-23,90.13
2011-02-24,85.8
2011-02-25,87.54
2011-02-28,80.89
2011-03-01,76.06
2011-03-02,77.68
2011-03-03,79.74
2011-03-04,85.71
2011-03-07,80.57
2011-03-08,75.47
2011-03-09,81.4
2011-03-10,79.81
2011-03-11,87.41
2011-03-14,85.32
2011-03-15,81.26
2011-03-16,88.77
2011-03-17,84.61
2011-03-18,85.71
2011-03-21,82.91
2011-03-22,82.0
2011-03-23,86.17
2011-03-24,88.81
2011-03-25,85.66
2011-03-28,82.99
2011-03-29,83.44
2011-03-30,87.47
2011-03-31,87.35
2011-04-01,85.92
2011-04-04,83.73
2011-04-05,83.18
2011-04-06,85.24
2011-04-07,83.92
2011-04-08,82.49
2011-04-11,82.0
2011-04-12,82.98
2011-04-13,85.04
2011-04-14,83.35
2011-04-15,85.92
2011-04-18,86.74
2011-04-19,83.23
2011-04-20,81.35
2011-04-21,80.84
2011-04-22,80.75
2011-04-25,75.49
2011-04-26,78.81
2011-04-27,81.48
2011-04-28,81.72
2011-04-29,81.28
2011-05-02,78.6
2011-05-03,82.29
2011-05-04,78.99
2011-05-05,79.2
2011-05-06,80.19
2011-05-09,79.2
2011-05-10,78.0
2011-05-11,80.36
2011-05-12,80.02
2011-05-13,86.58
2011-05-16,80.46
2011-05-17,80.48
2011-05-18,80.43
2011-05-19,79.03
2011-05-20,79.01
2011-05-23,77.51
2011-05-24,76.05
2011-05-25,80.39
2011-05-26,81.41
2011-05-27,82.38
2011-05-31,81.8
2011-06-01,81.35
2011-06-02,84.48
2011-06-03,83.94
2011-06-06,85.09
2011-06-07,83.61
2011-06-08,84.75
2011-06-09,85.14
2011-06-10,87.6
2011-06-13,85.89
2011-06-14,85.48
2011-06-15,87.24
2011-06-16,87.95
2011-06-17,90.68
2011-06-20,90.55
2011-06-21,91.26
2011-06-22,91.89
2011-06-23,92.59
2011-06-24,94.31
2011-06-27,91.67
2011-06-28,90.17
2011-06-29,92.64
2011-06-30,91.3
2011-07-01,93.49
2011-07-05,90.75
2011-07-06,89.92
2011-07-07,95.9
2011-07-08,93.84
2011-07-11,92.54
2011-07-12,92.38
2011-07-13,91.74
2011-07-14,96.6
2011-07-15,96.21
2011-07-18,94.5
2011-07-19,94.93
2011-07-20,95.26
2011-07-21,94.88
2011-07-22,96.34
2011-07-25,94.79
2011-07-26,94.39
2011-07-27,95.73
2011-07-28,95.85
2011-07-29,95.99
2011-08-01,93.49
2011-08-02,95.24
2011-08-03,94.7
2011-08-04,92.09
2011-08-05,94.97
2011-08-08,93.94
2011-08-09,94.63
2011-08-10,94.66
2011-08-11,95.78
2011-08-12,94.89
2011-08-15,95.54
2011-08-16,96.07
2011-08-17,96.63
2011-08-18,96.12
2011-08-19,99.5
2011-08-22,98.35
2011-08-23,98.11
2011-08-24,99.83
2011-08-25,98.04
2011-08-26,96.78
2011-08-29,101.55
2011-08-30,99.46
2011-08-31,101.1
2011-09-01,101.89
2011-09-02,101.99
2011-09-06,96.69
2011-09-07,95.05
2011-09-08,100.68
2011-09-09,104.2
2011-09-12,106.8
2011-09-13,106.56
2011-09-14,107.82
2011-09-15,107.41
2011-09-16,110.68
2011-09-19,110.87
2011-09-20,113.22
2011-09-21,112.13
2011-09-22,113.8
2011-09-23,116.55
2011-09-26,115.18
2011-09-27,114.67
2011-09-28,116.12
2011-09-29,116.02
2011-09-30,119.71
2011-10-03,117.94
2011-10-04,117.78
2011-10-05,118.52
2011-10-06,118.06
2011-10-07,116.23
2011-10-14,123.28
2011-10-17,117.75
2011-10-18,117.95
2011-10-19,122.14
2011-10-20,120.47
2011-10-21,122.43
2011-10-24,121.92
2011-10-25,120.2
2011-10-26,121.39
2011-10-27,121.16
2011-10-28,122.82
2011-10-31,124.16
2011-11-01,120.7
2011-11-02,126.09
2011-11-03,122.26
2011-11-04,123.59
2011-11-07,123.15
2011-11-08,124.0
2011-11-09,124.62
2011-11-10,125.77
2011-11-14,122.79
2011-11-15,122.78
2011-11-16,127.57
2011-11-17,125.37
2011-11-18,133.55
2011-11-21,134.87
2011-11-22,134.92
2011-11-23,134.51
2011-11-25,137.11
2011-11-28,134.99
2011-11-29,136.58
2011-11-30,136.35
2011-12-01,138.83
2011-12-02,143.16
2011-12-05,140.5
2011-12-06,139.27
2011-12-07,141.63
2011-12-08,140.11
2011-12-09,144.12
2011-12-12,147.2
2011-12-13,145.98
2011-12-14,149.63
2011-12-15,148.66
2011-12-16,151.03
2011-12-19,151.82
2011-12-20,152.49
2011-12-21,157.03
2011-12-22,155.57
2011-12-23,159.65
2011-12-27,163.9
2011-12-28,158.14
2011-12-29,162.9
2011-12-30,169.72
2012-01-03,165.81
2012-01-04,169.81
2012-01-05,171.53
2012-01-06,175.57
2012-01-09,173.87
2012-01-10,176.47
2012-01-11,182.55
2012-01-12,181.69
2012-01-13,186.02
2012-01-16,180.0
2012-01-17,185.13
2012-01-18,186.55
2012-01-19,187.07
