DATE,US_COFFEE_PRICE
2002-01-02,47.35
2002-01-03,47.5
2002-01-04,48.55
2002-01-07,48.25
2002-01-08,48.55
2002-01-09,50.85
2002-01-10,51.3
2002-01-11,49.55
2002-01-14,50.4
2002-01-15,50.25
2002-01-16,49.25
2002-01-17,48.85
2002-01-18,47.4
2002-01-22,46.8
2002-01-23,46.75
2002-01-24,46.45
2002-01-25,45.9
2002-01-28,45.05
2002-01-29,44.7
2002-01-30,45.15
2002-01-31,45.1
2002-02-01,45.45
2002-02-04,45.5
2002-02-05,44.85
2002-02-06,45.1
2002-02-07,44.8
2002-02-08,44.55
2002-02-11,43.1
2002-02-12,43.0
2002-02-13,43.4
2002-02-14,43.75
2002-02-15,44.1
2002-02-19,43.8
2002-02-20,47.05
2002-02-21,49.0
2002-02-22,48.0
2002-02-25,47.05
2002-02-26,45.85
2002-02-27,44.65
2002-02-28,44.75
2002-03-01,45.85
2002-03-04,45.75
2002-03-05,46.8
2002-03-06,48.25
2002-03-07,47.4
2002-03-08,48.45
2002-03-11,52.85
2002-03-12,55.4
2002-03-13,54.4
2002-03-14,54.3
2002-03-15,54.75
2002-03-18,50.6
2002-03-19,53.35
2002-03-20,56.0
2002-03-21,53.95
2002-03-22,54.3
2002-03-25,54.45
2002-03-26,55.05
2002-03-27,55.95
2002-03-28,57.2
2002-04-01,58.5
2002-04-02,59.35
2002-04-03,59.45
2002-04-04,56.8
2002-04-05,55.0
2002-04-08,54.05
2002-04-09,56.1
2002-04-10,56.05
2002-04-11,54.95
2002-04-12,53.2
2002-04-15,53.15
2002-04-16,53.0
2002-04-17,53.5
2002-04-18,55.75
2002-04-19,53.05
2002-04-22,53.85
2002-04-23,54.4
2002-04-24,52.85
2002-04-25,50.5
2002-04-26,49.7
2002-04-29,49.4
2002-04-30,50.7
2002-05-01,49.5
2002-05-02,48.85
2002-05-03,49.0
2002-05-06,48.8
2002-05-07,49.0
2002-05-08,48.4
2002-05-09,47.3
2002-05-10,47.5
2002-05-13,46.75
2002-05-14,47.5
2002-05-15,47.45
2002-05-16,48.4
2002-05-17,48.4
2002-05-20,49.3
2002-05-21,52.7
2002-05-22,50.7
2002-05-23,50.7
2002-05-24,51.4
2002-05-28,50.6
2002-05-29,51.65
2002-05-30,51.6
2002-05-31,51.9
2002-06-03,51.2
2002-06-04,50.85
2002-06-05,50.15
2002-06-06,50.25
2002-06-07,49.15
2002-06-10,49.5
2002-06-11,49.35
2002-06-12,48.9
2002-06-13,47.2
2002-06-14,46.45
2002-06-17,47.1
2002-06-18,46.55
2002-06-19,46.45
2002-06-20,47.8
2002-06-21,47.1
2002-06-24,47.9
2002-06-25,47.2
2002-06-26,46.9
2002-06-27,46.85
2002-06-28,46.5
2002-07-01,47.8
2002-07-02,49.9
2002-07-03,48.15
2002-07-08,48.5
2002-07-09,49.3
2002-07-10,50.0
2002-07-11,51.9
2002-07-12,49.85
2002-07-15,49.0
2002-07-16,49.3
2002-07-17,49.75
2002-07-18,47.6
2002-07-19,47.35
2002-07-22,48.45
2002-07-23,48.8
2002-07-24,47.8
2002-07-25,48.35
2002-07-26,48.4
2002-07-29,47.25
2002-07-30,47.05
2002-07-31,46.8
2002-08-01,47.5
2002-08-02,48.1
2002-08-05,47.15
2002-08-06,47.35
2002-08-07,47.35
2002-08-08,47.9
2002-08-09,47.55
2002-08-12,48.45
2002-08-13,47.9
2002-08-14,48.2
2002-08-15,46.5
2002-08-16,46.9
2002-08-19,46.45
2002-08-20,47.0
2002-08-21,46.7
2002-08-22,48.25
2002-08-23,49.2
2002-08-26,48.35
2002-08-27,48.6
2002-08-28,50.8
2002-08-29,50.75
2002-08-30,51.5
2002-09-03,54.25
2002-09-04,55.95
2002-09-05,55.0
2002-09-06,55.5
2002-09-09,59.3
2002-09-10,58.25
2002-09-11,57.5
2002-09-12,58.75
2002-09-13,59.8
2002-09-16,61.35
2002-09-17,61.0
2002-09-18,59.0
2002-09-19,58.45
2002-09-20,56.05
2002-09-23,54.65
2002-09-24,54.85
2002-09-25,56.15
2002-09-26,55.2
2002-09-27,55.65
2002-09-30,54.5
2002-10-01,56.55
2002-10-02,56.95
2002-10-03,56.45
2002-10-04,56.0
2002-10-07,57.75
2002-10-08,58.25
2002-10-09,58.8
2002-10-10,57.4
2002-10-11,57.35
2002-10-14,62.8
2002-10-15,69.7
2002-10-16,67.1
2002-10-17,66.3
2002-10-18,62.6
2002-10-21,65.3
2002-10-22,64.1
2002-10-23,64.3
2002-10-24,67.5
2002-10-25,68.55
2002-10-28,64.7
2002-10-29,62.9
2002-10-30,63.0
2002-10-31,65.95
2002-11-01,64.0
2002-11-04,65.25
2002-11-05,65.9
2002-11-06,66.15
2002-11-07,66.55
2002-11-08,67.85
2002-11-11,66.1
2002-11-12,63.75
2002-11-13,64.0
2002-11-14,64.25
2002-11-15,66.4
2002-11-18,64.75
2002-11-19,66.75
