DATE,US_CORN_NET_LONG
2002-01-01,-6672.0
2002-01-08,-6881.0
2002-01-15,-1526.0
2002-01-22,1155.0
2002-01-29,-12072.0
2002-02-05,-19640.0
2002-02-12,-24497.0
2002-02-19,-15276.0
2002-02-26,-47717.0
2002-03-05,-45178.0
2002-03-12,-36859.0
2002-03-19,-40921.0
2002-03-26,-43253.0
2002-04-02,-47626.0
2002-04-09,-41294.0
2002-04-16,-38865.0
2002-04-23,-29813.0
2002-04-30,-37346.0
2002-05-07,-29965.0
2002-05-14,10555.0
2002-05-21,17142.0
2002-05-28,16823.0
2002-06-04,23105.0
2002-06-11,14001.0
2002-06-18,14428.0
2002-06-25,45943.0
2002-07-02,84904.0
2002-07-09,87213.0
2002-07-16,76053.0
2002-07-23,88382.0
2002-07-30,85054.0
2002-08-06,98944.0
2002-08-13,108595.0
2002-08-20,109256.0
2002-08-27,88572.0
2002-09-03,90345.0
2002-09-10,100417.0
2002-09-17,96008.0
2002-09-24,78203.0
2002-10-01,63877.0
2002-10-08,68574.0
2002-10-15,58722.0
2002-10-22,60372.0
2002-10-29,55775.0
2002-11-05,43242.0
2002-11-12,30571.0
2002-11-19,33613.0
2002-11-26,10914.0
2002-12-03,10515.0
2002-12-10,1228.0
2002-12-17,-1197.0
2002-12-24,4303.0
2002-12-31,-5548.0
2003-01-07,-9140.0
2003-01-14,-24059.0
2003-01-21,-28822.0
2003-01-28,-19632.0
2003-02-04,-21737.0
2003-02-11,-1518.0
2003-02-18,3857.0
2003-02-25,-33512.0
2003-03-04,-42622.0
2003-03-11,-27620.0
2003-03-18,-38438.0
2003-03-25,-49511.0
2003-04-01,-33966.0
2003-04-08,9408.0
2003-04-15,19986.0
2003-04-22,19507.0
2003-04-29,-7643.0
2003-05-06,-12487.0
2003-05-13,59277.0
2003-05-20,73270.0
2003-05-27,60636.0
2003-06-03,51961.0
2003-06-10,39605.0
2003-06-17,45155.0
2003-06-24,27374.0
2003-07-01,-17124.0
2003-07-08,-26721.0
2003-07-15,-45024.0
2003-07-22,-49347.0
2003-07-29,-65174.0
2003-08-05,-68936.0
2003-08-12,-37962.0
2003-08-19,-9088.0
2003-08-26,-10844.0
2003-09-02,13074.0
2003-09-09,27416.0
2003-09-16,16056.0
2003-09-23,11254.0
2003-09-30,1547.0
2003-10-07,3551.0
2003-10-14,-11885.0
2003-10-21,-20352.0
2003-10-28,39515.0
2003-11-04,68799.0
2003-11-11,85177.0
2003-11-18,84424.0
2003-11-25,80060.0
2003-12-02,95401.0
2003-12-09,117457.0
2003-12-16,127043.0
2003-12-23,121972.0
2003-12-30,90158.0
2004-01-06,112466.0
2004-01-13,141880.0
2004-01-20,164298.0
2004-01-27,176421.0
2004-02-03,179065.0
2004-02-10,180060.0
2004-02-17,182518.0
2004-02-24,201600.0
2004-03-02,206495.0
2004-03-09,206300.0
2004-03-16,214365.0
2004-03-23,214337.0
2004-03-30,203699.0
2004-04-06,203921.0
2004-04-13,205147.0
2004-04-20,165311.0
2004-04-27,159710.0
2004-05-04,159982.0
2004-05-11,132560.0
2004-05-18,103986.0
2004-05-25,94666.0
2004-06-01,107420.0
2004-06-08,137835.0
2004-06-15,112629.0
2004-06-22,91425.0
2004-06-29,74428.0
2004-07-06,54735.0
2004-07-13,49275.0
2004-07-20,35913.0
2004-07-27,15643.0
2004-08-03,2136.0
2004-08-10,3272.0
2004-08-17,-5153.0
2004-08-24,-7916.0
2004-08-31,-4709.0
2004-09-07,146.0
2004-09-14,-25972.0
2004-09-21,-29227.0
2004-09-28,-38940.0
2004-10-05,-41592.0
2004-10-12,-46721.0
2004-10-19,-37720.0
2004-10-26,-40624.0
2004-11-02,-66170.0
2004-11-09,-62601.0
2004-11-16,-47829.0
2004-11-23,-63317.0
2004-11-30,-83778.0
2004-12-07,-97627.0
2004-12-14,-97365.0
2004-12-21,-91211.0
2004-12-28,-81127.0
2005-01-04,-92435.0
2005-01-11,-66936.0
2005-01-18,-114004.0
2005-01-25,-112487.0
2005-02-01,-114037.0
2005-02-08,-114265.0
2005-02-15,-84655.0
2005-02-22,-45386.0
2005-03-01,8414.0
2005-03-08,26479.0
2005-03-15,49343.0
2005-03-22,49018.0
2005-03-29,33797.0
2005-04-05,14500.0
2005-04-12,-4557.0
2005-04-19,-10167.0
2005-04-26,-8069.0
2005-05-03,-33287.0
2005-05-10,-43263.0
2005-05-17,-55440.0
2005-05-24,-9491.0
2005-05-31,334.0
2005-06-07,8330.0
2005-06-14,6729.0
2005-06-21,43597.0
2005-06-28,33470.0
2005-07-05,19443.0
2005-07-12,31840.0
2005-07-19,75359.0
2005-07-26,65690.0
2005-08-02,67146.0
2005-08-09,46152.0
2005-08-16,7421.0
2005-08-23,-9699.0
2005-08-30,-29103.0
2005-09-06,-18425.0
2005-09-13,-37195.0
2005-09-20,-28076.0
2005-09-27,-29657.0
2005-10-04,-19022.0
2005-10-11,-22414.0
2005-10-18,-10607.0
2005-10-25,-14539.0
2005-11-01,-7050.0
2005-11-08,-3951.0
2005-11-15,-970.0
2005-11-22,-25518.0
2005-11-29,-38955.0
2005-12-06,-31911.0
2005-12-13,-28156.0
2005-12-20,-10401.0
2005-12-27,27114.0
2006-01-03,42186.0
2006-01-10,50108.0
2006-01-17,34259.0
2006-01-24,4176.0
2006-01-31,92545.0
2006-02-07,131690.0
2006-02-14,138062.0
2006-02-21,155178.0
2006-02-28,173029.0
2006-03-07,160336.0
2006-03-14,154363.0
2006-03-21,95307.0
2006-03-28,78519.0
2006-04-04,145957.0
2006-04-11,181969.0
2006-04-18,209605.0
2006-04-25,207186.0
2006-05-02,211763.0
2006-05-09,194416.0
2006-05-16,260599.0
2006-05-23,256922.0
2006-05-30,266393.0
2006-06-06,260865.0
2006-06-13,227634.0
2006-06-20,187164.0
2006-06-27,153783.0
2006-07-04,161381.0
2006-07-11,182325.0
2006-07-18,196960.0
2006-07-25,196273.0
2006-08-01,189644.0
2006-08-08,184189.0
2006-08-15,136546.0
2006-08-22,118839.0
