DATE,US_COTTON_NET_LONG
2002-01-01,4332.0
2002-01-08,6768.0
2002-01-15,5927.0
2002-01-22,7235.0
2002-01-29,5569.0
2002-02-05,7890.0
2002-02-12,12572.0
2002-02-19,3546.0
2002-02-26,-1344.0
2002-03-05,-2591.0
2002-03-12,3323.0
2002-03-19,7257.0
2002-03-26,12644.0
2002-04-02,12199.0
2002-04-09,7657.0
2002-04-16,7758.0
2002-04-23,-4462.0
2002-04-30,-7011.0
2002-05-07,-8041.0
2002-05-14,-8621.0
2002-05-21,-6449.0
2002-05-28,-962.0
2002-06-04,3092.0
2002-06-11,6165.0
2002-06-18,13402.0
2002-06-25,24973.0
2002-07-02,32416.0
2002-07-09,32655.0
2002-07-16,23335.0
2002-07-23,25555.0
2002-07-30,25322.0
2002-08-06,23635.0
2002-08-13,22580.0
2002-08-20,20043.0
2002-08-27,15864.0
2002-09-03,17455.0
2002-09-10,15726.0
2002-09-17,5597.0
2002-09-24,4743.0
2002-10-01,4959.0
2002-10-08,-2315.0
2002-10-15,-3068.0
2002-10-22,-363.0
2002-10-29,7452.0
2002-11-05,20900.0
2002-11-12,20157.0
2002-11-19,22402.0
2002-11-26,23200.0
2002-12-03,19763.0
2002-12-10,19490.0
2002-12-17,19575.0
2002-12-24,24463.0
2002-12-31,25614.0
2003-01-07,28482.0
2003-01-14,30660.0
2003-01-21,27163.0
2003-01-28,23051.0
2003-02-04,30084.0
2003-02-11,34184.0
2003-02-18,35694.0
2003-02-25,37472.0
2003-03-04,37516.0
2003-03-11,36943.0
2003-03-18,39671.0
2003-03-25,35668.0
2003-04-01,25971.0
2003-04-08,25319.0
2003-04-15,25695.0
2003-04-22,30898.0
2003-04-29,18353.0
2003-05-06,6109.0
2003-05-13,211.0
2003-05-20,1890.0
2003-05-27,852.0
2003-06-03,-6283.0
2003-06-10,-6760.0
2003-06-17,1716.0
2003-06-24,4599.0
2003-07-01,3550.0
2003-07-08,17530.0
2003-07-15,22684.0
2003-07-22,21121.0
2003-07-29,20290.0
2003-08-05,11290.0
2003-08-12,6755.0
2003-08-19,1900.0
2003-08-26,1713.0
2003-09-02,7620.0
2003-09-09,12417.0
2003-09-16,32536.0
2003-09-23,39507.0
2003-09-30,44819.0
2003-10-07,43662.0
2003-10-14,48989.0
2003-10-21,46562.0
2003-10-28,42391.0
2003-11-04,38694.0
2003-11-11,42323.0
2003-11-18,36512.0
2003-11-25,25993.0
2003-12-02,24866.0
2003-12-09,19936.0
2003-12-16,19047.0
2003-12-23,18582.0
2003-12-30,22948.0
2004-01-06,29594.0
2004-01-13,31793.0
2004-01-20,31632.0
2004-01-27,37374.0
2004-02-03,18493.0
2004-02-10,6061.0
2004-02-17,2241.0
2004-02-24,3824.0
2004-03-02,11943.0
2004-03-09,3719.0
2004-03-16,-2953.0
2004-03-23,-2775.0
2004-03-30,-4620.0
2004-04-06,-10617.0
2004-04-13,-14447.0
2004-04-20,-24499.0
2004-04-27,-24286.0
2004-05-04,-28125.0
2004-05-11,-22550.0
2004-05-18,-22575.0
2004-05-25,-24446.0
2004-06-01,-26325.0
2004-06-08,-30119.0
2004-06-15,-26438.0
2004-06-22,-27704.0
2004-06-29,-27061.0
2004-07-06,-27437.0
2004-07-13,-28762.0
2004-07-20,-27715.0
2004-07-27,-29799.0
2004-08-03,-30098.0
2004-08-10,-31162.0
2004-08-17,-30734.0
2004-08-24,-23424.0
2004-08-31,-21257.0
2004-09-07,-18235.0
2004-09-14,-19259.0
2004-09-21,-23763.0
2004-09-28,-23752.0
2004-10-05,-26251.0
2004-10-12,-28651.0
2004-10-19,-31476.0
2004-10-26,-29776.0
2004-11-02,-33224.0
2004-11-09,-33594.0
2004-11-16,-31048.0
2004-11-23,-28144.0
2004-11-30,-26132.0
2004-12-07,-31089.0
2004-12-14,-31690.0
2004-12-21,-26832.0
2004-12-28,-28957.0
2005-01-04,-21278.0
2005-01-11,1720.0
2005-01-18,3014.0
2005-01-25,9155.0
2005-02-01,-9491.0
2005-02-08,-13409.0
2005-02-15,-5340.0
2005-02-22,8988.0
2005-03-01,18673.0
2005-03-08,22340.0
2005-03-15,27605.0
2005-03-22,24429.0
2005-03-29,25271.0
2005-04-05,25161.0
2005-04-12,26413.0
2005-04-19,34768.0
2005-04-26,35169.0
2005-05-03,31124.0
2005-05-10,22638.0
2005-05-17,15298.0
2005-05-24,8971.0
2005-05-31,6585.0
2005-06-07,1623.0
2005-06-14,-8517.0
2005-06-21,-10376.0
2005-06-28,-1682.0
2005-07-05,6913.0
2005-07-12,4838.0
