DATE,US_DDGS_PRICE
2014-07-28,142.5
2014-08-11,125.0
2014-08-12,125.0
2014-08-13,125.0
2014-08-14,125.0
2014-08-15,122.5
2014-08-18,122.5
2014-08-19,122.5
2014-08-20,122.5
2014-08-21,122.5
2014-08-22,122.5
2014-08-25,122.5
2014-08-26,125.0
2014-08-27,125.0
2014-08-28,125.0
2014-08-29,125.0
2014-09-02,127.5
2014-09-03,127.5
2014-09-04,127.5
2014-09-05,127.5
2014-09-08,127.5
2014-09-09,127.5
2014-09-10,127.5
2014-09-11,127.5
2014-09-12,127.5
2014-09-15,127.5
2014-09-16,127.5
2014-09-17,127.5
2014-09-18,127.5
2014-09-19,127.5
2014-09-22,127.5
2014-09-23,125.0
2014-09-24,125.0
2014-09-25,125.0
2014-09-26,125.0
2014-09-29,125.0
2014-09-30,120.0
2014-10-01,120.0
2014-10-02,120.0
2014-10-03,120.0
2014-10-06,120.0
2014-10-07,120.0
2014-10-08,120.0
2014-10-09,112.5
2014-10-10,112.5
2014-10-14,109.0
2014-10-15,109.0
2014-10-16,109.0
2014-10-17,109.0
2014-10-20,109.0
2014-10-21,110.0
2014-10-22,110.0
2014-10-23,110.0
2014-10-24,110.0
2014-10-27,110.0
2014-10-28,110.0
2014-10-29,110.0
2014-10-30,110.0
2014-10-31,110.0
2014-11-03,110.0
2014-11-04,114.5
2014-11-05,114.5
2014-11-06,114.5
2014-11-07,114.5
2014-11-10,114.5
2014-11-12,117.5
2014-11-13,117.5
2014-11-14,117.5
2014-11-17,117.5
2014-11-18,117.5
2014-11-19,117.5
2014-11-20,117.5
2014-11-21,117.5
2014-11-25,130.0
2014-11-26,130.0
2014-11-28,130.0
2014-12-01,130.0
2014-12-02,130.0
2014-12-03,130.0
2014-12-04,130.0
2014-12-05,130.0
2014-12-08,130.0
2014-12-09,136.5
2014-12-10,136.5
2014-12-11,136.5
2014-12-12,136.5
2014-12-15,136.5
2014-12-16,165.0
2014-12-17,165.0
2014-12-18,165.0
2014-12-19,165.0
2014-12-22,165.0
2014-12-23,186.5
2014-12-24,186.5
2014-12-29,182.5
2014-12-30,182.5
2014-12-31,182.5
2015-01-02,182.5
2015-01-05,182.5
2015-01-06,187.5
2015-01-07,187.5
2015-01-08,187.5
2015-01-09,187.5
2015-01-12,187.5
2015-01-13,191.5
2015-01-14,191.5
2015-01-15,191.5
2015-01-16,191.5
2015-01-20,199.0
2015-01-21,199.0
2015-01-22,199.0
2015-01-23,199.0
2015-01-26,199.0
2015-01-27,199.0
2015-01-28,199.0
2015-01-29,199.0
2015-01-30,199.0
2015-02-02,199.0
2015-02-03,199.5
2015-02-04,199.5
2015-02-05,199.5
2015-02-06,199.5
2015-02-09,199.5
2015-02-10,198.5
2015-02-11,198.5
2015-02-12,198.5
2015-02-13,198.5
2015-02-17,199.5
2015-02-18,199.5
2015-02-19,199.5
2015-02-20,199.5
2015-02-23,199.5
2015-02-24,198.0
2015-02-25,198.0
2015-02-26,198.0
2015-02-27,198.0
2015-03-02,198.0
2015-03-03,199.0
2015-03-04,199.0
2015-03-05,199.0
2015-03-06,199.0
2015-03-09,199.0
2015-03-10,200.0
2015-03-11,200.0
2015-03-12,200.0
2015-03-13,200.0
2015-03-16,200.0
2015-03-17,200.0
2015-03-18,199.0
2015-03-19,199.0
2015-03-20,199.0
2015-03-23,199.0
2015-03-24,199.0
2015-03-25,191.5
2015-03-26,191.5
2015-03-27,191.5
2015-03-30,191.5
2015-03-31,193.5
2015-04-01,193.5
2015-04-02,193.5
2015-04-03,193.5
2015-04-07,193.5
2015-04-08,193.5
2015-04-09,193.5
2015-04-10,193.5
2015-04-13,193.5
2015-04-14,193.5
2015-04-15,193.5
2015-04-16,193.5
2015-04-17,193.5
2015-04-20,193.5
2015-04-21,193.5
2015-04-22,193.5
2015-04-23,193.5
2015-04-24,193.5
2015-04-27,193.5
2015-04-28,197.5
2015-04-29,197.5
2015-04-30,197.5
2015-05-01,197.5
2015-05-04,197.5
2015-05-05,187.5
2015-05-06,187.5
2015-05-07,187.5
2015-05-08,187.5
2015-05-11,187.5
2015-05-12,185.0
2015-05-13,185.0
2015-05-14,185.0
2015-05-15,185.0
2015-05-18,185.0
2015-05-19,180.0
2015-05-20,177.5
2015-05-21,177.5
2015-05-22,177.5
2015-05-26,180.0
2015-05-27,180.0
2015-05-28,180.0
2015-05-29,180.0
2015-06-01,180.0
2015-06-02,176.5
2015-06-03,176.5
2015-06-04,176.5
2015-06-05,176.5
2015-06-08,176.5
2015-06-09,167.5
2015-06-10,167.5
2015-06-11,167.5
2015-06-12,167.5
2015-06-15,167.5
2015-06-16,150.0
2015-06-17,150.0
2015-06-18,150.0
2015-06-19,150.0
2015-06-22,150.0
2015-06-23,147.5
2015-06-24,141.0
2015-06-25,140.0
2015-06-26,140.0
2015-06-29,140.0
2015-06-30,141.0
2015-07-01,141.0
2015-07-02,141.0
2015-07-06,137.5
2015-07-07,141.5
2015-07-08,141.5
2015-07-09,141.5
2015-07-10,143.5
2015-07-13,143.5
2015-07-14,147.5
2015-07-15,147.5
2015-07-16,147.5
2015-07-17,147.5
2015-07-20,147.5
2015-07-21,152.5
2015-07-22,152.5
2015-07-23,152.5
2015-07-24,152.5
2015-07-27,152.5
2015-07-28,152.5
2015-07-29,152.5
2015-07-30,152.5
2015-07-31,152.5
2015-08-03,152.5
2015-08-04,155.0
2015-08-05,155.0
2015-08-06,155.0
2015-08-07,155.0
2015-08-10,155.0
2015-08-11,155.0
2015-08-12,155.0
2015-08-13,155.0
2015-08-14,155.0
2015-08-17,155.0
2015-08-18,155.0
2015-08-19,155.0
2015-08-20,155.0
2015-08-21,155.0
2015-08-24,155.0
2015-08-25,155.0
2015-08-26,155.0
2015-08-27,155.0
2015-08-28,155.0
2015-08-31,155.0
2015-09-01,155.0
2015-09-02,155.0
2015-09-03,155.0
2015-09-04,155.0
2015-09-08,137.5
2015-09-09,137.5
2015-09-10,137.5
2015-09-11,137.5
2015-09-14,137.5
2015-09-15,139.0
2015-09-16,139.0
2015-09-17,139.0
2015-09-18,139.0
2015-09-21,139.0
2015-09-22,139.0
2015-09-23,139.0
2015-09-24,139.0
2015-09-25,139.0
2015-09-28,139.0
2015-09-29,132.5
2015-09-30,132.5
2015-10-01,132.5
2015-10-02,132.5
2015-10-05,132.5
2015-10-06,131.5
2015-10-07,131.5
2015-10-08,131.5
2015-10-09,131.5
