DATE,US_DDGS_PRODUCTION
2014-10-31,1856472.0
2014-11-30,1770904.0
2014-12-31,1919823.0
2015-01-31,1831393.0
2015-02-28,1622467.0
2015-03-31,1781563.0
2015-04-30,1663380.0
2015-05-31,1861795.0
2015-06-30,1950214.0
2015-07-31,1975199.0
2015-08-31,1928716.0
2015-09-30,1875100.0
2015-10-31,1921440.0
2015-11-30,1903313.0
2015-12-31,1941708.0
2016-01-31,1905165.0
2016-02-29,1795472.0
2016-03-31,1919507.0
2016-04-30,1717024.0
2016-05-31,1845238.0
2016-06-30,1893816.0
2016-07-31,2047520.0
2016-08-31,2072699.0
2016-09-30,1964214.0
2016-10-31,1927282.0
2016-11-30,1995252.0
2016-12-31,2095550.0
2017-01-31,2073740.0
2017-02-28,1891804.0
2017-03-31,1997388.0
2017-04-30,1752270.0
2017-05-31,1906829.0
2017-06-30,1851702.0
2017-07-31,1930770.0
2017-08-31,2062285.0
2017-09-30,1854144.0
2017-10-31,1961763.0
2017-11-30,1996869.0
2017-12-31,1967745.0
2018-01-31,1986257.0
2018-02-28,1829272.0
2018-03-31,1942750.0
2018-04-30,1831598.0
2018-05-31,1968728.0
2018-06-30,2020697.0
2018-07-31,2109109.0
2018-08-31,2185674.0
2018-09-30,1951327.0
2018-10-31,1979896.0
2018-11-30,1930259.0
2018-12-31,1924199.0
2019-01-31,1822623.0
2019-02-28,1691758.0
2019-03-31,1866807.0
2019-04-30,1858305.0
2019-05-31,1942792.0
2019-06-30,1959560.0
2019-07-31,1985820.0
2019-08-31,2014491.0
2019-09-30,1788730.0
2019-10-31,1871852.0
2019-11-30,1880488.0
2019-12-31,1908251.0
2020-01-31,1950153.0
2020-02-29,1817583.0
2020-03-31,1655147.0
2020-04-30,1013914.0
2020-05-31,1239579.0
2020-06-30,1664131.0
2020-07-31,1865131.0
2020-08-31,1806571.0
2020-09-30,1746328.0
2020-10-31,1823621.0
2020-11-30,1794035.0
2020-12-31,1787124.0
2021-01-31,1753401.0
2021-02-28,1406427.0
2021-03-31,1803494.0
2021-04-30,1768002.0
2021-05-31,1942762.0
2021-06-30,1925037.0
2021-07-31,1970139.0
2021-08-31,1827378.0
2021-09-30,1761034.0
2021-10-31,1948812.0
2021-11-30,1997444.0
2021-12-31,2073188.0
2022-01-31,1929115.0
2022-02-28,1693253.0
2022-03-31,1877338.0
2022-04-30,1704698.0
2022-05-31,1896665.0
2022-06-30,1918611.0
2022-07-31,1934355.0
2022-08-31,1867735.0
2022-09-30,1613088.0
2022-10-31,1745419.0
2022-11-30,1778479.0
2022-12-31,1679600.0
2023-01-31,1714389.0
2023-02-28,1560717.0
2023-03-31,1705371.0
2023-04-30,1619677.0
2023-05-31,1702061.0
2023-06-30,1787735.0
2023-07-31,1784282.0
2023-08-31,1808403.0
2023-09-30,1723588.0
2023-10-31,1850921.0
2023-11-30,1796675.0
2023-12-31,1949450.0
2024-01-31,1763387.0
2024-02-29,1809197.0
2024-03-31,1931965.0
2024-04-30,1756396.0
2024-05-31,2002984.0
2024-06-30,1801769.0
2024-07-31,1999536.0
2024-08-31,1997750.0
2024-09-30,1795303.0
2024-10-31,1869619.0
2024-11-30,1836244.0
2024-12-31,1876286.0
2025-01-31,1851000.0
2025-02-28,1695000.0
