DATE,US_ETHANOL_PRICE
2007-09-20,1.54
2007-09-24,1.54
2007-09-25,1.52
2007-09-26,1.52
2007-09-27,1.52
2007-09-28,1.52
2007-10-01,1.52
2007-10-02,1.52
2007-10-03,1.52
2007-10-04,1.52
2007-10-05,1.49
2007-10-08,1.49
2007-10-09,1.49
2007-10-10,1.49
2007-10-11,1.49
2007-10-12,1.49
2007-10-15,1.49
2007-10-16,1.49
2007-10-17,1.49
2007-10-18,1.49
2007-10-19,1.54
2007-10-22,1.54
2007-10-23,1.54
2007-10-24,1.54
2007-10-25,1.54
2007-10-26,1.6
2007-10-29,1.6
2007-10-30,1.6
2007-11-01,1.6
2007-11-02,1.67
2007-11-05,1.67
2007-11-06,1.67
2007-11-07,1.67
2007-11-08,1.67
2007-11-09,1.71
2007-11-12,1.71
2007-11-13,1.71
2007-11-14,1.71
2007-11-15,1.71
2007-11-16,1.77
2007-11-19,1.77
2007-11-20,1.77
2007-11-21,1.77
2007-11-23,1.82
2007-11-26,1.82
2007-11-27,1.82
2007-11-28,1.82
2007-11-29,1.82
2007-11-30,1.87
2007-12-03,1.87
2007-12-04,1.87
2007-12-05,1.87
2007-12-06,1.87
2007-12-07,1.85
2007-12-10,1.85
2007-12-11,1.85
2007-12-12,1.85
2007-12-13,1.85
2007-12-14,1.94
2007-12-17,1.94
2007-12-18,1.94
2007-12-19,1.94
2007-12-20,1.94
2007-12-21,2.09
2007-12-26,2.09
2007-12-27,2.09
2007-12-28,2.09
2007-12-31,2.12
2008-01-02,2.12
2008-01-03,2.12
2008-01-04,2.26
2008-01-07,2.26
2008-01-08,2.26
2008-01-09,2.26
2008-01-10,2.26
2008-01-11,2.17
2008-01-14,2.17
2008-01-15,2.17
2008-01-16,2.17
2008-01-17,2.17
2008-01-18,2.17
2008-01-22,2.17
2008-01-23,2.17
2008-01-24,2.17
2008-01-25,2.17
2008-01-28,2.17
2008-01-29,2.17
2008-01-30,2.17
2008-01-31,2.17
2008-02-01,2.1
2008-02-04,2.14
2008-02-05,2.14
2008-02-06,2.14
2008-02-07,2.14
2008-02-08,2.08
2008-02-11,2.08
2008-02-12,2.08
2008-02-13,2.08
2008-02-14,2.08
2008-02-15,2.08
2008-02-19,2.08
2008-02-20,2.08
2008-02-21,2.08
2008-02-22,2.18
2008-02-25,2.18
2008-02-26,2.18
2008-02-27,2.18
2008-02-28,2.18
2008-02-29,2.26
2008-03-03,2.26
2008-03-04,2.26
2008-03-05,2.26
2008-03-06,2.26
2008-03-07,2.3
2008-03-10,2.3
2008-03-11,2.3
2008-03-12,2.3
2008-03-13,2.3
2008-03-14,2.35
2008-03-17,2.35
2008-03-18,2.35
2008-03-19,2.35
2008-03-20,2.35
2008-03-24,2.33
2008-03-25,2.33
2008-03-26,2.33
2008-03-27,2.33
2008-04-07,2.44
2008-04-08,2.44
2008-04-09,2.44
2008-04-10,2.44
2008-04-11,2.45
2008-04-14,2.45
2008-04-15,2.45
2008-04-16,2.45
2008-04-17,2.45
2008-04-18,2.5
2008-04-21,2.5
2008-04-22,2.5
2008-04-23,2.5
2008-04-24,2.5
2008-04-25,2.51
2008-04-28,2.51
2008-04-29,2.51
2008-04-30,2.51
2008-05-01,2.51
2008-05-02,2.49
2008-05-05,2.49
2008-05-06,2.49
2008-05-07,2.49
2008-05-08,2.49
2008-05-09,2.49
2008-05-12,2.49
2008-05-13,2.49
2008-05-14,2.49
2008-05-15,2.49
2008-05-16,2.49
2008-05-19,2.49
2008-05-20,2.49
2008-05-21,2.49
2008-05-22,2.49
2008-05-23,2.48
2008-05-27,2.48
2008-05-28,2.48
2008-05-29,2.48
2008-05-30,2.46
2008-06-02,2.46
2008-06-03,2.46
