DATE,US_HOG_CARCASS_PRICE
2003-04-07,47.01
2003-04-08,47.47
2003-04-09,47.44
2003-04-10,47.6
2003-04-11,47.32
2003-04-14,46.57
2003-04-15,46.15
2003-04-16,46.05
2003-04-17,46.34
2003-04-18,46.06
2003-04-21,46.37
2003-04-22,47.81
2003-04-23,49.52
2003-04-24,51.26
2003-04-25,51.98
2003-04-28,52.94
2003-04-29,52.98
2003-04-30,52.1
2003-05-01,52.09
2003-05-02,53.25
2003-05-05,53.59
2003-05-06,54.45
2003-05-07,54.81
2003-05-08,55.22
2003-05-09,56.72
2003-05-12,57.31
2003-05-13,58.68
2003-05-14,59.12
2003-05-15,59.25
2003-05-16,60.57
2003-05-19,61.61
2003-05-20,61.88
2003-05-21,60.93
2003-05-22,59.89
2003-05-23,58.79
2003-05-27,58.19
2003-05-28,57.59
2003-05-29,57.72
2003-05-30,58.64
2003-06-02,59.36
2003-06-03,61.22
2003-06-04,61.36
2003-06-05,61.85
2003-06-06,63.0
2003-06-09,64.22
2003-06-10,64.98
2003-06-11,64.87
2003-06-12,65.25
2003-06-13,64.49
2003-06-16,65.76
2003-06-17,65.64
2003-06-18,65.21
2003-06-19,64.78
2003-06-20,64.89
2003-06-23,64.75
2003-06-24,63.99
2003-06-25,62.62
2003-06-26,61.62
2003-06-27,60.9
2003-07-01,59.03
2003-07-02,59.55
2003-07-03,60.96
2003-07-07,61.12
2003-07-08,61.34
2003-07-09,60.24
2003-07-10,60.2
2003-07-11,59.97
2003-07-14,58.97
2003-07-15,58.31
2003-07-16,57.27
2003-07-17,58.01
2003-07-18,58.57
2003-07-21,59.09
2003-07-22,59.17
2003-07-23,58.49
2003-07-24,58.1
2003-07-25,58.01
2003-07-28,58.1
2003-07-29,58.15
2003-07-30,57.5
2003-07-31,57.4
2003-08-01,56.75
2003-08-04,56.41
2003-08-05,56.26
2003-08-06,56.3
2003-08-07,57.39
2003-08-08,57.57
2003-08-11,57.48
2003-08-12,57.06
2003-08-13,57.81
2003-08-14,57.67
2003-08-15,56.32
2003-08-18,55.17
2003-08-19,54.07
2003-08-20,53.2
2003-08-21,52.96
2003-08-22,52.26
2003-08-25,51.15
2003-08-26,50.21
2003-08-27,49.0
2003-08-28,48.42
2003-08-29,47.97
