DATE,US_PORK_MARGIN
2013-12-30,6.65
2013-12-31,6.85
2014-01-02,5.15
2014-01-03,4.15
2014-01-06,3.35
2014-01-07,1.8
2014-01-09,4.2
2014-01-10,5.6
2014-01-13,7.75
2014-01-14,6.65
2014-01-15,9.15
2014-01-16,5.95
2014-01-17,8.25
2014-01-21,13.25
2014-01-22,11.05
2014-01-23,9.85
2014-01-24,8.35
2014-01-27,11.65
2014-01-28,15.15
2014-01-29,14.05
2014-01-30,13.1
2014-01-31,15.2
2014-02-03,9.35
2014-02-04,10.6
2014-02-05,12.85
2014-02-06,8.6
2014-02-07,10.45
2014-02-10,13.85
2014-02-11,12.7
2014-02-12,11.4
2014-02-13,14.3
2014-02-14,13.05
2014-02-17,10.4
2014-02-18,7.7
2014-02-19,10.2
2014-02-20,2.85
2014-02-21,7.25
2014-02-24,4.05
2014-02-25,6.65
2014-02-26,7.6
2014-02-27,4.05
2014-02-28,3.35
2014-03-03,1.55
2014-03-04,2.65
2014-03-05,4.05
2014-03-06,4.45
2014-03-07,3.05
2014-03-10,3.25
2014-03-11,7.25
2014-03-12,9.95
2014-03-13,10.0
2014-03-14,11.2
2014-03-17,11.1
2014-03-18,12.6
2014-03-19,17.2
2014-03-20,8.85
2014-03-21,8.45
2014-03-24,1.75
2014-03-25,2.15
2014-03-26,3.3
2014-03-27,4.2
2014-03-28,-2.7
2014-03-31,-2.1
2014-04-01,3.8
2014-04-02,1.95
2014-04-03,4.0
2014-04-04,-2.55
2014-04-07,1.7
2014-04-08,1.65
2014-04-09,3.8
2014-04-14,2.65
2014-04-15,2.0
2014-04-16,-0.2
2014-04-17,2.8
2014-04-18,1.3
2014-04-21,6.95
2014-04-22,3.25
2014-04-23,-6.0
2014-04-24,-7.6
2014-04-25,-3.25
2014-04-28,1.45
2014-04-29,8.0
2014-04-30,-1.15
2014-05-01,1.0
2014-05-02,-1.7
2014-05-05,-1.85
2014-05-06,3.3
2014-05-07,-13.0
2014-05-08,-7.8
2014-05-09,-6.55
2014-05-12,-1.75
2014-05-13,2.7
2014-05-14,-6.35
2014-05-15,0.25
2014-05-16,1.85
2014-05-19,4.35
2014-05-20,3.8
2014-05-21,2.35
2014-05-22,4.0
2014-05-23,6.0
2014-05-27,8.6
2014-05-28,4.45
2014-05-29,7.8
2014-05-30,2.35
2014-06-02,11.4
2014-06-03,12.0
2014-06-04,11.65
2014-06-05,13.95
2014-06-06,7.85
2014-06-09,17.7
2014-06-10,12.8
2014-06-11,6.05
2014-06-12,7.0
2014-06-13,8.4
2014-06-16,4.05
2014-06-17,5.65
2014-06-18,3.2
2014-06-19,6.4
2014-06-20,8.7
2014-06-23,3.15
2014-06-24,5.2
2014-06-25,0.85
2014-06-26,8.54
2014-06-27,5.65
2014-06-30,6.82
2014-07-01,6.11
2014-07-02,0.26
2014-07-03,1.5
2014-07-07,3.95
2014-07-08,0.65
2014-07-09,-0.55
2014-07-10,-1.05
2014-07-11,-1.1
2014-07-14,0.45
2014-07-15,-0.5
2014-07-16,-1.75
2014-07-17,1.4
2014-07-18,7.7
2014-07-21,11.35
2014-07-22,6.3
2014-07-23,6.4
2014-07-24,3.75
2014-07-25,4.7
2014-07-28,5.7
2014-07-29,9.8
2014-07-30,9.45
2014-07-31,10.16
2014-08-01,8.14
2014-08-04,8.45
2014-08-05,15.2
2014-08-06,14.1
2014-08-07,12.7
2014-08-11,14.15
2014-08-12,7.85
2014-08-13,4.8
2014-08-14,4.95
2014-08-15,14.2
2014-08-18,9.0
2014-08-19,9.85
2014-08-20,11.9
2014-08-21,11.8
2014-08-22,10.65
2014-08-25,9.4
2014-08-26,10.5
2014-08-27,11.0
2014-08-28,6.45
2014-08-29,11.35
2014-09-02,13.55
2014-09-03,13.55
2014-09-04,8.05
2014-09-05,6.65
2014-09-08,2.2
2014-09-09,4.8
2014-09-10,3.95
2014-09-11,0.7000000000000001
2014-09-12,6.8
2014-09-15,1.9
2014-09-16,7.4
2014-09-17,10.05
2014-09-18,6.3
2014-09-19,11.25
2014-09-22,10.8
2014-09-23,16.25
2014-09-24,18.5
2014-09-25,15.25
2014-09-26,18.7
2014-09-29,15.95
2014-09-30,25.2
2014-10-01,23.05
2014-10-02,24.7
2014-10-03,25.5
2014-10-06,17.9
2014-10-07,29.85
2014-10-08,29.4
2014-10-09,27.6
2014-10-10,31.3
2014-10-13,27.6
2014-10-14,26.5
2014-10-15,17.95
2014-10-16,23.15
2014-10-17,20.35
2014-10-20,18.8
2014-10-21,11.8
2014-10-22,9.85
2014-10-23,9.55
2014-10-24,11.6
2014-10-27,11.05
2014-10-28,16.15
2014-10-29,15.25
2014-10-30,20.25
2014-10-31,18.5
2014-11-03,19.4
2014-11-04,20.65
2014-11-05,14.75
2014-11-06,14.2
2014-11-07,11.5
2014-11-10,12.05
2014-11-11,10.5
2014-11-12,10.7
2014-11-13,11.35
2014-11-14,13.75
2014-11-17,13.5
2014-11-18,12.45
2014-11-19,9.8
2014-11-20,6.9
2014-11-21,9.9
2014-11-24,10.25
2014-11-25,8.1
2014-11-26,4.95
2014-11-28,7.3
2014-12-01,7.8
2014-12-02,10.0
2014-12-03,4.5
2014-12-04,5.45
2014-12-05,8.8
2014-12-08,9.5
2014-12-09,11.5
2014-12-10,13.35
2014-12-11,9.05
2014-12-12,10.75
2014-12-15,15.7
2014-12-16,19.7
2014-12-17,11.8
2014-12-18,13.0
2014-12-19,15.75
2014-12-22,14.2
2014-12-23,20.4
2014-12-24,18.25
2014-12-26,18.8
2014-12-29,18.8
2014-12-30,19.8
2014-12-31,16.4
2015-01-02,11.8
2015-01-05,9.85
2015-01-06,14.5
2015-01-07,14.35
2015-01-08,12.5
2015-01-09,16.6
2015-01-12,17.8
2015-01-13,16.15
2015-01-14,19.2
2015-01-15,19.45
2015-01-16,19.15
2015-01-19,20.85
2015-01-20,22.65
2015-01-21,28.35
2015-01-22,28.85
2015-01-23,27.0
2015-01-26,28.15
2015-01-27,27.5
2015-01-28,23.65
2015-01-29,21.75
2015-01-30,16.95
2015-02-02,20.0
2015-02-03,19.4
2015-02-04,17.65
2015-02-05,16.95
2015-02-06,19.85
2015-02-09,19.15
2015-02-10,21.45
2015-02-11,22.05
2015-02-12,25.7
2015-02-13,24.25
2015-02-16,24.05
2015-02-17,25.6
2015-02-18,28.35
2015-02-19,27.0
2015-02-20,21.85
2015-02-23,19.5
2015-02-24,16.4
2015-02-25,8.45
2015-02-26,1.75
2015-02-27,0.05
2015-03-02,3.75
2015-03-03,3.25
2015-03-04,1.35
2015-03-05,2.85
2015-03-06,0.15
2015-03-09,3.6
2015-03-10,5.35
2015-03-11,4.45
2015-03-12,5.05
2015-03-16,8.85
2015-03-17,12.2
2015-03-18,12.15
2015-03-19,15.45
2015-03-20,15.25
2015-03-23,15.8
2015-03-24,16.95
2015-03-25,17.95
2015-03-26,15.7
2015-03-27,16.15
2015-03-30,13.25
2015-03-31,13.45
2015-04-03,6.3
