DATE,US_SOY_NET_LONG
2002-01-01,-18041.0
2002-01-08,-16657.0
2002-01-15,1731.0
2002-01-22,6875.0
2002-01-29,-3013.0
2002-02-05,-8809.0
2002-02-12,-10534.0
2002-02-19,-6854.0
2002-02-26,109.0
2002-03-05,8509.0
2002-03-12,25486.0
2002-03-19,27495.0
2002-03-26,24282.0
2002-04-02,30282.0
2002-04-09,17527.0
2002-04-16,14030.0
2002-04-23,15644.0
2002-04-30,9666.0
2002-05-07,7043.0
2002-05-14,15085.0
2002-05-21,26734.0
2002-05-28,31620.0
2002-06-04,36707.0
2002-06-11,38241.0
2002-06-18,32681.0
2002-06-25,30412.0
2002-07-02,41933.0
2002-07-09,49931.0
2002-07-16,52498.0
2002-07-23,51071.0
2002-07-30,41873.0
2002-08-06,42532.0
2002-08-13,48597.0
2002-08-20,41817.0
2002-08-27,33312.0
2002-09-03,30342.0
2002-09-10,39890.0
2002-09-17,48651.0
2002-09-24,49981.0
2002-10-01,45656.0
2002-10-08,43192.0
2002-10-15,44387.0
2002-10-22,45030.0
2002-10-29,40463.0
2002-11-05,46186.0
2002-11-12,44163.0
2002-11-19,49785.0
2002-11-26,57314.0
2002-12-03,57737.0
2002-12-10,54177.0
2002-12-17,51631.0
2002-12-24,53423.0
2002-12-31,50350.0
2003-01-07,70541.0
2003-01-14,45143.0
2003-01-21,35182.0
2003-01-28,48943.0
2003-02-04,43185.0
2003-02-11,45799.0
2003-02-18,48354.0
2003-02-25,60274.0
2003-03-04,62927.0
2003-03-11,48316.0
2003-03-18,52145.0
2003-03-25,49940.0
2003-04-01,46348.0
2003-04-08,66858.0
2003-04-15,70066.0
2003-04-22,64769.0
2003-04-29,60156.0
2003-05-06,56487.0
2003-05-13,50773.0
2003-05-20,48441.0
2003-05-27,40044.0
2003-06-03,24266.0
2003-06-10,27670.0
2003-06-17,19277.0
2003-06-24,22691.0
2003-07-01,12837.0
2003-07-08,-6309.0
2003-07-15,-15389.0
2003-07-22,-28384.0
2003-07-29,-35567.0
2003-08-05,-36672.0
2003-08-12,-20492.0
2003-08-19,-1254.0
2003-08-26,6140.0
2003-09-02,10383.0
2003-09-09,21966.0
2003-09-16,26031.0
2003-09-23,34471.0
2003-09-30,48163.0
2003-10-07,51918.0
2003-10-14,56790.0
2003-10-21,61727.0
2003-10-28,59255.0
2003-11-04,48785.0
2003-11-11,48407.0
2003-11-18,47666.0
2003-11-25,47680.0
2003-12-02,50687.0
2003-12-09,58760.0
2003-12-16,51582.0
2003-12-23,54140.0
2003-12-30,58888.0
2004-01-06,60331.0
2004-01-13,68802.0
2004-01-20,69042.0
2004-01-27,70527.0
2004-02-03,52616.0
2004-02-10,47433.0
2004-02-17,46872.0
2004-02-24,56738.0
2004-03-02,58754.0
2004-03-09,55836.0
2004-03-16,57264.0
2004-03-23,54273.0
2004-03-30,53250.0
2004-04-06,43113.0
2004-04-13,35896.0
2004-04-20,33669.0
2004-04-27,38187.0
2004-05-04,40465.0
2004-05-11,41829.0
2004-05-18,18304.0
2004-05-25,22838.0
2004-06-01,22986.0
2004-06-08,21670.0
2004-06-15,24699.0
2004-06-22,26062.0
2004-06-29,17627.0
2004-07-06,9757.0
2004-07-13,1756.0
2004-07-20,-7772.0
2004-07-27,-15004.0
2004-08-03,-11173.0
2004-08-10,-19468.0
2004-08-17,-20948.0
2004-08-24,-22301.0
2004-08-31,-19121.0
2004-09-07,-19461.0
2004-09-14,-26067.0
2004-09-21,-32339.0
2004-09-28,-37613.0
2004-10-05,-44217.0
2004-10-12,-50742.0
2004-10-19,-47645.0
2004-10-26,-35874.0
2004-11-02,-51425.0
2004-11-09,-60210.0
2004-11-16,-42050.0
2004-11-23,-27457.0
2004-11-30,-28988.0
2004-12-07,-49576.0
2004-12-14,-37522.0
2004-12-21,-33005.0
2004-12-28,-30569.0
2005-01-04,-45070.0
2005-01-11,-51538.0
2005-01-18,-74314.0
2005-01-25,-72714.0
2005-02-01,-75759.0
2005-02-08,-78161.0
2005-02-15,-49556.0
2005-02-22,-29219.0
2005-03-01,-7884.0
2005-03-08,6357.0
2005-03-15,9379.0
2005-03-22,17642.0
2005-03-29,14117.0
2005-04-05,8671.0
2005-04-12,992.0
2005-04-19,12104.0
2005-04-26,20651.0
2005-05-03,12627.0
2005-05-10,22027.0
2005-05-17,4878.0
2005-05-24,26460.0
2005-05-31,40628.0
2005-06-07,50365.0
2005-06-14,57605.0
2005-06-21,54580.0
2005-06-28,56593.0
2005-07-05,47081.0
2005-07-12,42938.0
2005-07-19,40367.0
2005-07-26,41780.0
2005-08-02,46274.0
2005-08-09,37558.0
2005-08-16,38153.0
2005-08-23,29180.0
2005-08-30,22012.0
2005-09-06,21189.0
2005-09-13,15936.0
2005-09-20,9867.0
2005-09-27,1914.0
2005-10-04,2207.0
2005-10-11,4064.0
2005-10-18,11770.0
2005-10-25,962.0
2005-11-01,3081.0
2005-11-08,4017.0
2005-11-15,5595.0
2005-11-22,-13364.0
2005-11-29,-28271.0
2005-12-06,-27565.0
2005-12-13,-12522.0
2005-12-20,6247.0
2005-12-27,11499.0
2006-01-03,15122.0
2006-01-10,4948.0
2006-01-17,-12745.0
2006-01-24,-21504.0
2006-01-31,-13860.0
2006-02-07,-6785.0
2006-02-14,-1764.0
2006-02-21,14521.0
2006-02-28,-3816.0
2006-03-07,-4343.0
2006-03-14,-15519.0
2006-03-21,-30030.0
2006-03-28,-33954.0
2006-04-04,-43207.0
2006-04-11,-47070.0
2006-04-18,-40022.0
2006-04-25,-39846.0
2006-05-02,-14028.0
2006-05-09,-2649.0
2006-05-16,6101.0
2006-05-23,-12375.0
2006-05-30,-25689.0
2006-06-06,-12484.0
2006-06-13,-3229.0
2006-06-20,-12072.0
2006-06-27,-34315.0
2006-07-04,-11912.0
2006-07-11,-3930.0
2006-07-18,-7316.0
2006-07-25,-18009.0
2006-08-01,-35533.0
2006-08-08,-41240.0
2006-08-15,-44326.0
2006-08-22,-41425.0
2006-08-29,-39776.0
2006-09-05,-40184.0
2006-09-12,-43491.0
2006-09-19,-42299.0
2006-09-26,-43054.0
2006-10-03,-38396.0
2006-10-10,-17767.0
2006-10-17,11027.0
2006-10-24,30782.0
2006-10-31,22757.0
2006-11-07,33899.0
2006-11-14,39993.0
2006-11-21,35895.0
2006-11-28,48259.0
2006-12-05,48387.0
2006-12-12,54908.0
2006-12-19,54308.0
2006-12-26,54742.0
2007-01-02,71282.0
2007-01-09,66136.0
2007-01-16,72733.0
2007-01-23,87968.0
2007-01-30,92041.0
2007-02-06,107690.0
2007-02-13,103164.0
2007-02-20,104557.0
2007-02-27,111383.0
2007-03-06,87121.0
2007-03-13,96066.0
2007-03-20,100931.0
2007-03-27,104111.0
2007-04-03,106379.0
2007-04-10,95142.0
2007-04-17,84681.0
2007-04-24,62103.0
2007-05-01,75435.0
2007-05-08,75921.0
2007-05-15,98653.0
2007-05-22,118552.0
2007-05-29,124098.0
2007-06-05,143065.0
2007-06-12,139214.0
2007-06-19,142534.0
2007-06-26,124707.0
2007-07-03,127593.0
2007-07-10,138993.0
2007-07-17,134809.0
2007-07-24,118642.0
2007-07-31,104179.0
2007-08-07,103789.0
2007-08-14,109577.0
2007-08-21,96119.0
2007-08-28,101151.0
