DATE,US_SUGAR_NET_LONG
2002-01-01,-283.0
2002-01-08,4871.0
2002-01-15,11001.0
2002-01-22,6963.0
2002-01-29,-5448.0
2002-02-05,-22372.0
2002-02-12,-29954.0
2002-02-19,-30953.0
2002-02-26,-32233.0
2002-03-05,-27107.0
2002-03-12,-23076.0
2002-03-19,-18820.0
2002-03-26,-20965.0
2002-04-02,-21233.0
2002-04-09,-25054.0
2002-04-16,-28813.0
2002-04-23,-10293.0
2002-04-30,-14185.0
2002-05-07,-12808.0
2002-05-14,-2186.0
2002-05-21,5858.0
2002-05-28,4506.0
2002-06-04,9571.0
2002-06-11,8101.0
2002-06-18,-2388.0
2002-06-25,-15969.0
2002-07-02,-23274.0
2002-07-09,-9403.0
2002-07-16,608.0
2002-07-23,9579.0
2002-07-30,7390.0
2002-08-06,14152.0
2002-08-13,14842.0
2002-08-20,21215.0
2002-08-27,20625.0
2002-09-03,22451.0
2002-09-10,31750.0
2002-09-17,50714.0
2002-09-24,56379.0
2002-10-01,54793.0
2002-10-08,60268.0
2002-10-15,60198.0
2002-10-22,62021.0
2002-10-29,59398.0
2002-11-05,62605.0
2002-11-12,57528.0
2002-11-19,46431.0
2002-11-26,46258.0
2002-12-03,50831.0
2002-12-10,45970.0
2002-12-17,46720.0
2002-12-24,44573.0
2002-12-31,45583.0
2003-01-07,49228.0
2003-01-14,50845.0
2003-01-21,45513.0
2003-01-28,64384.0
2003-02-04,70817.0
2003-02-11,72337.0
2003-02-18,74128.0
2003-02-25,69774.0
2003-03-04,72248.0
2003-03-11,64589.0
2003-03-18,49634.0
2003-03-25,47427.0
2003-04-01,40403.0
2003-04-08,33901.0
2003-04-15,18193.0
2003-04-22,25690.0
2003-04-29,30020.0
2003-05-06,15912.0
2003-05-13,4981.0
2003-05-20,6157.0
2003-05-27,11647.0
2003-06-03,4012.0
2003-06-10,-14652.0
2003-06-17,-17279.0
2003-06-24,-27228.0
2003-07-01,-36639.0
2003-07-08,-31390.0
2003-07-15,-27032.0
2003-07-22,728.0
2003-07-29,14132.0
2003-08-05,40427.0
2003-08-12,27531.0
2003-08-19,16582.0
2003-08-26,17994.0
2003-09-02,-3579.0
2003-09-09,-24261.0
2003-09-16,-23015.0
2003-09-23,-28026.0
2003-09-30,-26858.0
2003-10-07,-29989.0
2003-10-14,-38192.0
2003-10-21,-42631.0
2003-10-28,-40402.0
2003-11-04,-46494.0
2003-11-11,-42615.0
2003-11-18,-28155.0
2003-11-25,-26339.0
2003-12-02,-23087.0
2003-12-09,4330.0
2003-12-16,11137.0
2003-12-23,-7135.0
2003-12-30,-24854.0
2004-01-06,-33393.0
2004-01-13,-37372.0
2004-01-20,-46757.0
2004-01-27,-54482.0
2004-02-03,-47210.0
2004-02-10,-61733.0
2004-02-17,-52884.0
2004-02-24,-50772.0
2004-03-02,-28312.0
2004-03-09,-19210.0
2004-03-16,39556.0
2004-03-23,63274.0
2004-03-30,41952.0
2004-04-06,37871.0
2004-04-13,51198.0
2004-04-20,52612.0
2004-04-27,51108.0
2004-05-04,53627.0
2004-05-11,36232.0
2004-05-18,26927.0
2004-05-25,31713.0
2004-06-01,50364.0
2004-06-08,61285.0
2004-06-15,48538.0
2004-06-22,46013.0
2004-06-29,48332.0
2004-07-06,50246.0
2004-07-13,62856.0
2004-07-20,65255.0
2004-07-27,60109.0
2004-08-03,65933.0
2004-08-10,58247.0
2004-08-17,44104.0
2004-08-24,34821.0
2004-08-31,41752.0
2004-09-07,39975.0
2004-09-14,39641.0
2004-09-21,32999.0
2004-09-28,40134.0
2004-10-05,47200.0
2004-10-12,58379.0
2004-10-19,68074.0
2004-10-26,63292.0
2004-11-02,44036.0
2004-11-09,25479.0
2004-11-16,32472.0
2004-11-23,42083.0
2004-11-30,49493.0
2004-12-07,53813.0
2004-12-14,42357.0
2004-12-21,28291.0
2004-12-28,40007.0
2005-01-04,58399.0
2005-01-11,34560.0
2005-01-18,39162.0
2005-01-25,45332.0
2005-02-01,78640.0
2005-02-08,78007.0
2005-02-15,85835.0
2005-02-22,81710.0
2005-03-01,69912.0
2005-03-08,52780.0
2005-03-15,68715.0
2005-03-22,61383.0
2005-03-29,31798.0
2005-04-05,7784.0
2005-04-12,-16183.0
2005-04-19,-34228.0
2005-04-26,-29979.0
2005-05-03,-31406.0
2005-05-10,-35862.0
2005-05-17,-32615.0
2005-05-24,-33565.0
2005-05-31,-25291.0
2005-06-07,-16157.0
2005-06-14,2387.0
2005-06-21,17675.0
2005-06-28,36928.0
2005-07-05,56488.0
2005-07-12,69026.0
2005-07-19,81428.0
2005-07-26,96551.0
2005-08-02,112686.0
2005-08-09,123006.0
2005-08-16,114161.0
2005-08-23,107121.0
2005-08-30,117144.0
2005-09-06,129606.0
2005-09-13,148305.0
2005-09-20,158262.0
2005-09-27,138579.0
2005-10-04,130136.0
2005-10-11,134751.0
2005-10-18,125900.0
2005-10-25,129712.0
2005-11-01,115718.0
2005-11-08,108100.0
2005-11-15,110528.0
2005-11-22,112139.0
2005-11-29,117096.0
2005-12-06,115424.0
2005-12-13,103722.0
2005-12-20,97558.0
2005-12-27,89134.0
2006-01-03,93687.0
2006-01-10,91151.0
2006-01-17,97214.0
2006-01-24,88686.0
2006-01-31,81831.0
2006-02-07,87418.0
2006-02-14,82956.0
2006-02-21,79123.0
2006-02-28,71760.0
2006-03-07,71874.0
2006-03-14,73056.0
