DATE,US_TALLOW_PRICE
2002-01-03,7.25
2002-01-11,7.13
2002-01-14,8.31
2002-01-15,8.5
2002-01-16,8.5
2007-10-10,24.0
2007-10-11,24.0
2007-10-12,23.75
2007-10-15,23.75
2007-10-16,24.6
2007-10-17,24.6
2007-10-18,24.5
2007-10-19,24.0
2007-10-22,24.0
2007-10-23,24.0
2007-10-24,24.59
2007-10-25,23.75
2007-10-26,23.75
2007-10-29,23.75
2007-10-30,24.5
2007-10-31,24.0
2007-11-01,24.0
2007-11-02,24.0
2007-11-05,24.0
2007-11-06,24.25
2007-11-07,24.38
2007-11-08,24.38
2007-11-09,24.38
2007-11-12,24.38
2007-11-13,24.38
2007-11-14,23.5
2007-11-15,24.0
2007-11-16,24.0
2007-11-19,23.5
2007-11-20,23.52
2007-11-21,23.23
2007-11-23,24.0
2007-11-26,24.0
2007-11-27,24.0
2007-11-28,23.57
2007-11-29,23.57
2007-11-30,23.57
2007-12-03,23.0
2007-12-04,23.0
2007-12-05,23.0
2007-12-06,23.08
2007-12-07,23.08
2007-12-10,23.08
2007-12-11,23.08
2007-12-12,22.98
2007-12-13,22.98
2007-12-14,22.98
2007-12-17,22.98
2007-12-18,22.7
2007-12-19,22.31
2007-12-20,22.08
2007-12-26,23.0
2007-12-27,23.0
2007-12-28,23.0
2007-12-31,23.0
2008-01-02,23.0
2008-01-03,23.0
2008-01-04,23.0
2008-01-07,23.5
2008-01-08,24.0
2008-01-09,24.25
2008-01-10,24.25
2008-01-11,24.25
2008-01-14,24.25
2008-01-15,24.75
2008-01-16,24.75
2008-01-17,24.75
2008-01-18,24.75
2008-01-21,24.75
2008-01-22,25.75
2008-01-23,25.25
2008-01-24,25.25
2008-10-08,0.0
2008-10-22,0.0
2009-03-10,15.25
2009-03-11,15.0
2009-03-12,15.0
2009-03-13,15.0
2009-03-16,15.0
2009-03-17,15.0
2009-03-18,15.0
2009-03-19,12.84
2009-03-20,13.0
2009-03-23,13.0
2009-03-24,13.5
2009-03-25,13.33
2009-03-26,13.33
2009-03-27,13.33
2009-03-30,13.33
2009-03-31,15.0
2009-04-01,15.0
2009-04-02,15.0
2009-04-03,15.88
2009-04-06,15.88
2009-04-07,17.5
2009-04-08,17.5
2009-04-09,17.5
2009-04-10,17.5
2009-04-13,19.0
2009-04-14,19.0
2009-04-15,19.0
2009-04-16,19.0
2009-04-17,20.5
2009-04-20,20.5
2009-04-21,20.5
2009-04-22,20.59
2009-04-23,20.75
2009-04-24,20.75
2009-04-27,22.0
2009-04-28,22.0
2009-04-29,22.0
2009-04-30,22.0
2009-05-01,22.0
2009-05-04,22.0
2009-05-05,22.0
2009-05-06,22.0
2009-05-07,24.25
2009-05-08,24.25
2009-05-11,25.89
2009-05-12,22.5
2009-05-13,22.5
2009-05-14,22.5
2009-05-15,22.5
2009-05-18,22.75
2009-05-19,22.75
2009-05-20,23.59
2009-05-21,23.59
2009-05-22,23.59
2009-05-26,24.67
