DATE,US_WHEAT_NET_LONG
2002-01-01,-1870.0
2002-01-08,13719.0
2002-01-15,18631.0
2002-01-22,16662.0
2002-01-29,14386.0
2002-02-05,-972.0
2002-02-12,-7423.0
2002-02-19,-14006.0
2002-02-26,-21354.0
2002-03-05,-20698.0
2002-03-12,-25964.0
2002-03-19,-20411.0
2002-03-26,-16079.0
2002-04-02,-12992.0
2002-04-09,-18915.0
2002-04-16,-19474.0
2002-04-23,-25538.0
2002-04-30,-27056.0
2002-05-07,-28825.0
2002-05-14,-22395.0
2002-05-21,-21827.0
2002-05-28,-22218.0
2002-06-04,-11604.0
2002-06-11,-8280.0
2002-06-18,1242.0
2002-06-25,5058.0
2002-07-02,19583.0
2002-07-09,25218.0
2002-07-16,27414.0
2002-07-23,25576.0
2002-07-30,32046.0
2002-08-06,37709.0
2002-08-13,34563.0
2002-08-20,29910.0
2002-08-27,29516.0
2002-09-03,32419.0
2002-09-10,29892.0
2002-09-17,32023.0
2002-09-24,30810.0
2002-10-01,26412.0
2002-10-08,20969.0
2002-10-15,21187.0
2002-10-22,19814.0
2002-10-29,22644.0
2002-11-05,21891.0
2002-11-12,18159.0
2002-11-19,10451.0
2002-11-26,10694.0
2002-12-03,7825.0
2002-12-10,2000.0
2002-12-17,6635.0
2002-12-24,1775.0
2002-12-31,-2919.0
2003-01-07,-2331.0
2003-01-14,-1266.0
2003-01-21,-2026.0
2003-01-28,1429.0
2003-02-04,2254.0
2003-02-11,2237.0
2003-02-18,3549.0
2003-02-25,-3549.0
2003-03-04,-8728.0
2003-03-11,-13686.0
2003-03-18,-16914.0
2003-03-25,-18492.0
2003-04-01,-19312.0
2003-04-08,-18387.0
2003-04-15,-16297.0
2003-04-22,-14011.0
2003-04-29,-19815.0
2003-05-06,-13776.0
2003-05-13,6320.0
2003-05-20,19658.0
2003-05-27,17424.0
2003-06-03,14436.0
2003-06-10,17324.0
2003-06-17,13994.0
2003-06-24,4312.0
2003-07-01,4090.0
2003-07-08,3237.0
2003-07-15,6274.0
2003-07-22,14251.0
2003-07-29,26538.0
2003-08-05,30944.0
2003-08-12,33225.0
2003-08-19,33293.0
2003-08-26,30520.0
2003-09-02,31187.0
2003-09-09,29094.0
2003-09-16,25422.0
2003-09-23,21313.0
2003-09-30,25001.0
2003-10-07,18213.0
2003-10-14,10485.0
2003-10-21,9160.0
2003-10-28,21281.0
2003-11-04,28284.0
2003-11-11,30309.0
2003-11-18,35688.0
2003-11-25,28343.0
2003-12-02,29326.0
2003-12-09,35180.0
2003-12-16,33104.0
2003-12-23,29280.0
2003-12-30,16749.0
2004-01-06,24516.0
2004-01-13,25833.0
2004-01-20,35443.0
2004-01-27,28135.0
2004-02-03,25167.0
2004-02-10,27217.0
2004-02-17,22604.0
2004-02-24,29177.0
2004-03-02,28993.0
2004-03-09,14259.0
2004-03-16,5498.0
2004-03-23,36176.0
2004-03-30,42092.0
2004-04-06,39091.0
2004-04-13,41575.0
2004-04-20,30861.0
2004-04-27,22376.0
2004-05-04,27575.0
2004-05-11,18247.0
2004-05-18,-381.0
2004-05-25,-2245.0
2004-06-01,-498.0
2004-06-08,171.0
2004-06-15,-2269.0
