Date,Cost_Meat_Packer_USD_kg
2005-01-08,1.624
2005-01-15,1.643
2005-01-22,1.629
2005-01-29,1.613
2005-02-05,1.612
2005-02-12,1.603
2005-02-19,1.667
2005-02-26,1.717
2005-03-05,1.649
2005-03-12,1.659
2005-03-19,1.66
2005-03-26,1.686
2005-04-02,1.713
2005-04-09,1.678
2005-04-16,1.635
2005-04-23,1.636
2005-04-30,1.635
2005-05-07,1.649
2005-05-14,1.647
2005-05-21,1.658
2005-05-28,1.684
2005-06-04,1.719
2005-06-11,1.708
2005-06-18,1.718
2005-06-25,1.746
2005-07-02,1.739
2005-07-09,1.765
2005-07-16,1.762
2005-07-23,1.77
2005-07-30,1.785
2005-08-06,1.751
2005-08-13,1.757
2005-08-20,1.774
2005-08-27,1.777
2005-09-03,1.78
2005-09-10,1.778
2005-09-17,1.784
2005-09-24,1.768
2005-10-01,1.762
2005-10-08,1.742
2005-10-15,1.754
2005-10-22,1.745
2005-10-29,1.753
2005-11-05,1.725
2005-11-12,1.743
2005-11-19,1.736
2005-11-26,1.748
2005-12-03,1.722
2005-12-10,1.704
2005-12-17,1.7
2005-12-24,1.695
2005-12-31,1.7
2006-01-07,1.69
2006-01-14,1.702
2006-01-21,1.712
2006-01-28,1.724
2006-02-04,1.732
2006-02-11,1.753
2006-02-18,1.756
2006-02-25,1.768
2006-03-04,1.76
2006-03-11,1.764
2006-03-18,1.757
2006-03-25,1.756
2006-04-01,1.772
2006-04-08,1.738
2006-04-15,1.747
2006-04-22,1.741
2006-04-29,1.734
2006-05-06,1.727
2006-05-13,1.755
2006-05-20,1.755
2006-05-27,1.778
2006-06-03,1.782
2006-06-10,1.826
2006-06-17,1.833
2006-06-24,1.881
2006-07-01,1.906
2006-07-08,1.953
2006-07-15,1.987
2006-07-22,2.04
2006-07-29,2.026
2006-08-05,2.024
2006-08-12,2.04
2006-08-19,2.035
2006-08-26,2.025
2006-09-02,1.994
2006-09-09,1.99
2006-09-16,1.983
2006-09-23,1.957
2006-09-30,1.956
2006-10-07,1.964
2006-10-14,1.975
2006-10-21,1.978
2006-10-28,1.992
2006-11-04,1.987
2006-11-11,1.964
2006-11-18,1.956
2006-11-25,1.934
2006-12-02,1.91
2006-12-09,1.882
2006-12-16,1.872
2006-12-23,1.876
2006-12-30,1.882
2007-01-06,1.867
2007-01-13,1.874
2007-01-20,1.934
2007-01-27,1.913
2007-02-03,1.91
2007-02-10,1.914
2007-02-17,1.911
2007-02-24,1.951
2007-03-03,1.944
2007-03-10,1.983
2007-03-17,1.988
2007-03-24,2.026
2007-03-31,2.004
2007-04-07,2.011
2007-04-14,2.024
2007-04-21,2.034
2007-04-28,2.065
2007-05-05,2.043
2007-05-12,2.064
2007-05-19,2.047
2007-05-26,2.052
2007-06-02,2.058
2007-06-09,2.048
2007-06-16,2.075
2007-06-23,2.063
2007-06-30,2.082
2007-07-07,2.112
2007-07-14,2.168
2007-07-21,2.197
2007-07-28,2.225
2007-08-04,2.206
2007-08-11,2.227
2007-08-18,2.252
2007-08-25,2.237
2007-09-01,2.244
2007-09-08,2.294
2007-09-15,2.284
2007-09-22,2.316
2007-09-29,2.368
2007-10-06,2.398
2007-10-13,2.342
2007-10-20,2.329
2007-10-27,2.274
2007-11-03,2.265
2007-11-10,2.237
2007-11-17,2.195
2007-11-24,2.187
2007-12-01,2.16
2007-12-08,2.124
2007-12-15,2.149
2007-12-22,2.165
2007-12-29,2.101
2008-01-05,2.142
2008-01-12,2.143
2008-01-19,2.114
2008-01-26,2.165
2008-02-02,2.198
2008-02-09,2.275
2008-02-16,2.343
2008-02-23,2.354
2008-03-01,2.417
2008-03-08,2.439
2008-03-15,2.479
2008-03-22,2.505
2008-03-29,2.518
2008-04-05,2.548
2008-04-12,2.578
2008-04-19,2.609
2008-04-26,2.629
2008-05-03,2.61
2008-05-10,2.598
2008-05-17,2.594
2008-05-24,2.6
2008-05-31,2.617
2008-06-07,2.663
2008-06-14,2.782
2008-06-21,2.928
2008-06-28,3.014
2008-07-05,3.129
2008-07-12,3.171
2008-07-19,3.261
2008-07-26,3.33
2008-08-02,3.475
2008-08-09,3.52
2008-08-16,3.672
2008-08-23,3.705
2008-08-30,3.694
2008-09-06,3.646
2008-09-13,3.571
2008-09-20,3.482
2008-09-27,3.374
2008-10-04,3.269
2008-10-11,3.094
2008-10-18,2.811
2008-10-25,2.564
2008-11-01,2.492
2008-11-08,2.262
2008-11-15,2.016
2008-11-22,2.01
2008-11-29,1.948
2008-12-06,1.872
2008-12-13,1.821
2008-12-20,1.857
2008-12-27,1.838
2009-01-03,1.891
2009-01-10,1.935
2009-01-17,1.981
2009-01-24,1.954
2009-01-31,1.969
2009-02-07,1.956
2009-02-14,1.989
2009-02-21,2.054
2009-02-28,2.071
2009-03-07,2.09
2009-03-14,2.12
2009-03-21,2.122
2009-03-28,2.096
2009-04-04,2.099
2009-04-11,2.093
2009-04-18,2.086
2009-04-25,2.06
2009-05-02,2.022
2009-05-09,2.018
2009-05-16,1.991
2009-05-23,1.995
2009-05-30,2.028
2009-06-06,2.09
2009-06-13,2.09
2009-06-20,2.116
2009-06-27,2.13
2009-07-04,2.128
2009-07-11,2.16
2009-07-18,2.16
2009-07-25,2.192
2009-08-01,2.194
2009-08-08,2.237
2009-08-15,2.198
2009-08-22,2.217
2009-08-29,2.229
2009-09-05,2.213
2009-09-12,2.195
2009-09-19,2.211
2009-09-26,2.2
2009-10-03,2.205
2009-10-10,2.23
2009-10-17,2.242
2009-10-24,2.253
2009-10-31,2.244
2009-11-07,2.227
2009-11-14,2.234
2009-11-21,2.23
2009-11-28,2.214
2009-12-05,2.195
2009-12-12,2.2
2009-12-19,2.207
2009-12-26,2.244
2010-01-02,2.262
2010-01-09,2.297
2010-01-16,2.327
2010-01-23,2.383
2010-01-30,2.39
2010-02-06,2.411
2010-02-13,2.452
2010-02-20,2.521
2010-02-27,2.557
2010-03-06,2.571
2010-03-13,2.574
2010-03-20,2.561
2010-03-27,2.571
2010-04-03,2.568
2010-04-10,2.596
2010-04-17,2.621
2010-04-24,2.641
2010-05-01,2.694
2010-05-08,2.736
2010-05-15,2.767
2010-05-22,2.772
2010-05-29,2.786
2010-06-05,2.771
2010-06-12,2.739
2010-06-19,2.753
2010-06-26,2.837
2010-07-03,2.912
2010-07-10,3.027
2010-07-17,3.233
2010-07-24,3.296
2010-07-31,3.311
2010-08-07,3.346
2010-08-14,3.32
2010-08-21,3.292
2010-08-28,3.235
2010-09-04,3.235
2010-09-11,3.073
2010-09-18,3.111
2010-09-25,3.129
2010-10-02,3.148
2010-10-09,3.146
2010-10-16,3.178
2010-10-23,3.204
2010-10-30,3.145
2010-11-06,3.144
2010-11-13,3.101
2010-11-20,3.092
2010-11-27,3.046
2010-12-04,3.064
2010-12-11,3.036
2010-12-18,3.02
2010-12-25,3.04
2011-01-01,3.046
2011-01-08,3.101
2011-01-15,3.176
2011-01-22,3.225
2011-01-29,3.25
2011-02-05,3.297
2011-02-12,3.35
2011-02-19,3.401
2011-02-26,3.654
2011-03-05,3.856
2011-03-12,4.077
2011-03-19,4.084
2011-03-26,3.979
2011-04-02,3.946
2011-04-09,3.986
2011-04-16,4.015
2011-04-23,4.051
2011-04-30,4.058
2011-05-07,4.08
2011-05-14,4.115
2011-05-21,4.159
2011-05-28,4.185
2011-06-04,4.15
2011-06-11,4.073
2011-06-18,3.99
2011-06-25,3.95
2011-07-02,3.913
2011-07-09,3.926
2011-07-16,3.879
2011-07-23,3.829
2011-07-30,3.898
2011-08-06,3.851
2011-08-13,3.856
2011-08-20,3.893
2011-08-27,3.875
2011-09-03,3.916
2011-09-10,3.866
2011-09-17,3.839
2011-09-24,3.831
2011-10-01,3.799
2011-10-08,3.773
2011-10-15,3.711
2011-10-22,3.709
2011-10-29,3.709
2011-11-05,3.736
2011-11-12,3.773
2011-11-19,3.78
2011-11-26,3.79
2011-12-03,3.753
2011-12-10,3.715
2011-12-17,3.603
2011-12-24,3.611
2011-12-31,3.582
2012-01-07,3.598
2012-01-14,3.629
2012-01-21,3.611
2012-01-28,3.572
2012-02-04,3.591
2012-02-11,3.621
2012-02-18,3.684
2012-02-25,3.691
2012-03-03,3.735
2012-03-10,3.791
2012-03-17,3.848
2012-03-24,3.856
2012-03-31,3.844
2012-04-07,3.839
2012-04-14,3.818
2012-04-21,3.754
2012-04-28,3.742
2012-05-05,3.731
2012-05-12,3.722
2012-05-19,3.72
2012-05-26,3.662
2012-06-02,3.596
2012-06-09,3.509
2012-06-16,3.521
2012-06-23,3.55
2012-06-30,3.576
2012-07-07,3.528
2012-07-14,3.526
2012-07-21,3.493
2012-07-28,3.522
2012-08-04,3.539
2012-08-11,3.581
2012-08-18,3.646
2012-08-25,3.697
2012-09-01,3.733
2012-09-08,3.764
2012-09-15,3.803
2012-09-22,3.764
2012-09-29,3.847
2012-10-06,3.887
2012-10-13,3.887
2012-10-20,3.887
2012-10-27,3.909
2012-11-03,3.856
2012-11-10,3.877
2012-11-17,3.824
2012-11-24,3.8
2012-12-01,3.81
2012-12-08,3.76
2012-12-15,3.743
2012-12-22,3.789
2012-12-29,3.793
2013-01-05,3.813
2013-01-12,3.856
2013-01-19,3.883
2013-01-26,3.886
2013-02-02,3.848
2013-02-09,3.853
2013-02-16,3.898
2013-02-23,3.896
2013-03-02,3.959
2013-03-09,3.955
2013-03-16,3.969
2013-03-23,3.895
2013-03-30,3.866
2013-04-06,3.84
2013-04-13,3.878
2013-04-20,3.918
2013-04-27,3.885
2013-05-04,3.902
2013-05-11,3.852
2013-05-18,3.851
2013-05-25,3.802
2013-06-01,3.755
2013-06-08,3.691
2013-06-15,3.663
2013-06-22,3.644
2013-06-29,3.63
2013-07-06,3.617
2013-07-13,3.656
2013-07-20,3.737
2013-07-27,3.7
2013-08-03,3.732
2013-08-10,3.75
2013-08-17,3.785
2013-08-24,3.755
2013-08-31,3.632
2013-09-07,3.677
2013-09-14,3.541
2013-09-21,3.577
2013-09-28,3.571
2013-10-05,3.567
2013-10-12,3.593
2013-10-19,3.581
2013-10-26,3.59
2013-11-02,3.607
2013-11-09,3.484
2013-11-16,3.48
2013-11-23,3.426
2013-11-30,3.485
2013-12-07,3.455
2013-12-14,3.463
2013-12-21,3.411
2013-12-28,3.398
2014-01-04,3.417
2014-01-11,3.361
