Date,Week,Year,Quarter,Month,Category,Company,Heads,Weight_Live,Weight_Underessed
2013-09-28,39,2013,3,9,Novillos,FRIGORIFICO LAS PIEDRAS S.A.,1655,558.8629480362537,311.3511782477342
2013-09-28,39,2013,3,9,Novillos,INALER S.A.,1156,483.15540051903116,265.04645328719727
2013-09-28,39,2013,3,9,Novillos,PULSA S.A.,1130,443.29954513274333,237.47743362831852
2013-09-28,39,2013,3,9,Novillos,ONTILCOR S.A. (FRIG. MATADERO PANDO),1074,511.5968994413407,276.31992551210425
2013-09-28,39,2013,3,9,Novillos,FRIGORIFICO TACUAREMBO S.A.,977,494.0889692937564,264.54401228249736
2013-09-28,39,2013,3,9,Novillos,FRIGORIFICO MATADERO CARRASCO S.A.,975,511.68712102564103,283.9166153846154
2013-09-28,39,2013,3,9,Novillos,BREEDERS & PACKERS URUGUAY S.A.,855,490.8607730994152,265.21590643274857
2013-09-28,39,2013,3,9,Novillos,LORSINAL S.A.,808,507.52410024752476,283.55779702970295
2013-09-28,39,2013,3,9,Novillos,BILACOR S.A.,724,507.7661795580111,278.02444751381216
2013-09-28,39,2013,3,9,Novillos,FRIGORIFICO SAN JACINTO-NIREA S.A.,714,478.8604677871149,268.7750700280112
2013-09-28,39,2013,3,9,Novillos,FRIGORIFICO CANELONES S.A.,639,501.2441517996871,270.6339593114241
2013-09-28,39,2013,3,9,Novillos,RONDATEL S.A.,530,488.93119622641507,265.51528301886793
2013-09-28,39,2013,3,9,Novillos,CHIADEL S.A.,510,505.349394117647,277.39176470588234
2013-09-28,39,2013,3,9,Novillos,ERSINAL S.A.,438,497.4964223744292,273.12077625570777
2013-09-28,39,2013,3,9,Novillos,COPAYAN S.A.,425,470.82295058823536,264.18964705882354
2013-09-28,39,2013,3,9,Novillos,ESTABLECIMIENTOS COLONIA S.A.,386,485.09479274611397,263.9344559585492
2013-09-28,39,2013,3,9,Novillos,ARROYAL SOCIEDAD ANONIMA,203,489.73172906403937,268.3546798029557
2013-09-28,39,2013,3,9,Novillos,FRIGORIFICO CASABLANCA S.A.,186,474.2339892473118,253.9
2013-09-28,39,2013,3,9,Novillos,SIRSIL S.A.,76,570.3945263157894,312.4828947368421
2013-09-28,39,2013,3,9,Novillos,SIMPLIFY S.A.,39,452.08679487179484,253.27692307692305
2013-09-28,39,2013,3,9,Novillos,FRIGORIFICO CUAREIM LTDA.,29,442.6944137931035,239.23793103448276
