date,anidro,hidratado
2021-04-16,1562793.0,2944530.0
2021-05-01,1531080.0,3405369.0
2021-05-16,2145972.0,4565085.0
2021-05-16,2145972.0,5891736.0
2021-06-01,3699633.0,6372423.0
2021-06-01,2981616.0,6044445.0
2021-07-01,4872999.0,7652727.0
2021-07-16,6090018.0,9334158.0
2021-08-01,7297344.0,10832544.0
2022-04-01,1669680.0,2235408.0
2022-05-01,1183191.0,3035457.0
2022-05-16,1811940.0,4338525.0
2022-06-01,2550249.0,5506284.0
2022-06-16,3366051.0,6634113.0
2022-07-01,4172514.0,7885914.0
2022-07-16,5365620.0,9321633.0
2022-08-01,6674019.0,11516310.0
2022-08-16,7635771.0,12989469.0
2025-04-15,2319330.0,3692322.0
2025-04-15,2091510.0,3509292.0
2025-04-15,1912731.0,3264987.0
2025-05-01,1491591.0,3404871.0
2025-05-01,2232207.0,4284561.0
2025-05-15,3041175.0,5223000.0
2025-05-15,2350077.0,4976547.0
2025-06-01,4078347.0,6052605.0
2025-06-01,3418443.0,6344523.0
2025-06-15,4273860.0,7338126.0
2025-06-15,5094807.0,7234086.0
2025-07-01,5117109.0,8208438.0
2025-07-01,6204237.0,8725641.0
2025-07-15,6399648.0,10491942.0
2025-07-15,7129725.0,9965322.0
2025-08-01,7375134.0,12748464.0
2025-08-01,8368884.0,11853078.0
