CompanyGroup,Year,Month,Production,Market,StateDestination
Other,2020,3,16915.55537205565,Domestic,BA
Other,2020,4,17739.46945088819,Export,SP
Other,2020,5,22253.293884388047,Export,CE
Other,2020,6,21576.662127851017,Domestic,SP
Other,2020,7,19896.442117857117,Domestic,PE
Other,2020,8,16882.435405069788,Domestic,PR
Other,2020,9,18859.29684119986,Export,MG
Other,2020,10,15111.86726980295,Domestic,BA
Other,2020,11,15923.268062517496,Domestic,SP
Other,2020,12,16848.636038086963,Domestic,BA
Other,2021,1,12759.76846410633,Domestic,MS
Other,2021,2,16357.34096506869,Export,CE
Other,2021,3,18199.896615975682,Export,MS
Other,2021,4,17040.06966104037,Export,PA
Other,2021,5,18698.054231854912,Domestic,MS
Other,2021,6,17506.947163432545,Export,MS
Other,2021,7,18944.622408639643,Domestic,BA
Other,2021,8,12801.93171700252,Export,GO
Other,2021,9,16602.85851154247,Domestic,ES
Other,2021,10,20163.69716360824,Export,MG
Other,2021,11,16831.211628214336,Domestic,MS
Other,2021,12,17489.490726836455,Export,MS
Other,2022,1,17072.25405660614,Export,MS
Other,2022,2,18408.881587466294,Export,MT
Other,2022,3,18538.906288592276,Export,GO
Other,2022,4,14721.872759783584,Export,MS
Other,2022,5,20184.432651317064,Export,MT
Other,2022,6,23463.866959225274,Export,CE
Other,2022,7,20175.40234824617,Domestic,MS
Other,2022,8,19831.71654918255,Export,SC
Other,2022,9,19331.167141078477,Export,CE
Other,2022,10,13027.973184218075,Domestic,RJ
Other,2022,11,13077.719694913225,Domestic,MT
Other,2022,12,13254.164386222106,Domestic,MG
Other,2023,1,21695.36354995399,Export,PA
Other,2023,2,16939.26751231758,Export,PA
Other,2023,3,15959.698439965001,Export,MG
Other,2023,4,17818.1055775645,Domestic,MG
Other,2023,5,17859.298024887954,Domestic,MG
Other,2023,6,16810.425067195287,Export,PA
Other,2023,7,20530.004656017718,Export,MT
Other,2023,8,14252.051576799517,Export,BA
Other,2023,9,14820.8344187166,Export,PA
Other,2023,10,19376.423315565175,Domestic,SC
Other,2023,11,15350.565402987146,Domestic,MT
Other,2023,12,19222.542508234135,Domestic,PR
Other,2024,1,19793.00057263054,Export,RJ
Other,2024,2,21553.799577103175,Export,PE
Other,2024,3,12854.683055431544,Domestic,PR
Other,2024,4,16621.959398243118,Export,CE
Other,2024,5,12744.266873855939,Domestic,MT
Other,2024,6,15262.145013314543,Export,MG
Other,2024,7,16830.319864329984,Export,RS
Other,2024,8,17628.467812774405,Domestic,MT
Other,2024,9,14827.558068511757,Domestic,SC
Other,2024,10,19868.467371542174,Export,MT
Other,2024,11,15095.566004892178,Export,PR
Other,2024,12,14791.837901032892,Export,CE
Other,2025,1,21943.68951642535,Domestic,CE
Other,2025,2,22028.47576329256,Export,PR
Raizen,2020,3,8786.131717200557,Export,RS
Raizen,2020,4,10525.55018851899,Domestic,RJ
Raizen,2020,5,9913.435298088818,Export,SC
Raizen,2020,6,10341.598270204871,Export,PA
Raizen,2020,7,9265.958519398875,Domestic,MG
Raizen,2020,8,7475.894730343316,Export,PR
Raizen,2020,9,7474.323987714847,Export,MG
Raizen,2020,10,12842.82675096902,Domestic,PA
Raizen,2020,11,11169.390293945562,Export,PA
Raizen,2020,12,6589.527565767337,Export,CE
Raizen,2021,1,9105.419325318524,Domestic,SC
Raizen,2021,2,7222.669632983792,Export,RS
Raizen,2021,3,7840.507733412913,Domestic,GO
Raizen,2021,4,9373.464475981804,Domestic,PA
Raizen,2021,5,6866.256301016091,Domestic,MS
Raizen,2021,6,11809.781848063352,Export,ES
Raizen,2021,7,8942.874859811933,Domestic,SC
Raizen,2021,8,11108.792606313822,Domestic,RJ
Raizen,2021,9,8938.594873563075,Export,CE
Raizen,2021,10,8986.95033499265,Domestic,RS
Raizen,2021,11,6603.08817970688,Domestic,GO
