Year,Month,Layer_Herd,Unit,Date,Layer_Herd_LTM,YoY_Growth_1y,YoY_Growth_2y,YoY_Growth_3y
2007,DEC,58203000,HEAD,2007-12-01,,,,
2008,JAN,58768000,HEAD,2008-01-01,,,,
2008,FEB,58591000,HEAD,2008-02-01,,,,
2008,MAR,58242000,HEAD,2008-03-01,,,,
2008,APR,58721000,HEAD,2008-04-01,,,,
2008,MAY,58076000,HEAD,2008-05-01,,,,
2008,JUN,56967000,HEAD,2008-06-01,,,,
2008,JUL,56187000,HEAD,2008-07-01,,,,
2008,AUG,55419000,HEAD,2008-08-01,,,,
2008,SEP,54197000,HEAD,2008-09-01,,,,
2008,OCT,54411000,HEAD,2008-10-01,,,,
2008,NOV,53354000,HEAD,2008-11-01,56761333.333333336,,,
2008,DEC,54053000,HEAD,2008-12-01,56415500.0,-7.130216655498856,,
2009,JAN,54921000,HEAD,2009-01-01,56094916.666666664,-6.546079499047098,,
2009,FEB,54789000,HEAD,2009-02-01,55778083.333333336,-6.489051219470565,,
2009,MAR,54906000,HEAD,2009-03-01,55500083.333333336,-5.727825280725252,,
2009,APR,54723000,HEAD,2009-04-01,55166916.666666664,-6.808467158256837,,
2009,MAY,54831000,HEAD,2009-05-01,54896500.0,-5.587506026585853,,
2009,JUN,54715000,HEAD,2009-06-01,54708833.333333336,-3.953165867958641,,
2009,JUL,53701000,HEAD,2009-07-01,54501666.666666664,-4.424511007884391,,
2009,AUG,53438000,HEAD,2009-08-01,54336583.333333336,-3.5745863332070194,,
2009,SEP,53010000,HEAD,2009-09-01,54237666.666666664,-2.1901581268335857,,
2009,OCT,53383000,HEAD,2009-10-01,54152000.0,-1.8893238499568143,,
2009,NOV,53936000,HEAD,2009-11-01,54200500.0,1.0908273044195393,,
2009,DEC,54632000,HEAD,2009-12-01,54248750.0,1.0711708878323067,-6.135422572719618,
2010,JAN,55320000,HEAD,2010-01-01,54282000.0,0.726498060851033,-5.867138578818409,
2010,FEB,55849000,HEAD,2010-02-01,54370333.333333336,1.9346949205132358,-4.67989964328992,
2010,MAR,55863000,HEAD,2010-03-01,54450083.333333336,1.7429789094087988,-4.084681157927273,
2010,APR,56642000,HEAD,2010-04-01,54610000.0,3.5067521882937713,-3.5404710410245066,
2010,MAY,55718000,HEAD,2010-05-01,54683916.666666664,1.6176980175448108,-4.0601969832633085,
2010,JUN,56023000,HEAD,2010-06-01,54792916.666666664,2.3905693137165285,-1.6570997244018448,
2010,JUL,55396000,HEAD,2010-07-01,54934166.666666664,3.156365803243877,-1.4077989570541183,
2010,AUG,54066000,HEAD,2010-08-01,54986500.0,1.17519368239829,-2.441400963568452,
2010,SEP,54089000,HEAD,2010-09-01,55076416.666666664,2.0354650066025215,-0.19927302249201917,
2010,OCT,54658000,HEAD,2010-10-01,55182666.666666664,2.3884008017533764,0.4539523258164646,
2010,NOV,54243000,HEAD,2010-11-01,55208250.0,0.5691931177692178,1.6662293361322522,
2010,DEC,55534000,HEAD,2010-12-01,55283416.666666664,1.6510470054180715,2.739903428116852,-4.585674277958185
2011,JAN,55016000,HEAD,2011-01-01,55258083.333333336,-0.5495300072306586,0.17297572877406076,-6.384426898992645
2011,FEB,55127000,HEAD,2011-02-01,55197916.666666664,-1.2927715805117423,0.6169121538994959,-5.912170811216743
2011,MAR,55701000,HEAD,2011-03-01,55184416.666666664,-0.2899951667472256,1.4479291880668876,-4.3628309467394715
2011,APR,56021000,HEAD,2011-04-01,55132666.666666664,-1.0963595918223268,2.3719459824936395,-4.598014338992861
2011,MAY,55431000,HEAD,2011-05-01,55108750.0,-0.515093865537164,1.0942714887563598,-4.554377023210964
2011,JUN,54805000,HEAD,2011-06-01,55007250.0,-2.174107063170483,0.16448871424654676,-3.795179665420334
2011,JUL,53483000,HEAD,2011-07-01,54847833.333333336,-3.4533179290923477,-0.4059514720396229,-4.812501112356948
2011,AUG,51708000,HEAD,2011-08-01,54651333.333333336,-4.361336144712014,-3.2373966091545303,-6.69625940561901
2011,SEP,50937000,HEAD,2011-09-01,54388666.666666664,-5.8274325648468235,-3.9105829088851185,-6.01509308633319
2011,OCT,50488000,HEAD,2011-10-01,54041166.666666664,-7.629258297047093,-5.423074761628232,-7.2099391667126085
2011,NOV,50149000,HEAD,2011-11-01,53700000.0,-7.547517652047264,-7.021284485315926,-6.007047269183197
2011,DEC,50399000,HEAD,2011-12-01,53272083.333333336,-9.246587676018292,-7.7482061795284825,-6.760031820620505
2012,JAN,50781000,HEAD,2012-01-01,52919166.666666664,-7.69776065144685,-8.20498915401302,-7.5381001802589225
2012,FEB,50723000,HEAD,2012-02-01,52552166.666666664,-7.988825802238464,-9.178320113162275,-7.4211976856668365
2012,MAR,52167000,HEAD,2012-03-01,52257666.666666664,-6.344589863736738,-6.616186026529192,-4.988525844170033
2012,APR,52896000,HEAD,2012-04-01,51997250.0,-5.578265293372131,-6.613467038593268,-3.338632750397452
2012,MAY,52814000,HEAD,2012-05-01,51779166.666666664,-4.721184896538033,-5.211960228292478,-3.6785759880359703
2012,JUN,51445000,HEAD,2012-06-01,51499166.666666664,-6.130827479244594,-8.171643789158022,-5.976423284291332
2012,JUL,50462000,HEAD,2012-07-01,51247416.666666664,-5.648523830002061,-8.906780272943893,-6.031545036405284
2012,AUG,49632000,HEAD,2012-08-01,51074416.666666664,-4.014852634021815,-8.201087559649324,-7.122272540139973
2012,SEP,49413000,HEAD,2012-09-01,50947416.666666664,-2.991931209140708,-8.645011000388248,-6.785512167515561
2012,OCT,49106000,HEAD,2012-10-01,50832250.0,-2.737284107114557,-10.15770792930587,-8.011913905175804
2012,NOV,50232000,HEAD,2012-11-01,50839166.666666664,0.1655067897665008,-7.394502516453738,-6.867398398101454
2012,DEC,51419000,HEAD,2012-12-01,50924166.666666664,2.0238496795571326,-7.409875031512225,-5.8811685459071565
2013,JAN,51321000,HEAD,2013-01-01,50969166.666666664,1.0633898505346462,-6.71622800639814,-7.22885032537961
2013,FEB,51684000,HEAD,2013-02-01,51049250.0,1.8946040257871166,-6.24557839171368,-7.457608909738756
2013,MAR,53097000,HEAD,2013-03-01,51126750.0,1.7827362125481638,-4.674960952227069,-4.951398958165509
2013,APR,53258000,HEAD,2013-04-01,51156916.666666664,0.6843617664851864,-4.932079041787896,-5.974365311959328
2013,MAY,53513000,HEAD,2013-05-01,51215166.666666664,1.3235127049646023,-3.460157673503994,-3.957428479127034
2013,JUN,52556000,HEAD,2013-06-01,51307750.0,2.159587909417815,-4.1036401788158035,-6.188529711011547
