state_fips_code,county_code,agg_level_desc,class_desc,Value,zip_5,country_code,county_ansi,group_desc,state_name,util_practice_desc,reference_period_desc,short_desc,year,end_code,congr_district_code,asd_desc,watershed_code,freq_desc,country_name,watershed_desc,state_ansi,load_time,week_ending,commodity_desc,asd_code,unit_desc,statisticcat_desc,CV (%),county_name,domaincat_desc,region_desc,sector_desc,begin_code,domain_desc,source_desc,prodn_practice_desc,state_alpha,location_desc
99,,NATIONAL,BROILERS,"192,480,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #01,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,01,,,00000000,WEEKLY,UNITED STATES,,,2025-02-12 15:00:00.000,2025-01-04,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,01,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"190,370,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #02,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,02,,,00000000,WEEKLY,UNITED STATES,,,2025-02-19 15:00:00.000,2025-01-11,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,02,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"191,057,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #03,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,03,,,00000000,WEEKLY,UNITED STATES,,,2025-02-26 15:00:00.000,2025-01-18,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,03,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"192,316,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #04,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,04,,,00000000,WEEKLY,UNITED STATES,,,2025-03-05 15:00:00.000,2025-01-25,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,04,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"191,909,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #05,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,05,,,00000000,WEEKLY,UNITED STATES,,,2025-03-12 15:00:00.000,2025-02-01,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,05,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"191,338,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #06,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,06,,,00000000,WEEKLY,UNITED STATES,,,2025-03-19 15:00:00.000,2025-02-08,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,06,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"191,175,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #07,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,07,,,00000000,WEEKLY,UNITED STATES,,,2025-03-19 15:00:00.000,2025-02-15,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,07,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"189,761,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #08,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,08,,,00000000,WEEKLY,UNITED STATES,,,2025-03-19 15:00:00.000,2025-02-22,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,08,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"190,814,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #09,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,09,,,00000000,WEEKLY,UNITED STATES,,,2025-03-19 15:00:00.000,2025-03-01,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,09,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"191,180,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #10,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,10,,,00000000,WEEKLY,UNITED STATES,,,2025-03-19 15:00:00.000,2025-03-08,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,10,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"191,677,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #11,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,11,,,00000000,WEEKLY,UNITED STATES,,,2025-03-19 15:00:00.000,2025-03-15,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,11,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"187,568,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #01,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2024,01,,,00000000,WEEKLY,UNITED STATES,,,2024-02-14 15:00:00.000,2024-01-06,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,01,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"187,117,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #02,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2024,02,,,00000000,WEEKLY,UNITED STATES,,,2024-02-21 15:00:00.000,2024-01-13,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,02,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"185,913,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #03,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2024,03,,,00000000,WEEKLY,UNITED STATES,,,2024-02-28 15:00:00.000,2024-01-20,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,03,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"185,412,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #04,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2024,04,,,00000000,WEEKLY,UNITED STATES,,,2024-03-06 15:00:00.000,2024-01-27,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,04,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
99,,NATIONAL,BROILERS,"185,996,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #05,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2024,05,,,00000000,WEEKLY,UNITED STATES,,,2024-03-13 15:00:00.000,2024-02-03,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,05,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL
