Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit
2025,JAN,833821000,HEAD,6.65,"LB / HEAD, LIVE BASIS",5544909650.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,JAN,825149000,HEAD,6.58,"LB / HEAD, LIVE BASIS",5429480420.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,FEB,771884000,HEAD,6.5,"LB / HEAD, LIVE BASIS",5017246000.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,MAR,753828000,HEAD,6.47,"LB / HEAD, LIVE BASIS",4877267160.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,APR,802999000,HEAD,6.53,"LB / HEAD, LIVE BASIS",5243583470.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,MAY,823963000,HEAD,6.52,"LB / HEAD, LIVE BASIS",5372238760.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,JUN,762963000,HEAD,6.56,"LB / HEAD, LIVE BASIS",5005037280.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,JUL,835644000,HEAD,6.52,"LB / HEAD, LIVE BASIS",5448398880.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,AUG,823686000,HEAD,6.57,"LB / HEAD, LIVE BASIS",5411617020.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,SEP,779789000,HEAD,6.68,"LB / HEAD, LIVE BASIS",5208990520.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,OCT,872191000,HEAD,6.7,"LB / HEAD, LIVE BASIS",5843679700.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,NOV,736127000,HEAD,6.64,"LB / HEAD, LIVE BASIS",4887883280.0,"HEAD × LB / HEAD, LIVE BASIS"
2024,DEC,786020000,HEAD,6.61,"LB / HEAD, LIVE BASIS",5195592200.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,JAN,813729000,HEAD,6.55,"LB / HEAD, LIVE BASIS",5329924950.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,FEB,739997000,HEAD,6.5,"LB / HEAD, LIVE BASIS",4809980500.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,MAR,826595000,HEAD,6.49,"LB / HEAD, LIVE BASIS",5364601550.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,APR,733359000,HEAD,6.49,"LB / HEAD, LIVE BASIS",4759499910.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,MAY,831389000,HEAD,6.53,"LB / HEAD, LIVE BASIS",5428970170.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,JUN,812360000,HEAD,6.53,"LB / HEAD, LIVE BASIS",5304710800.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,JUL,770388000,HEAD,6.48,"LB / HEAD, LIVE BASIS",4992114240.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,AUG,862844000,HEAD,6.47,"LB / HEAD, LIVE BASIS",5582600680.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,SEP,771171000,HEAD,6.62,"LB / HEAD, LIVE BASIS",5105152020.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,OCT,835129000,HEAD,6.7,"LB / HEAD, LIVE BASIS",5595364300.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,NOV,771061000,HEAD,6.62,"LB / HEAD, LIVE BASIS",5104423820.0,"HEAD × LB / HEAD, LIVE BASIS"
2023,DEC,733589000,HEAD,6.61,"LB / HEAD, LIVE BASIS",4849023290.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,JAN,765232000,HEAD,6.47,"LB / HEAD, LIVE BASIS",4951051040.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,FEB,723209000,HEAD,6.46,"LB / HEAD, LIVE BASIS",4671930140.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,MAR,834343000,HEAD,6.43,"LB / HEAD, LIVE BASIS",5364825490.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,APR,746939000,HEAD,6.4,"LB / HEAD, LIVE BASIS",4780409600.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,MAY,790280000,HEAD,6.42,"LB / HEAD, LIVE BASIS",5073597600.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,JUN,820059000,HEAD,6.45,"LB / HEAD, LIVE BASIS",5289380550.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,JUL,767271000,HEAD,6.43,"LB / HEAD, LIVE BASIS",4933552530.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,AUG,873274000,HEAD,6.48,"LB / HEAD, LIVE BASIS",5658815520.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,SEP,816859000,HEAD,6.57,"LB / HEAD, LIVE BASIS",5366763630.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,OCT,819324000,HEAD,6.65,"LB / HEAD, LIVE BASIS",5448504600.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,NOV,802918000,HEAD,6.58,"LB / HEAD, LIVE BASIS",5283200440.0,"HEAD × LB / HEAD, LIVE BASIS"
2022,DEC,786514000,HEAD,6.57,"LB / HEAD, LIVE BASIS",5167396980.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,JAN,754209000,HEAD,6.43,"LB / HEAD, LIVE BASIS",4849563870.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,FEB,685433000,HEAD,6.39,"LB / HEAD, LIVE BASIS",4379916870.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,MAR,842280000,HEAD,6.39,"LB / HEAD, LIVE BASIS",5382169200.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,APR,772456000,HEAD,6.44,"LB / HEAD, LIVE BASIS",4974616640.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,MAY,748601000,HEAD,6.47,"LB / HEAD, LIVE BASIS",4843448470.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,JUN,815417000,HEAD,6.48,"LB / HEAD, LIVE BASIS",5283902160.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,JUL,779447000,HEAD,6.47,"LB / HEAD, LIVE BASIS",5043022090.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,AUG,809162000,HEAD,6.47,"LB / HEAD, LIVE BASIS",5235278140.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,SEP,804174000,HEAD,6.55,"LB / HEAD, LIVE BASIS",5267339700.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,OCT,781204000,HEAD,6.56,"LB / HEAD, LIVE BASIS",5124698240.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,NOV,758827000,HEAD,6.48,"LB / HEAD, LIVE BASIS",4917198960.0,"HEAD × LB / HEAD, LIVE BASIS"
2021,DEC,774374000,HEAD,6.41,"LB / HEAD, LIVE BASIS",4963737340.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,JAN,830281000,HEAD,6.41,"LB / HEAD, LIVE BASIS",5322101210.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,FEB,726073000,HEAD,6.34,"LB / HEAD, LIVE BASIS",4603302820.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,MAR,821201000,HEAD,6.33,"LB / HEAD, LIVE BASIS",5198202330.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,APR,762457000,HEAD,6.37,"LB / HEAD, LIVE BASIS",4856851090.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,MAY,741490000,HEAD,6.46,"LB / HEAD, LIVE BASIS",4790025400.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,JUN,783371000,HEAD,6.48,"LB / HEAD, LIVE BASIS",5076244080.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,JUL,796488000,HEAD,6.33,"LB / HEAD, LIVE BASIS",5041769040.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,AUG,781691000,HEAD,6.43,"LB / HEAD, LIVE BASIS",5026273130.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,SEP,800543000,HEAD,6.51,"LB / HEAD, LIVE BASIS",5211534930.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,OCT,798003000,HEAD,6.48,"LB / HEAD, LIVE BASIS",5171059440.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,NOV,727756000,HEAD,6.42,"LB / HEAD, LIVE BASIS",4672193520.0,"HEAD × LB / HEAD, LIVE BASIS"
2020,DEC,777306000,HEAD,6.42,"LB / HEAD, LIVE BASIS",4990304520.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,JAN,798458000,HEAD,6.26,"LB / HEAD, LIVE BASIS",4998347080.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,FEB,706552000,HEAD,6.21,"LB / HEAD, LIVE BASIS",4387687920.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,MAR,740331000,HEAD,6.2,"LB / HEAD, LIVE BASIS",4590052200.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,APR,768091000,HEAD,6.29,"LB / HEAD, LIVE BASIS",4831292390.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,MAY,813274000,HEAD,6.33,"LB / HEAD, LIVE BASIS",5148024420.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,JUN,749607000,HEAD,6.33,"LB / HEAD, LIVE BASIS",4745012310.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,JUL,823511000,HEAD,6.32,"LB / HEAD, LIVE BASIS",5204589520.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,AUG,815546000,HEAD,6.35,"LB / HEAD, LIVE BASIS",5178717100.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,SEP,776646000,HEAD,6.38,"LB / HEAD, LIVE BASIS",4955001480.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,OCT,859145000,HEAD,6.41,"LB / HEAD, LIVE BASIS",5507119450.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,NOV,721361000,HEAD,6.39,"LB / HEAD, LIVE BASIS",4609496790.0,"HEAD × LB / HEAD, LIVE BASIS"
2019,DEC,766727000,HEAD,6.4,"LB / HEAD, LIVE BASIS",4907052800.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,JAN,782455000,HEAD,6.26,"LB / HEAD, LIVE BASIS",4898168300.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,FEB,703202000,HEAD,6.23,"LB / HEAD, LIVE BASIS",4380948460.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,MAR,753248000,HEAD,6.24,"LB / HEAD, LIVE BASIS",4700267520.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,APR,741597000,HEAD,6.27,"LB / HEAD, LIVE BASIS",4649813190.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,MAY,805212000,HEAD,6.25,"LB / HEAD, LIVE BASIS",5032575000.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,JUN,756015000,HEAD,6.22,"LB / HEAD, LIVE BASIS",4702413300.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,JUL,786195000,HEAD,6.21,"LB / HEAD, LIVE BASIS",4882270950.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,AUG,834864000,HEAD,6.29,"LB / HEAD, LIVE BASIS",5251294560.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,SEP,728624000,HEAD,6.31,"LB / HEAD, LIVE BASIS",4597617440.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,OCT,831667000,HEAD,6.33,"LB / HEAD, LIVE BASIS",5264452110.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,NOV,739229000,HEAD,6.29,"LB / HEAD, LIVE BASIS",4649750410.0,"HEAD × LB / HEAD, LIVE BASIS"
2018,DEC,698602000,HEAD,6.22,"LB / HEAD, LIVE BASIS",4345304440.0,"HEAD × LB / HEAD, LIVE BASIS"
2017,JAN,760368000,HEAD,6.19,"LB / HEAD, LIVE BASIS",4706677920.0,"HEAD × LB / HEAD, LIVE BASIS"
2017,FEB,690221000,HEAD,6.15,"LB / HEAD, LIVE BASIS",4244859150.0000005,"HEAD × LB / HEAD, LIVE BASIS"
2017,MAR,783661000,HEAD,6.16,"LB / HEAD, LIVE BASIS",4827351760.0,"HEAD × LB / HEAD, LIVE BASIS"
2017,APR,700938000,HEAD,6.18,"LB / HEAD, LIVE BASIS",4331796840.0,"HEAD × LB / HEAD, LIVE BASIS"
2017,MAY,794438000,HEAD,6.18,"LB / HEAD, LIVE BASIS",4909626840.0,"HEAD × LB / HEAD, LIVE BASIS"
2017,JUN,775332000,HEAD,6.16,"LB / HEAD, LIVE BASIS",4776045120.0,"HEAD × LB / HEAD, LIVE BASIS"
2017,JUL,736363000,HEAD,6.14,"LB / HEAD, LIVE BASIS",4521268820.0,"HEAD × LB / HEAD, LIVE BASIS"
2017,AUG,821855000,HEAD,6.18,"LB / HEAD, LIVE BASIS",5079063900.0,"HEAD × LB / HEAD, LIVE BASIS"
2017,SEP,738887000,HEAD,6.25,"LB / HEAD, LIVE BASIS",4618043750.0,"HEAD × LB / HEAD, LIVE BASIS"
2017,OCT,794358000,HEAD,6.29,"LB / HEAD, LIVE BASIS",4996511820.0,"HEAD × LB / HEAD, LIVE BASIS"
