Year,Month,Heads,Unit
2025,JAN,833821000,HEAD
2024,JAN,825149000,HEAD
2024,FEB,771884000,HEAD
2024,MAR,753828000,HEAD
2024,APR,802999000,HEAD
2024,MAY,823963000,HEAD
2024,JUN,762963000,HEAD
2024,JUL,835644000,HEAD
2024,AUG,823686000,HEAD
2024,SEP,779789000,HEAD
2024,OCT,872191000,HEAD
2024,NOV,736127000,HEAD
2024,DEC,786020000,HEAD
2023,JAN,813729000,HEAD
2023,FEB,739997000,HEAD
2023,MAR,826595000,HEAD
2023,APR,733359000,HEAD
2023,MAY,831389000,HEAD
2023,JUN,812360000,HEAD
2023,JUL,770388000,HEAD
2023,AUG,862844000,HEAD
2023,SEP,771171000,HEAD
2023,OCT,835129000,HEAD
2023,NOV,771061000,HEAD
2023,DEC,733589000,HEAD
2022,JAN,765232000,HEAD
2022,FEB,723209000,HEAD
2022,MAR,834343000,HEAD
2022,APR,746939000,HEAD
2022,MAY,790280000,HEAD
2022,JUN,820059000,HEAD
2022,JUL,767271000,HEAD
2022,AUG,873274000,HEAD
2022,SEP,816859000,HEAD
2022,OCT,819324000,HEAD
2022,NOV,802918000,HEAD
2022,DEC,786514000,HEAD
2021,JAN,754209000,HEAD
2021,FEB,685433000,HEAD
2021,MAR,842280000,HEAD
2021,APR,772456000,HEAD
2021,MAY,748601000,HEAD
2021,JUN,815417000,HEAD
2021,JUL,779447000,HEAD
2021,AUG,809162000,HEAD
2021,SEP,804174000,HEAD
2021,OCT,781204000,HEAD
2021,NOV,758827000,HEAD
2021,DEC,774374000,HEAD
2020,JAN,830281000,HEAD
2020,FEB,726073000,HEAD
2020,MAR,821201000,HEAD
2020,APR,762457000,HEAD
2020,MAY,741490000,HEAD
2020,JUN,783371000,HEAD
2020,JUL,796488000,HEAD
2020,AUG,781691000,HEAD
2020,SEP,800543000,HEAD
2020,OCT,798003000,HEAD
2020,NOV,727756000,HEAD
2020,DEC,777306000,HEAD
2019,JAN,798458000,HEAD
2019,FEB,706552000,HEAD
2019,MAR,740331000,HEAD
2019,APR,768091000,HEAD
2019,MAY,813274000,HEAD
2019,JUN,749607000,HEAD
2019,JUL,823511000,HEAD
2019,AUG,815546000,HEAD
2019,SEP,776646000,HEAD
2019,OCT,859145000,HEAD
2019,NOV,721361000,HEAD
2019,DEC,766727000,HEAD
2018,JAN,782455000,HEAD
2018,FEB,703202000,HEAD
2018,MAR,753248000,HEAD
2018,APR,741597000,HEAD
2018,MAY,805212000,HEAD
2018,JUN,756015000,HEAD
2018,JUL,786195000,HEAD
2018,AUG,834864000,HEAD
2018,SEP,728624000,HEAD
2018,OCT,831667000,HEAD
2018,NOV,739229000,HEAD
2018,DEC,698602000,HEAD
2017,JAN,760368000,HEAD
2017,FEB,690221000,HEAD
2017,MAR,783661000,HEAD
2017,APR,700938000,HEAD
2017,MAY,794438000,HEAD
2017,JUN,775332000,HEAD
2017,JUL,736363000,HEAD
2017,AUG,821855000,HEAD
2017,SEP,738887000,HEAD
2017,OCT,794358000,HEAD
2017,NOV,739470000,HEAD
2017,DEC,714811000,HEAD
2016,JAN,710640000,HEAD
2016,FEB,711344000,HEAD
2016,MAR,773463000,HEAD
2016,APR,718583000,HEAD
2016,MAY,756989000,HEAD
2016,JUN,767048000,HEAD
2016,JUL,719375000,HEAD
2016,AUG,807061000,HEAD
2016,SEP,757538000,HEAD
2016,OCT,742750000,HEAD
2016,NOV,723990000,HEAD
2016,DEC,720205000,HEAD
2015,JAN,736569000,HEAD
2015,FEB,665522000,HEAD
2015,MAR,753930000,HEAD
2015,APR,737906000,HEAD
2015,MAY,715318000,HEAD
2015,JUN,758729000,HEAD
2015,JUL,773433000,HEAD
2015,AUG,750900000,HEAD
2015,SEP,759617000,HEAD
2015,OCT,755016000,HEAD
2015,NOV,683645000,HEAD
2015,DEC,732107000,HEAD
2014,JAN,718922000,HEAD
2014,FEB,677143000,HEAD
2014,MAR,700950000,HEAD
2014,APR,723676000,HEAD
2014,MAY,725307000,HEAD
2014,JUN,724604000,HEAD
2014,JUL,754904000,HEAD
2014,AUG,722492000,HEAD
2014,SEP,744053000,HEAD
2014,OCT,782944000,HEAD
2014,NOV,653719000,HEAD
2014,DEC,740914000,HEAD
2013,JAN,748545000,HEAD
2013,FEB,660804000,HEAD
2013,MAR,690590000,HEAD
2013,APR,733619000,HEAD
2013,MAY,756689000,HEAD
2013,JUN,691332000,HEAD
2013,JUL,760045000,HEAD
2013,AUG,756548000,HEAD
2013,SEP,705973000,HEAD
2013,OCT,780880000,HEAD
2013,NOV,664872000,HEAD
2013,DEC,698859000,HEAD
2012,JAN,720060000,HEAD
2012,FEB,685248000,HEAD
2012,MAR,711541000,HEAD
2012,APR,696169000,HEAD
2012,MAY,763453000,HEAD
2012,JUN,719362000,HEAD
2012,JUL,733916000,HEAD
2012,AUG,774298000,HEAD
2012,SEP,675207000,HEAD
2012,OCT,757943000,HEAD
2012,NOV,684554000,HEAD
2012,DEC,654444000,HEAD
2011,JAN,725121000,HEAD
2011,FEB,670358000,HEAD
2011,MAR,777252000,HEAD
2011,APR,698538000,HEAD
2011,MAY,757977000,HEAD
2011,JUN,765602000,HEAD
2011,JUL,711627000,HEAD
2011,AUG,780867000,HEAD
2011,SEP,734686000,HEAD
2011,OCT,713598000,HEAD
2011,NOV,677159000,HEAD
2011,DEC,670858000,HEAD
2010,JAN,683938000,HEAD
2010,FEB,662044000,HEAD
2010,MAR,761718000,HEAD
2010,APR,726749000,HEAD
2010,MAY,717419000,HEAD
2010,JUN,756642000,HEAD
2010,JUL,742447000,HEAD
2010,AUG,781368000,HEAD
2010,SEP,767146000,HEAD
2010,OCT,734337000,HEAD
2010,NOV,719963000,HEAD
2010,DEC,736513000,HEAD
2009,JAN,705690000,HEAD
2009,FEB,667447000,HEAD
2009,MAR,738900000,HEAD
2009,APR,734130000,HEAD
2009,MAY,704593000,HEAD
2009,JUN,751119000,HEAD
2009,JUL,760486000,HEAD
2009,AUG,738534000,HEAD
2009,SEP,740924000,HEAD
2009,OCT,737129000,HEAD
2009,NOV,666079000,HEAD
2009,DEC,713572000,HEAD
2008,JAN,799943000,HEAD
2008,FEB,728095000,HEAD
2008,MAR,739561000,HEAD
2008,APR,785457000,HEAD
2008,MAY,776707000,HEAD
2008,JUN,760551000,HEAD
2008,JUL,799184000,HEAD
2008,AUG,756284000,HEAD
2008,SEP,766870000,HEAD
2008,OCT,791904000,HEAD
2008,NOV,649245000,HEAD
2008,DEC,721311000,HEAD
2007,JAN,761397000,HEAD
2007,FEB,677652000,HEAD
2007,MAR,740368000,HEAD
2007,APR,724478000,HEAD
2007,MAY,795486000,HEAD
2007,JUN,760589000,HEAD
2007,JUL,768445000,HEAD
2007,AUG,811637000,HEAD
2007,SEP,717220000,HEAD
2007,OCT,826835000,HEAD
2007,NOV,738862000,HEAD
2007,DEC,712651000,HEAD
2006,JAN,757532000,HEAD
2006,FEB,688301000,HEAD
2006,MAR,788880000,HEAD
2006,APR,704626000,HEAD
2006,MAY,798070000,HEAD
2006,JUN,775027000,HEAD
2006,JUL,726728000,HEAD
2006,AUG,805409000,HEAD
2006,SEP,722965000,HEAD
2006,OCT,785406000,HEAD
2006,NOV,726380000,HEAD
2006,DEC,689342000,HEAD
2005,JAN,731023000,HEAD
2005,FEB,683240000,HEAD
2005,MAR,782457000,HEAD
2005,APR,728051000,HEAD
2005,MAY,771055000,HEAD
2005,JUN,786222000,HEAD
2005,JUL,731664000,HEAD
2005,AUG,806846000,HEAD
2005,SEP,761673000,HEAD
2005,OCT,757041000,HEAD
2005,NOV,731737000,HEAD
2005,DEC,729464000,HEAD
2004,JAN,732301000,HEAD
2004,FEB,656113000,HEAD
2004,MAR,777216000,HEAD
2004,APR,739639000,HEAD
2004,MAY,726312000,HEAD
2004,JUN,761260000,HEAD
2004,JUL,754300000,HEAD
2004,AUG,783624000,HEAD
2004,SEP,767463000,HEAD
2004,OCT,742651000,HEAD
2004,NOV,719799000,HEAD
2004,DEC,735070000,HEAD
2003,JAN,739540000,HEAD
2003,FEB,646140000,HEAD
2003,MAR,695744000,HEAD
2003,APR,726813000,HEAD
2003,MAY,740371000,HEAD
2003,JUN,727348000,HEAD
2003,JUL,775679000,HEAD
2003,AUG,735471000,HEAD
2003,SEP,740215000,HEAD
2003,OCT,794216000,HEAD
2003,NOV,636061000,HEAD
2003,DEC,726836000,HEAD
2002,JAN,753629000,HEAD
2002,FEB,668998000,HEAD
2002,MAR,702452000,HEAD
2002,APR,748619000,HEAD
2002,MAY,776606000,HEAD
2002,JUN,698534000,HEAD
2002,JUL,770375000,HEAD
2002,AUG,772835000,HEAD
2002,SEP,700712000,HEAD
2002,OCT,788457000,HEAD
2002,NOV,659248000,HEAD
2002,DEC,675634000,HEAD
2001,JAN,724682000,HEAD
2001,FEB,640114000,HEAD
2001,MAR,715118000,HEAD
2001,APR,688860000,HEAD
2001,MAY,769362000,HEAD
2001,JUN,722575000,HEAD
2001,JUL,721898000,HEAD
2001,AUG,790269000,HEAD
2001,SEP,665542000,HEAD
2001,OCT,784078000,HEAD
2001,NOV,679861000,HEAD
2001,DEC,664023000,HEAD
2000,JAN,669634000,HEAD
2000,FEB,686494000,HEAD
2000,MAR,746269000,HEAD
2000,APR,649237000,HEAD
2000,MAY,767299000,HEAD
2000,JUN,748722000,HEAD
2000,JUL,675494000,HEAD
2000,AUG,775930000,HEAD
2000,SEP,670426000,HEAD
2000,OCT,719654000,HEAD
2000,NOV,674925000,HEAD
2000,DEC,642057000,HEAD
1999,JAN,678927000,HEAD
1999,FEB,631824000,HEAD
1999,MAR,722284000,HEAD
1999,APR,702597000,HEAD
1999,MAY,687342000,HEAD
1999,JUN,718517000,HEAD
1999,JUL,702989000,HEAD
1999,AUG,722331000,HEAD
1999,SEP,696166000,HEAD
