Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit,Date,Avg_Weight,Month_Num,Heads_YoY_Growth,Volume_YoY_Growth,Weight_LTM_Avg
1960,JAN,113232000,HEAD,3.47,"LB / HEAD, LIVE BASIS",3.47,"HEAD × LB / HEAD, LIVE BASIS",1960-01-01,3.0645047336441995e-08,1,,,
1960,FEB,113232000,HEAD,3.42,"LB / HEAD, LIVE BASIS",3.4199999999999995,"HEAD × LB / HEAD, LIVE BASIS",1960-02-01,3.0203476049173375e-08,2,,,
1960,MAR,126601000,HEAD,3.37,"LB / HEAD, LIVE BASIS",3.37,"HEAD × LB / HEAD, LIVE BASIS",1960-03-01,2.6619063040576298e-08,3,,,
1960,APR,129082000,HEAD,3.4,"LB / HEAD, LIVE BASIS",3.4,"HEAD × LB / HEAD, LIVE BASIS",1960-04-01,2.6339845989371097e-08,4,,,
1960,MAY,142033000,HEAD,3.43,"LB / HEAD, LIVE BASIS",3.43,"HEAD × LB / HEAD, LIVE BASIS",1960-05-01,2.41493174121507e-08,5,,,
1960,JUN,149219000,HEAD,3.38,"LB / HEAD, LIVE BASIS",3.38,"HEAD × LB / HEAD, LIVE BASIS",1960-06-01,2.2651270950750238e-08,6,,,
1960,JUL,145811000,HEAD,3.33,"LB / HEAD, LIVE BASIS",3.33,"HEAD × LB / HEAD, LIVE BASIS",1960-07-01,2.2837783157649285e-08,7,,,
1960,AUG,173305000,HEAD,3.32,"LB / HEAD, LIVE BASIS",3.32,"HEAD × LB / HEAD, LIVE BASIS",1960-08-01,1.9156977582874122e-08,8,,,
1960,SEP,154777000,HEAD,3.49,"LB / HEAD, LIVE BASIS",3.49,"HEAD × LB / HEAD, LIVE BASIS",1960-09-01,2.2548569877953445e-08,9,,,
1960,OCT,145929000,HEAD,3.6,"LB / HEAD, LIVE BASIS",3.6,"HEAD × LB / HEAD, LIVE BASIS",1960-10-01,2.466953107333018e-08,10,,,
1960,NOV,127736000,HEAD,3.65,"LB / HEAD, LIVE BASIS",3.65,"HEAD × LB / HEAD, LIVE BASIS",1960-11-01,2.8574560030062e-08,11,,,
1960,DEC,123069000,HEAD,3.61,"LB / HEAD, LIVE BASIS",3.61,"HEAD × LB / HEAD, LIVE BASIS",1960-12-01,2.93331383207794e-08,12,,,2.5644048401759347e-08
1961,JAN,129916000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.53,"HEAD × LB / HEAD, LIVE BASIS",1961-01-01,2.717140306043905e-08,1,14.734350713579204,1.7291066282420609,2.5354578045425767e-08
1961,FEB,111446000,HEAD,3.45,"LB / HEAD, LIVE BASIS",3.45,"HEAD × LB / HEAD, LIVE BASIS",1961-02-01,3.0956696516698674e-08,2,-1.5772926381234953,0.8771929824561653,2.5417346417719542e-08
1961,MAR,141697000,HEAD,3.48,"LB / HEAD, LIVE BASIS",3.48,"HEAD × LB / HEAD, LIVE BASIS",1961-03-01,2.4559447271290146e-08,3,11.924076429096143,3.264094955489605,2.5245711770279027e-08
1961,APR,149624000,HEAD,3.55,"LB / HEAD, LIVE BASIS",3.55,"HEAD × LB / HEAD, LIVE BASIS",1961-04-01,2.3726140191413142e-08,4,15.913915185695915,4.4117647058823595,2.502790295378253e-08
1961,MAY,178754000,HEAD,3.48,"LB / HEAD, LIVE BASIS",3.48,"HEAD × LB / HEAD, LIVE BASIS",1961-05-01,1.9468095818834823e-08,5,25.853850865643892,1.4577259475218707,2.4637801154339542e-08
1961,JUN,188457000,HEAD,3.45,"LB / HEAD, LIVE BASIS",3.45,"HEAD × LB / HEAD, LIVE BASIS",1961-06-01,1.8306563300912146e-08,6,26.29557898122894,2.071005917159763,2.42757421835197e-08
1961,JUL,174223000,HEAD,3.45,"LB / HEAD, LIVE BASIS",3.4500000000000006,"HEAD × LB / HEAD, LIVE BASIS",1961-07-01,1.9802207515655226e-08,7,19.48549835060456,3.603603603603611,2.402277754668686e-08
1961,AUG,184990000,HEAD,3.47,"LB / HEAD, LIVE BASIS",3.4699999999999998,"HEAD × LB / HEAD, LIVE BASIS",1961-08-01,1.8757770690307584e-08,8,6.742448284815783,4.518072289156616,2.398951030563965e-08
1961,SEP,165865000,HEAD,3.55,"LB / HEAD, LIVE BASIS",3.55,"HEAD × LB / HEAD, LIVE BASIS",1961-09-01,2.1402948180749403e-08,9,7.163855094749216,1.7191977077363862,2.389404183087265e-08
1961,OCT,166494000,HEAD,3.65,"LB / HEAD, LIVE BASIS",3.6500000000000004,"HEAD × LB / HEAD, LIVE BASIS",1961-10-01,2.1922711929559024e-08,10,14.092469625639858,1.3888888888889062,2.3665140235558382e-08
1961,NOV,133468000,HEAD,3.66,"LB / HEAD, LIVE BASIS",3.66,"HEAD × LB / HEAD, LIVE BASIS",1961-11-01,2.7422303473491774e-08,11,4.487380221707271,0.273972602739736,2.3569118855844203e-08
1961,DEC,120125000,HEAD,3.64,"LB / HEAD, LIVE BASIS",3.6400000000000006,"HEAD × LB / HEAD, LIVE BASIS",1961-12-01,3.030176899063476e-08,12,-2.3921539949134263,0.8310249307479367,2.3649838078332146e-08
1962,JAN,134713000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.53,"HEAD × LB / HEAD, LIVE BASIS",1962-01-01,2.62038556041362e-08,1,3.692385849318014,0.0,2.3569209123640243e-08
1962,FEB,118224000,HEAD,3.47,"LB / HEAD, LIVE BASIS",3.47,"HEAD × LB / HEAD, LIVE BASIS",1962-02-01,2.935106239003925e-08,2,6.081869246092286,0.5797101449275477,2.343540627975196e-08
1962,MAR,143983000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.53,"HEAD × LB / HEAD, LIVE BASIS",1962-03-01,2.45167832313537e-08,3,1.6133016224761265,1.4367816091954033,2.343185094309059e-08
1962,APR,151711000,HEAD,3.55,"LB / HEAD, LIVE BASIS",3.5500000000000003,"HEAD × LB / HEAD, LIVE BASIS",1962-04-01,2.3399753478653493e-08,4,1.3948297064642068,2.220446049250313e-14,2.3404652050360617e-08
1962,MAY,183633000,HEAD,3.45,"LB / HEAD, LIVE BASIS",3.45,"HEAD × LB / HEAD, LIVE BASIS",1962-05-01,1.878747283984905e-08,5,2.72944941092228,-0.8620689655172376,2.334793346877847e-08
1962,JUN,180066000,HEAD,3.45,"LB / HEAD, LIVE BASIS",3.45,"HEAD × LB / HEAD, LIVE BASIS",1962-06-01,1.9159641464796243e-08,6,-4.452474569795761,0.0,2.341902331576881e-08
1962,JUL,172714000,HEAD,3.4,"LB / HEAD, LIVE BASIS",3.4,"HEAD × LB / HEAD, LIVE BASIS",1962-07-01,1.9685723218731544e-08,7,-0.866131337423881,-1.4492753623188581,2.3409316291025168e-08
1962,AUG,181488000,HEAD,3.42,"LB / HEAD, LIVE BASIS",3.42,"HEAD × LB / HEAD, LIVE BASIS",1962-08-01,1.8844221105527637e-08,8,-1.8930753013676416,-1.440922190201721,2.3416520492293507e-08
1962,SEP,150425000,HEAD,3.52,"LB / HEAD, LIVE BASIS",3.52,"HEAD × LB / HEAD, LIVE BASIS",1962-09-01,2.340036563071298e-08,9,-9.308775208754106,-0.8450704225352101,2.3582971946457136e-08
1962,OCT,178276000,HEAD,3.61,"LB / HEAD, LIVE BASIS",3.61,"HEAD × LB / HEAD, LIVE BASIS",1962-10-01,2.024950077408064e-08,10,7.076531286412724,-1.0958904109589218,2.3443537683500607e-08
1962,NOV,148552000,HEAD,3.66,"LB / HEAD, LIVE BASIS",3.66,"HEAD × LB / HEAD, LIVE BASIS",1962-11-01,2.4637837255641124e-08,11,11.30158539874726,0.0,2.3211498832013046e-08
1962,DEC,140890000,HEAD,3.58,"LB / HEAD, LIVE BASIS",3.58,"HEAD × LB / HEAD, LIVE BASIS",1962-12-01,2.540989424373625e-08,12,17.286160249739858,-1.6483516483516647,2.2803842603104842e-08
1963,JAN,161308000,HEAD,3.56,"LB / HEAD, LIVE BASIS",3.5599999999999996,"HEAD × LB / HEAD, LIVE BASIS",1963-01-01,2.206958117390334e-08,1,19.741969965779106,0.8498583569405138,2.245931973391877e-08
1963,FEB,130084000,HEAD,3.52,"LB / HEAD, LIVE BASIS",3.52,"HEAD × LB / HEAD, LIVE BASIS",1963-02-01,2.705943851665078e-08,2,10.031804033022063,1.4409221902017322,2.2268351077803064e-08
1963,MAR,144811000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.53,"HEAD × LB / HEAD, LIVE BASIS",1963-03-01,2.4376601225045056e-08,3,0.5750678899592243,0.0,2.225666924394401e-08
1963,APR,157452000,HEAD,3.59,"LB / HEAD, LIVE BASIS",3.59,"HEAD × LB / HEAD, LIVE BASIS",1963-04-01,2.2800599547798694e-08,4,3.7841685836887295,1.1267605633802802,2.220673974970611e-08
1963,MAY,175875000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.5300000000000002,"HEAD × LB / HEAD, LIVE BASIS",1963-05-01,2.0071073205401564e-08,5,-4.224730849030401,2.3188405797101463,2.231370644683549e-08
1963,JUN,175772000,HEAD,3.47,"LB / HEAD, LIVE BASIS",3.47,"HEAD × LB / HEAD, LIVE BASIS",1963-06-01,1.9741483285164874e-08,6,-2.384681172458991,0.5797101449275477,2.236219326519954e-08
1963,JUL,189597000,HEAD,3.44,"LB / HEAD, LIVE BASIS",3.44,"HEAD × LB / HEAD, LIVE BASIS",1963-07-01,1.8143747000216247e-08,7,9.775119561818958,1.17647058823529,2.223369524698993e-08
