Date,Year,Month,Hatching Eggs,Eggs Set,Eggs_Break,Break_Ratio,Rolling_15M_Break_Ratio,Month_produced,Unit,Date_produced,Month_Num,Year_Month,Date_set,Month_set
2013-01-01,2013,JAN,981700000,822686000.0,159014000.0,16.19782010797596,,JAN,EGGS,2013-01-01,1,2013-01,2013-01-01,JAN
2013-02-01,2013,FEB,892700000,830843000.0,61857000.0,6.929203539823009,,FEB,EGGS,2013-02-01,2,2013-02,2013-02-01,FEB
2013-03-01,2013,MAR,1002200000,1047466000.0,-45266000.0,-4.5166633406505685,,MAR,EGGS,2013-03-01,3,2013-03,2013-03-01,MAR
2013-04-01,2013,APR,981100000,836875000.0,144225000.0,14.700336357150137,,APR,EGGS,2013-04-01,4,2013-04,2013-04-01,APR
2013-05-01,2013,MAY,1024200000,847622000.0,176578000.0,17.24057801210701,,MAY,EGGS,2013-05-01,5,2013-05,2013-05-01,MAY
2013-06-01,2013,JUN,992800000,1059119000.0,-66319000.0,-6.679995970991135,,JUN,EGGS,2013-06-01,6,2013-06,2013-06-01,JUN
2013-07-01,2013,JUL,1011500000,843414000.0,168086000.0,16.617498764211565,,JUL,EGGS,2013-07-01,7,2013-07,2013-07-01,JUL
2013-08-01,2013,AUG,1006000000,1050041000.0,-44041000.0,-4.377833001988071,,AUG,EGGS,2013-08-01,8,2013-08,2013-08-01,AUG
2013-09-01,2013,SEP,969400000,810420000.0,158980000.0,16.399834949453272,,SEP,EGGS,2013-09-01,9,2013-09,2013-09-01,SEP
2013-10-01,2013,OCT,993300000,791694000.0,201606000.0,20.296587133796436,,OCT,EGGS,2013-10-01,10,2013-10,2013-10-01,OCT
2013-11-01,2013,NOV,960600000,1031334000.0,-70734000.0,-7.363522798251093,,NOV,EGGS,2013-11-01,11,2013-11,2013-11-01,NOV
2013-12-01,2013,DEC,993800000,841935000.0,151865000.0,15.281243711008251,,DEC,EGGS,2013-12-01,12,2013-12,2013-12-01,DEC
2014-01-01,2014,JAN,996100000,838737000.0,157363000.0,15.797911856239333,,JAN,EGGS,2014-01-01,1,2014-01,2014-01-01,JAN
