watershed_desc,begin_code,location_desc,domain_desc,state_ansi,Value,region_desc,zip_5,short_desc,congr_district_code,end_code,agg_level_desc,sector_desc,commodity_desc,state_name,county_ansi,CV (%),reference_period_desc,country_name,country_code,group_desc,unit_desc,asd_code,watershed_code,util_practice_desc,prodn_practice_desc,week_ending,asd_desc,source_desc,domaincat_desc,class_desc,county_code,county_name,freq_desc,state_fips_code,load_time,state_alpha,year,statisticcat_desc
,01,US TOTAL,TOTAL,,"249,628,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,01,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #01,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-01-04,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-02-12 15:00:00.000,US,2025,EGGS SET
,02,US TOTAL,TOTAL,,"249,319,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,02,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #02,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-01-11,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-02-19 15:00:00.000,US,2025,EGGS SET
,03,US TOTAL,TOTAL,,"248,054,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,03,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #03,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-01-18,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-02-26 15:00:00.000,US,2025,EGGS SET
,04,US TOTAL,TOTAL,,"249,168,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,04,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #04,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-01-25,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-03-05 15:00:00.000,US,2025,EGGS SET
,05,US TOTAL,TOTAL,,"248,787,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,05,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #05,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-02-01,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-03-12 15:00:00.000,US,2025,EGGS SET
,06,US TOTAL,TOTAL,,"249,373,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,06,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #06,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-02-08,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-03-19 15:00:00.000,US,2025,EGGS SET
,07,US TOTAL,TOTAL,,"248,753,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,07,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #07,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-02-15,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-03-19 15:00:00.000,US,2025,EGGS SET
,08,US TOTAL,TOTAL,,"249,839,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,08,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #08,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-02-22,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-03-19 15:00:00.000,US,2025,EGGS SET
,09,US TOTAL,TOTAL,,"250,786,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,09,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #09,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-03-01,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-03-19 15:00:00.000,US,2025,EGGS SET
,10,US TOTAL,TOTAL,,"252,294,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,10,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #10,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-03-08,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-03-19 15:00:00.000,US,2025,EGGS SET
,11,US TOTAL,TOTAL,,"249,950,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,11,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #11,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-03-15,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-03-19 15:00:00.000,US,2025,EGGS SET
,01,US TOTAL,TOTAL,,"237,598,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,01,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #01,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-01-06,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-02-14 15:00:00.000,US,2024,EGGS SET
