watershed_desc,begin_code,location_desc,domain_desc,state_ansi,Value,region_desc,zip_5,short_desc,congr_district_code,end_code,agg_level_desc,sector_desc,commodity_desc,state_name,county_ansi,CV (%),reference_period_desc,country_name,country_code,group_desc,unit_desc,asd_code,watershed_code,util_practice_desc,prodn_practice_desc,week_ending,asd_desc,source_desc,domaincat_desc,class_desc,county_code,county_name,freq_desc,state_fips_code,load_time,state_alpha,year,statisticcat_desc,Eggs Set,Date,YoY_Growth,YoY_Growth_12_Period_Avg,Year,Month
,1,US TOTAL,TOTAL,,"205,518,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,1,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #01,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-01-05,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,205518000.0,2013-01-05,,,2013.0,1.0
,2,US TOTAL,TOTAL,,"205,480,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,2,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #02,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-01-12,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,205480000.0,2013-01-12,,,2013.0,1.0
,3,US TOTAL,TOTAL,,"204,794,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,3,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #03,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-01-19,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,204794000.0,2013-01-19,,,2013.0,1.0
,4,US TOTAL,TOTAL,,"206,894,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,4,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #04,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-01-26,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,206894000.0,2013-01-26,,,2013.0,1.0
,5,US TOTAL,TOTAL,,"206,596,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,5,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #05,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-02-02,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,206596000.0,2013-02-02,,,2013.0,2.0
,6,US TOTAL,TOTAL,,"206,638,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,6,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #06,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-02-09,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,206638000.0,2013-02-09,,,2013.0,2.0
,7,US TOTAL,TOTAL,,"208,283,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,7,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #07,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-02-16,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,208283000.0,2013-02-16,,,2013.0,2.0
,8,US TOTAL,TOTAL,,"209,326,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,8,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #08,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-02-23,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,209326000.0,2013-02-23,,,2013.0,2.0
,9,US TOTAL,TOTAL,,"209,631,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,9,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #09,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-03-02,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,209631000.0,2013-03-02,,,2013.0,3.0
,10,US TOTAL,TOTAL,,"208,928,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,10,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #10,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2013-03-09,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2015-04-14 15:07:16.000,US,2013,EGGS SET,208928000.0,2013-03-09,,,2013.0,3.0
