watershed_desc,begin_code,location_desc,domain_desc,state_ansi,Value,region_desc,zip_5,short_desc,congr_district_code,end_code,agg_level_desc,sector_desc,commodity_desc,state_name,county_ansi,CV (%),reference_period_desc,country_name,country_code,group_desc,unit_desc,asd_code,watershed_code,util_practice_desc,prodn_practice_desc,week_ending,asd_desc,source_desc,domaincat_desc,class_desc,county_code,county_name,freq_desc,state_fips_code,load_time,state_alpha,year,statisticcat_desc,Year,Eggs Set,Date,YoY_Growth,YoY_Growth_Rolling_Avg
,1,US TOTAL,TOTAL,,"249,628,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,1,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #01,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2025-01-04,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2025-02-12 15:00:00.000,US,2025,EGGS SET,2025,249628000.0,2025-01-01,,
,45,US TOTAL,TOTAL,,"222,371,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,45,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #45,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-11-11,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,222371000.0,2025-01-01,,
,46,US TOTAL,TOTAL,,"227,783,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,46,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #46,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-11-18,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,227783000.0,2025-01-01,,
,47,US TOTAL,TOTAL,,"226,498,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,47,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #47,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-11-25,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,226498000.0,2025-01-01,,
,48,US TOTAL,TOTAL,,"231,957,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,48,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #48,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-12-02,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,231957000.0,2025-01-01,,
,49,US TOTAL,TOTAL,,"221,351,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,49,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #49,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-12-09,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,221351000.0,2025-01-01,,
,50,US TOTAL,TOTAL,,"228,725,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,50,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #50,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-12-16,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,228725000.0,2025-01-01,,
,51,US TOTAL,TOTAL,,"227,645,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,51,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #51,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-12-23,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,227645000.0,2025-01-01,,
,44,US TOTAL,TOTAL,,"215,787,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,44,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #44,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-11-04,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,215787000.0,2025-01-01,,
,52,US TOTAL,TOTAL,,"225,393,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,52,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #52,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-12-30,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,225393000.0,2025-01-01,,
