Year,Week,Eggs Set Year,Eggs Set Week,Eggs Set,Placements,Hatchability (%),Hatchability LTM (%)
2013,3,2013,1,205518000,169303000,82.37867242771922,82.37867242771922
2013,4,2013,1,205518000,169552000,82.4998296986152,82.4392510631672
2013,5,2013,2,205480000,169282000,82.38368697683472,82.42072970105637
2013,6,2013,3,204794000,169284000,82.66062482299286,82.4807034815405
2013,7,2013,4,206894000,170821000,82.56450162885342,82.49746311100309
2013,8,2013,5,206596000,170735000,82.64196789870084,82.52154724228605
2013,9,2013,6,206638000,170621000,82.57000164538952,82.52846929987224
2013,10,2013,7,208283000,171821000,82.49401055294959,82.52416195650693
2013,11,2013,8,209326000,172111000,82.22151094465092,82.4905340663007
2013,12,2013,9,209631000,172377000,82.22877341614551,82.46435800128518
2013,13,2013,10,208928000,171771000,82.21540434982386,82.44172585115233
2013,14,2013,11,209501000,172628000,82.39960668445497,82.43821592059422
2013,15,2013,12,209255000,172230000,82.30627703041743,82.428066775196
2013,16,2013,13,210151000,172847000,82.24895432331991,82.41527302863344
2013,17,2013,14,209103000,172008000,82.2599388817951,82.4049174188442
2013,18,2013,15,210208000,173113000,82.35319302785811,82.40168464440757
2013,19,2013,16,208615000,172020000,82.45811662632121,82.40500417275543
2013,20,2013,17,208949000,171877000,82.25787153803081,82.39683013749296
2013,21,2013,18,210796000,174255000,82.66523083929486,82.41095649021936
2013,22,2013,19,211192000,173858000,82.32224705481268,82.40652101844904
2013,23,2013,20,213153000,175530000,82.34929839129639,82.40379613144177
2013,24,2013,21,212481000,175387000,82.54243908867146,82.41009808404311
2013,25,2013,22,213001000,175675000,82.47613860967789,82.41296941124463
2013,26,2013,23,212769000,175587000,82.52470989664847,82.41762526480312
2013,27,2013,24,211967000,175328000,82.71476220355055,82.42951074235302
2013,28,2013,25,211237000,174470000,82.59443184669352,82.43585386175073
2013,29,2013,26,210145000,173090000,82.36693711484926,82.43330138964328
2013,30,2013,27,211730000,174724000,82.5220800075568,82.43647205456875
2013,31,2013,28,211853000,175077000,82.64079338031559,82.44351761752554
2013,32,2013,29,209600000,172654000,82.37309160305344,82.44117008370979
2013,33,2013,30,210231000,173007000,82.29376257545272,82.43641500279828
2013,34,2013,31,208500000,171770000,82.38369304556355,82.4347674416347
2013,35,2013,32,211212000,173607000,82.19561388557469,82.42752036417833
2013,36,2013,33,209893000,172461000,82.16615132472259,82.41983303948847
2013,37,2013,34,210980000,173356000,82.16703005024173,82.41261009693856
2013,38,2013,35,209456000,172301000,82.26119089450768,82.40840400798214
2013,39,2013,36,203630000,167831000,82.41958454058832,82.40870618453906
2013,40,2013,37,202337000,165999000,82.04085263693739,82.39902582802323
2013,41,2013,38,199899000,164561000,82.32207264668658,82.39705266952741
2013,42,2013,39,204554000,168282000,82.26776303567762,82.39382042868117
2013,43,2013,40,193785000,159310000,82.20966535077534,82.38932884141518
2013,44,2013,41,199432000,163356000,81.9106261783465,82.37793115896116
2013,45,2013,42,195598000,160800000,82.20942954426937,82.37401251675902
2013,46,2013,43,202879000,166870000,82.25099689962983,82.37121670727882
2013,47,2013,44,198457000,162482000,81.87264747527172,82.36013739101199
2013,48,2013,45,200697000,164713000,82.07048436199842,82.35384058603344
2013,49,2013,46,210917000,172141000,81.61551700431924,82.33813157365654
2013,50,2013,47,210021000,171790000,81.79658224653726,82.32684929600822
2013,51,2013,48,211242000,172640000,81.72617187869837,82.31459057320598
2013,52,2013,49,209738000,171474000,81.75628641447902,82.30342449003145
2014,0,2013,49,209738000,9134788000,4355.332843833735,166.08831506539818
2014,0,2013,49,209738000,23683100,11.291754474630253,163.11145813096033
2014,0,2013,49,209738000,25731500,12.268401529527315,161.76318369061048
2014,0,2013,49,209738000,24885800,11.865184182170136,160.40482512298652
2014,0,2013,49,209738000,24259700,11.566668891664838,159.04295939057943
2014,0,2013,49,209738000,25176200,12.003642639864974,157.6841712716731
2014,0,2013,49,209738000,24006500,11.445946847972232,156.31650675665617
2014,0,2013,49,209738000,25946300,12.37081501683052,154.96513843200484
2014,0,2013,49,209738000,25368100,12.095137743279713,153.60985258773349
2014,0,2013,49,209738000,24034600,11.459344515538431,152.24380131778327
2014,0,2013,49,209738000,25306000,12.065529374743727,150.8946478260543
2014,0,2013,49,209738000,25425600,12.122552899331549,149.546451277654
2014,0,2013,49,209738000,26339700,12.558382362757344,148.20689316251813
2014,1,2013,50,211248000,172043000,81.4412444141483,148.18846311885838
2014,2,2013,51,210822000,171495000,81.34587471895722,148.169993843638
2014,3,2013,52,210127000,171619000,81.67394004578183,148.15893587676226
2014,4,2014,1,208593000,169569000,81.29179790309358,148.140317781018
2014,5,2014,2,210927000,170840000,80.99484655828793,148.11419573352626
2014,6,2014,3,208883000,169786000,81.28282339874475,148.09159394068826
2014,7,2014,4,210334000,170966000,81.28310211378094,148.0728483748373
2014,8,2014,5,210060000,170097000,80.97543558983148,148.0403523123476
2014,9,2014,6,208747000,169072000,80.99373883217483,148.0148040772969
2014,10,2014,7,209331000,169954000,81.18912153479417,147.99249298390262
2014,11,2014,8,209592000,170152000,81.18248788121683,147.96634007606696
