Date,Cumulative_Potential_Placements,Layer_Herd,Mortality_Rate,Mortality_Rate_LTM,Potential_vs_Actual_Diff,Potential_vs_Actual_Diff_Percent,Layer_Herd_LTM,Potential_Placements_LTM
2014-04-01,61457000.0,53679000,12.656003384480208,,7778000.0,12.656003384480204,,
2014-05-01,61385000.0,53879000,12.22774293394152,,7506000.0,12.227742933941517,,
2014-06-01,61444000.0,53744000,12.531736215090161,,7700000.0,12.531736215090165,,
2014-07-01,61524000.0,53928000,12.34640140433002,,7596000.0,12.346401404330019,,
2014-08-01,61772000.0,53201000,13.875218545619372,,8571000.0,13.875218545619376,,
2014-09-01,61446000.0,52906000,13.898382319434955,,8540000.0,13.898382319434951,,
2014-10-01,61225000.0,53135000,13.213556553695383,,8090000.0,13.213556553695385,,
2014-11-01,61366000.0,53372000,13.02675748785973,,7994000.0,13.026757487859728,,
2014-12-01,61835000.0,54402000,12.020700250667094,,7433000.0,12.020700250667097,,
2015-01-01,62018000.0,54494000,12.131961688542036,,7524000.0,12.131961688542036,,
2015-02-01,61999000.0,54515000,12.071162438103844,,7484000.0,12.07116243810384,,
2015-03-01,62220000.0,55632000,10.588235294117643,12.548988209656832,6588000.0,10.588235294117647,53907250.0,61640916.666666664
2015-04-01,62804000.0,55811000,11.134641105662057,12.422208019755317,6993000.0,11.13464110566206,54084916.666666664,61753166.666666664
2015-05-01,63157000.0,56457000,10.608483620184616,12.28726974360891,6700000.0,10.60848362018462,54299750.0,61900833.333333336
2015-06-01,63509000.0,55745000,12.225038970854529,12.261711639922607,7764000.0,12.225038970854525,54466500.0,62072916.666666664
2015-07-01,63514000.0,55654000,12.375224359983628,12.264113552893741,7860000.0,12.375224359983626,54610333.333333336,62238750.0
2015-08-01,63748000.0,55459000,13.002760870929286,12.191408746669566,8289000.0,13.002760870929283,54798500.0,62403416.666666664
2015-09-01,64040000.0,55191000,13.817926296064964,12.184704078055402,8849000.0,13.81792629606496,54988916.666666664,62619583.333333336
2015-10-01,64106000.0,55336000,13.68046672698343,12.223613259162738,8770000.0,13.680466726983434,55172333.333333336,62859666.666666664
2015-11-01,64889000.0,55420000,14.592611998952055,12.354101135087099,9469000.0,14.592611998952057,55343000.0,63153250.0
2015-12-01,64994000.0,56187000,13.550481582915342,12.481582912774455,8807000.0,13.550481582915348,55491750.0,63416500.0
2016-01-01,65531000.0,56517000,13.755321908714958,12.616862931122197,9014000.0,13.75532190871496,55660333.333333336,63709250.0
2016-02-01,66136000.0,57073000,13.703580500786261,12.752897769679064,9063000.0,13.703580500786257,55873500.0,64054000.0
2016-03-01,66452000.0,56797000,14.529284295431289,13.081318519788534,9655000.0,14.529284295431289,55970583.333333336,64406666.666666664
2016-04-01,68230000.0,56679000,16.92950315110655,13.564223690242244,11551000.0,16.92950315110655,56042916.666666664,64858833.333333336
2016-05-01,68149000.0,56804000,16.647346255997885,14.067462243226684,11345000.0,16.647346255997885,56071833.333333336,65274833.333333336
2016-06-01,67487000.0,56314000,16.555781113399615,14.428357421772105,11173000.0,16.555781113399618,56119250.0,65606333.333333336
2016-07-01,67871000.0,56023000,17.4566456955106,14.851809199732685,11848000.0,17.456645695510602,56150000.0,65969416.666666664
2016-08-01,67602000.0,55463000,17.95656933226828,15.264626571510936,12139000.0,17.956569332268277,56150333.333333336,66290583.333333336
2016-09-01,68159000.0,55457000,18.63583679338019,15.66611911295387,12702000.0,18.635836793380182,56172500.0,66633833.333333336
2016-10-01,68512000.0,55263000,19.33821812237272,16.13759839590298,13249000.0,19.338218122372723,56166416.666666664,67001000.0
2016-11-01,68699000.0,55672000,18.962430311940494,16.501749921985347,13027000.0,18.962430311940494,56187416.666666664,67318500.0
2016-12-01,68875000.0,55243000,19.792377495462798,17.021907914697636,13632000.0,19.792377495462794,56108750.0,67641916.66666667
2017-01-01,68802000.0,55698000,19.04595796633819,17.462794252832904,13104000.0,19.045957966338186,56040500.0,67914500.0
2017-02-01,69669000.0,56126000,19.439061849603124,17.940751031900977,13543000.0,19.439061849603124,55961583.333333336,68208916.66666667
2017-03-01,70129000.0,56750000,19.077699667755134,18.3197856462613,13379000.0,19.077699667755137,55957666.666666664,68515333.33333333
2017-04-01,70194000.0,57070000,18.696754708379636,18.467056609367386,13124000.0,18.696754708379633,55990250.0,68679000.0
2017-05-01,70377000.0,57403000,18.435000071045938,18.616027760621392,12974000.0,18.435000071045938,56040166.666666664,68864666.66666667
2017-06-01,69989000.0,57341000,18.071411221763423,18.74233026965171,12648000.0,18.07141122176342,56125750.0,69073166.66666667
2017-07-01,69381000.0,57214000,17.536501347631194,18.748984907328428,12167000.0,17.536501347631194,56225000.0,69199000.0
2017-08-01,68929000.0,56989000,17.322172090121725,18.696118470482883,11940000.0,17.32217209012172,56352166.666666664,69309583.33333333
2017-09-01,68678000.0,57638000,16.075016744809112,18.482716799768625,11040000.0,16.07501674480911,56533916.666666664,69352833.33333333
2017-10-01,68440000.0,57128000,16.528345996493275,18.24856078927867,11312000.0,16.52834599649328,56689333.333333336,69346833.33333333
2017-11-01,67755000.0,57082000,15.752343000516566,17.98105351332668,10673000.0,15.752343000516566,56806833.333333336,69268166.66666667
2017-12-01,68224000.0,57208000,16.1468105065666,17.677256264251994,11016000.0,16.146810506566602,56970583.333333336,69213916.66666667
2018-01-01,68872000.0,58103000,15.636252758740854,17.393114163618883,10769000.0,15.636252758740854,57171000.0,69219750.0
2018-02-01,69047000.0,58148000,15.784900140484016,17.088600687858957,10899000.0,15.784900140484018,57339500.0,69167916.66666667
2018-03-01,69492000.0,59245000,14.74558222529212,16.727590900987035,10247000.0,14.74558222529212,57547416.666666664,69114833.33333333
2018-04-01,70197000.0,59555000,15.160192030998477,16.432877344538607,10642000.0,15.160192030998477,57754500.0,69115083.33333333
2018-05-01,70623000.0,59657000,15.527519363380204,16.190587285566462,10966000.0,15.527519363380202,57942333.333333336,69135583.33333333
2018-06-01,70734000.0,58992000,16.60022054457545,16.067988062467467,11742000.0,16.600220544575453,58079916.666666664,69197666.66666667
2018-07-01,70067000.0,58359000,16.70972069590535,15.999089674823646,11708000.0,16.709720695905347,58175333.333333336,69254833.33333333
2018-08-01,70155000.0,57525000,18.002993371819542,16.055824781631795,12630000.0,18.002993371819542,58220000.0,69357000.0
2018-09-01,69575000.0,57362000,17.55371900826447,16.17904997025308,12213000.0,17.553719008264462,58197000.0,69431750.0
2018-10-01,69406000.0,57634000,16.961069648157224,16.21511027455841,11772000.0,16.96106964815722,58239166.666666664,69512250.0
2018-11-01,70010000.0,57751000,17.510355663476652,16.36161132980508,12259000.0,17.510355663476645,58294916.666666664,69700166.66666667
2018-12-01,70137000.0,58243000,16.958238875343966,16.429230360536526,11894000.0,16.95823887534397,58381166.666666664,69859583.33333333
2019-01-01,70216000.0,59181000,15.715791272644408,16.43585857002849,11035000.0,15.715791272644411,58471000.0,69971583.33333333
2019-02-01,70100000.0,59476000,15.15549215406562,16.383407904493623,10624000.0,15.15549215406562,58581666.666666664,70059333.33333333
2019-03-01,70500000.0,59435000,15.695035460992912,16.462529007468692,11065000.0,15.695035460992907,58597500.0,70143333.33333333
2019-04-01,71182000.0,59566000,16.31873226377455,16.559074026866696,11616000.0,16.31873226377455,58598416.666666664,70225416.66666667
2019-05-01,71318000.0,60025000,15.834712134384022,16.584673424450347,11293000.0,15.834712134384027,58629083.333333336,70283333.33333333
2019-06-01,71640000.0,59418000,17.06030150753769,16.6230135046972,12222000.0,17.06030150753769,58664583.333333336,70358833.33333333
2019-07-01,72147000.0,59062000,18.13658225567245,16.74191863467779,13085000.0,18.136582255672444,58723166.666666664,70532166.66666667
2019-08-01,71937000.0,58450000,18.74834925003823,16.804031624529348,13487000.0,18.748349250038228,58800250.0,70680666.66666667
2019-09-01,71537000.0,58450000,18.29402966297161,16.86572417908828,13087000.0,18.29402966297161,58890916.666666664,70844166.66666667
2019-10-01,71440000.0,59035000,17.364221724524075,16.89932018545218,12405000.0,17.364221724524075,59007666.666666664,71013666.66666667
2019-11-01,71306000.0,59008000,17.24679550107985,16.877356838585783,12298000.0,17.246795501079852,59112416.666666664,71121666.66666667
2019-12-01,71730000.0,59989000,16.368325665690787,16.828197404448016,11741000.0,16.368325665690787,59257916.666666664,71254416.66666667
2020-01-01,72170000.0,61085000,15.359567687404741,16.798512105678046,11085000.0,15.359567687404738,59416583.333333336,71417250.0
2020-02-01,73411000.0,60849000,17.11187696666712,16.961544173394838,12562000.0,17.11187696666712,59531000.0,71693166.66666667
2020-03-01,73604000.0,61719000,16.147220259768492,16.999226239959466,11885000.0,16.147220259768492,59721333.333333336,71951833.33333333
2020-04-01,73624000.0,61478000,16.497337824622406,17.01411003669679,12146000.0,16.497337824622406,59880666.666666664,72155333.33333333
2020-05-01,73677000.0,60828000,17.439635164298217,17.14785362252297,12849000.0,17.43963516429822,59947583.333333336,72351916.66666667
2020-06-01,73936000.0,61090000,17.37448604198225,17.17403566706002,12846000.0,17.374486041982255,60086916.666666664,72543250.0
2020-07-01,74341000.0,61089000,17.825964138227903,17.14815082393964,13252000.0,17.825964138227896,60255833.333333336,72726083.33333333
2020-08-01,74484000.0,60593000,18.649642876322435,17.139925292796658,13891000.0,18.64964287632243,60434416.666666664,72938333.33333333
2020-09-01,73852000.0,60650000,17.87629312679413,17.105113914781867,13202000.0,17.87629312679413,60617750.0,73131250.0
2020-10-01,73682000.0,60555000,17.81574875817703,17.14274116758628,13127000.0,17.81574875817703,60744416.666666664,73318083.33333333
2020-11-01,73333000.0,60942000,16.896894985886302,17.11358279132015,12391000.0,16.8968949858863,60905583.333333336,73487000.0
2020-12-01,73427000.0,61758000,15.891974341863346,17.073886847667865,11669000.0,15.891974341863346,61053000.0,73628416.66666667
2021-01-01,72886000.0,62084000,14.820404467250226,17.028956579321655,10802000.0,14.820404467250226,61136250.0,73688083.33333333
2021-02-01,73590000.0,62303000,15.337681750237808,16.881106977952545,11287000.0,15.337681750237802,61257416.666666664,73703000.0
2021-03-01,73660000.0,63258000,14.121639967417865,16.71230862025666,10402000.0,14.121639967417865,61385666.666666664,73707666.66666667
2021-04-01,74741000.0,63078000,15.60455439450904,16.637910001080545,11663000.0,15.604554394509037,61519000.0,73800750.0
2021-05-01,75331000.0,62661000,16.819105016527057,16.58619915543295,12670000.0,16.81910501652706,61671750.0,73938583.33333333
2021-06-01,74992000.0,62030000,17.284510347770432,16.5787011809153,12962000.0,17.28451034777043,61750083.333333336,74026583.33333333
2021-07-01,74246000.0,61514000,17.14839856692616,16.52223738330682,12732000.0,17.148398566926165,61785500.0,74018666.66666667
2021-08-01,74180000.0,61347000,17.299811269884067,16.40975141610362,12833000.0,17.299811269884067,61848333.333333336,73993333.33333333
2021-09-01,74237000.0,60982000,17.85497797594191,16.407975153532604,13255000.0,17.854977975941917,61876000.0,74025416.66666667
2021-10-01,74395000.0,60927000,18.103367161771622,16.431943353832153,13468000.0,18.103367161771626,61907000.0,74084833.33333333
2021-11-01,74270000.0,61267000,17.507742022350882,16.482847273537534,13003000.0,17.507742022350882,61934083.333333336,74162916.66666667
2021-12-01,74767000.0,62323000,16.64370644803188,16.545491615718245,12444000.0,16.643706448031885,61981166.666666664,74274583.33333333
2022-01-01,74605000.0,62114000,16.742845653776563,16.705695047928774,12491000.0,16.742845653776556,61983666.666666664,74417833.33333333
2022-02-01,75156000.0,62732000,16.530948959497582,16.805133982033755,12424000.0,16.53094895949758,62019416.666666664,74548333.33333333
2022-03-01,76097000.0,62407000,17.990196722604047,17.127513711632606,13690000.0,17.990196722604047,61948500.0,74751416.66666667
2022-04-01,77914000.0,62506000,19.775650075724517,17.47510501840056,15408000.0,19.775650075724517,61900833.333333336,75015833.33333333
2022-05-01,78385000.0,62800000,19.88263060534541,17.730398817468757,15585000.0,19.882630605345412,61912416.666666664,75270333.33333333
2022-06-01,78126000.0,62112000,20.497657629982335,17.998161090986414,16014000.0,20.497657629982335,61919250.0,75531500.0
2022-07-01,78880000.0,62257000,21.07378296146044,18.325276457197607,16623000.0,21.073782961460445,61981166.666666664,75917666.66666667
2022-08-01,78650000.0,62089000,21.056579783852513,18.63834050002831,16561000.0,21.05657978385251,62043000.0,76290166.66666667
2022-09-01,78441000.0,61849000,21.15220356701215,18.913109299284162,16592000.0,21.152203567012148,62115250.0,76640500.0
2022-10-01,78191000.0,61595000,21.224949162947137,19.173241132715457,16596000.0,21.224949162947144,62170916.666666664,76956833.33333333
2022-11-01,77503000.0,61414000,20.759196418203164,19.444195665703145,16089000.0,20.759196418203167,62183166.666666664,77226250.0
2022-12-01,77234000.0,61770000,20.022269984721753,19.725742627093968,15464000.0,20.022269984721756,62137083.333333336,77431833.33333333
2023-01-01,76325000.0,62331000,18.334752702260072,19.858401547800927,13994000.0,18.334752702260072,62155166.666666664,77575166.66666667
2023-02-01,75295000.0,63418000,15.773955773955773,19.79531878233911,11877000.0,15.773955773955775,62212333.333333336,77586750.0
2023-03-01,74989000.0,63836000,14.872848017709261,19.535539723597875,11153000.0,14.872848017709265,62331416.666666664,77494416.66666667
2023-04-01,74146000.0,64435000,13.097132684163682,18.978996607634475,9711000.0,13.097132684163675,62492166.666666664,77180416.66666667
2023-05-01,73568000.0,64323000,12.56660504567203,18.369327810995028,9245000.0,12.56660504567203,62619083.333333336,76779000.0
2023-06-01,72731000.0,64367000,11.499910629580235,17.619515560961517,8364000.0,11.499910629580235,62807000.0,76329416.66666667
2023-07-01,72593000.0,63815000,12.09207499345667,16.871039896961204,8778000.0,12.09207499345667,62936833.333333336,75805500.0
2023-08-01,72668000.0,63018000,13.279572851874278,16.22295598596302,9650000.0,13.279572851874278,63014250.0,75307000.0
2023-09-01,71906000.0,63045000,12.323032848441018,15.487191759415424,8861000.0,12.32303284844102,63113916.666666664,74762416.66666667
2023-10-01,72188000.0,63103000,12.585194215105,14.767212180428578,9085000.0,12.585194215105004,63239583.333333336,74262166.66666667
2023-11-01,72769000.0,63332000,12.968434360785498,14.117982008977107,9437000.0,12.9684343607855,63399416.666666664,73867666.66666667
2023-12-01,73732000.0,63524000,13.844734986166118,13.603187425764135,10208000.0,13.844734986166115,63545583.333333336,73575833.33333333
2024-01-01,75299000.0,62634000,16.819612478253365,13.476925740430241,12665000.0,16.81961247825336,63570833.333333336,73490333.33333333
2024-02-01,76516000.0,62090000,18.853573108892263,13.73356051834162,14426000.0,18.853573108892256,63460166.666666664,73592083.33333333
2024-03-01,77096000.0,62484000,18.952993670229322,14.073572656051624,14612000.0,18.952993670229322,63347500.0,73767666.66666667
2024-04-01,76848000.0,61798000,19.584114095357062,14.614154440317739,15050000.0,19.58411409535707,63127750.0,73992833.33333333
2024-05-01,76849000.0,61327000,20.198050722846105,15.25010824674891,15522000.0,20.1980507228461,62878083.333333336,74266250.0
2024-06-01,77350000.0,61831000,20.063348416289596,15.963728062308023,15519000.0,20.063348416289593,62666750.0,74651166.66666667
2024-07-01,78008000.0,61589000,21.04784124705158,16.71004191677427,16419000.0,21.047841247051586,62481250.0,75102416.66666667
2024-08-01,77327000.0,61485000,20.487022644095852,17.310662732792732,15842000.0,20.487022644095852,62353500.0,75490666.66666667
2024-09-01,76881000.0,61299000,20.267686424474185,17.972717197462163,15582000.0,20.26768642447419,62208000.0,75905250.0
2024-10-01,76590000.0,60709000,20.73508290899595,18.65187458861974,15881000.0,20.735082908995953,62008500.0,76272083.33333333
2024-11-01,76223000.0,60906000,20.09498445351141,19.245753763013568,15317000.0,20.094984453511408,61806333.333333336,76559916.66666667
2024-12-01,76213000.0,61100000,19.829950270951148,19.74452170341232,15113000.0,19.829950270951148,61604333.333333336,76766666.66666667
2025-01-01,77087000.0,61928000,19.664794323297052,19.981620190499292,15159000.0,19.664794323297055,61545500.0,76915666.66666667
2025-02-01,76843000.0,61611000,19.822234946579385,20.062342010306555,15232000.0,19.82223494657939,61505583.333333336,76942916.66666667
