Year_eggs,Month_eggs,Hatching Eggs,Unit_eggs,Date,Year_herd,Month_herd,Layer_Herd,Unit_herd,Yield,Yield_YoY,Yield_LTM
2007,DEC,1077000000,EGGS,2007-12-01,2007,DEC,58203000,HEAD,1000.0,,
2008,JAN,1091000000,EGGS,2008-01-01,2008,JAN,58768000,HEAD,1000.0,,
2008,FEB,1024000000,EGGS,2008-02-01,2008,FEB,58591000,HEAD,1000.0,,
2008,MAR,1099000000,EGGS,2008-03-01,2008,MAR,58242000,HEAD,1000.0,,
2008,APR,1059000000,EGGS,2008-04-01,2008,APR,58721000,HEAD,1000.0,,
2008,MAY,1095000000,EGGS,2008-05-01,2008,MAY,58076000,HEAD,1000.0,,
2008,JUN,1048000000,EGGS,2008-06-01,2008,JUN,56967000,HEAD,1000.0,,
2008,JUL,1070000000,EGGS,2008-07-01,2008,JUL,56187000,HEAD,1000.0,,
2008,AUG,1058000000,EGGS,2008-08-01,2008,AUG,55419000,HEAD,1000.0,,
2008,SEP,1010000000,EGGS,2008-09-01,2008,SEP,54197000,HEAD,1000.0,,
2008,OCT,1028000000,EGGS,2008-10-01,2008,OCT,54411000,HEAD,1000.0,,
2008,NOV,987000000,EGGS,2008-11-01,2008,NOV,53354000,HEAD,1000.0,,1000.0
2008,DEC,1011000000,EGGS,2008-12-01,2008,DEC,54053000,HEAD,1000.0,0.0,1000.0
2009,JAN,1014000000,EGGS,2009-01-01,2009,JAN,54921000,HEAD,1000.0,0.0,1000.0
2009,FEB,928000000,EGGS,2009-02-01,2009,FEB,54789000,HEAD,1000.0,0.0,1000.0
2009,MAR,1028000000,EGGS,2009-03-01,2009,MAR,54906000,HEAD,1000.0,0.0,1000.0
2009,APR,994000000,EGGS,2009-04-01,2009,APR,54723000,HEAD,1000.0,0.0,1000.0
2009,MAY,1031000000,EGGS,2009-05-01,2009,MAY,54831000,HEAD,1000.0,0.0,1000.0
2009,JUN,1001000000,EGGS,2009-06-01,2009,JUN,54715000,HEAD,1000.0,0.0,1000.0
