state_fips_code,county_code,agg_level_desc,class_desc,Value,zip_5,country_code,county_ansi,group_desc,state_name,util_practice_desc,reference_period_desc,short_desc,year,end_code,congr_district_code,asd_desc,watershed_code,freq_desc,country_name,watershed_desc,state_ansi,load_time,week_ending,commodity_desc,asd_code,unit_desc,statisticcat_desc,CV (%),county_name,domaincat_desc,region_desc,sector_desc,begin_code,domain_desc,source_desc,prodn_practice_desc,state_alpha,location_desc,Placements,Date,YoY_Growth,YoY_Growth_12_Period_Avg,Year,Month
99,,NATIONAL,BROILERS,"170,787,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #01,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,1,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-01-05,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,1,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,170787000.0,2013-01-05,,,2013.0,1.0
99,,NATIONAL,BROILERS,"171,052,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #02,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,2,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-01-12,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,2,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,171052000.0,2013-01-12,,,2013.0,1.0
99,,NATIONAL,BROILERS,"169,303,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #03,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,3,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-01-19,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,3,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,169303000.0,2013-01-19,,,2013.0,1.0
99,,NATIONAL,BROILERS,"169,552,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #04,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,4,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-01-26,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,4,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,169552000.0,2013-01-26,,,2013.0,1.0
99,,NATIONAL,BROILERS,"169,282,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #05,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,5,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-02-02,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,5,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,169282000.0,2013-02-02,,,2013.0,2.0
99,,NATIONAL,BROILERS,"169,284,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #06,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,6,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-02-09,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,6,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,169284000.0,2013-02-09,,,2013.0,2.0
99,,NATIONAL,BROILERS,"170,821,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #07,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,7,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-02-16,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,7,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,170821000.0,2013-02-16,,,2013.0,2.0
99,,NATIONAL,BROILERS,"170,735,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #08,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,8,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-02-23,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,8,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,170735000.0,2013-02-23,,,2013.0,2.0
99,,NATIONAL,BROILERS,"170,621,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #09,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,9,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-03-02,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,9,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,170621000.0,2013-03-02,,,2013.0,3.0
99,,NATIONAL,BROILERS,"171,821,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #10,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2013,10,,,0,WEEKLY,UNITED STATES,,,2015-04-14 15:07:16.000,2013-03-09,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,10,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,171821000.0,2013-03-09,,,2013.0,3.0
