state_fips_code,county_code,agg_level_desc,class_desc,Value,zip_5,country_code,county_ansi,group_desc,state_name,util_practice_desc,reference_period_desc,short_desc,year,end_code,congr_district_code,asd_desc,watershed_code,freq_desc,country_name,watershed_desc,state_ansi,load_time,week_ending,commodity_desc,asd_code,unit_desc,statisticcat_desc,CV (%),county_name,domaincat_desc,region_desc,sector_desc,begin_code,domain_desc,source_desc,prodn_practice_desc,state_alpha,location_desc,Year,Placements,Date,YoY_Growth,YoY_Growth_Rolling_Avg
99,,NATIONAL,BROILERS,"192,480,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #01,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2025,1,,,0,WEEKLY,UNITED STATES,,,2025-02-12 15:00:00.000,2025-01-04,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,1,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2025,192480000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"175,045,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #26,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,26,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-06-28,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,26,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,175045000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"173,632,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #27,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,27,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-07-05,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,27,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,173632000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"174,801,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #28,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,28,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-07-12,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,28,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,174801000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"173,810,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #29,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,29,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-07-19,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,29,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,173810000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"173,712,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #30,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,30,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-07-26,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,30,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,173712000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"175,634,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #31,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,31,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-08-02,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,31,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,175634000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"175,849,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #32,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,32,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-08-09,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,32,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,175849000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"174,880,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #33,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,33,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-08-16,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,33,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,174880000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"174,625,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #34,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,34,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-08-23,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,34,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,174625000.0,2025-01-01,,
99,,NATIONAL,BROILERS,"174,342,000",,9000,,POULTRY,US TOTAL,ALL UTILIZATION PRACTICES,WEEK #35,"CHICKENS, BROILERS - PLACEMENTS, MEASURED IN HEAD",2014,35,,,0,WEEKLY,UNITED STATES,,,2016-04-12 15:08:57.000,2014-08-30,CHICKENS,,HEAD,PLACEMENTS,,,NOT SPECIFIED,,ANIMALS & PRODUCTS,35,TOTAL,SURVEY,ALL PRODUCTION PRACTICES,US,US TOTAL,2014,174342000.0,2025-01-01,,
