Start_Date,Date,Projected_Date,Cumulative_Potential_Placements,YoY_Growth,YoY_Growth_LTM
2013-01-01,2013-09-01,2014-04-01,61457000.0,,
2013-02-01,2013-10-01,2014-05-01,61385000.0,,
2013-03-01,2013-11-01,2014-06-01,61444000.0,,
2013-04-01,2013-12-01,2014-07-01,61524000.0,,
2013-05-01,2014-01-01,2014-08-01,61772000.0,,
2013-06-01,2014-02-01,2014-09-01,61446000.0,,
2013-07-01,2014-03-01,2014-10-01,61225000.0,,
2013-08-01,2014-04-01,2014-11-01,61366000.0,,
2013-09-01,2014-05-01,2014-12-01,61835000.0,,
2013-10-01,2014-06-01,2015-01-01,62018000.0,,
2013-11-01,2014-07-01,2015-02-01,61999000.0,,
2013-12-01,2014-08-01,2015-03-01,62220000.0,,
2014-01-01,2014-09-01,2015-04-01,62804000.0,2.191776363961795,
2014-02-01,2014-10-01,2015-05-01,63157000.0,2.8866987048953296,
2014-03-01,2014-11-01,2015-06-01,63509000.0,3.3607838031378234,
2014-04-01,2014-12-01,2015-07-01,63514000.0,3.23451010987581,
2014-05-01,2015-01-01,2015-08-01,63748000.0,3.198860325066377,
2014-06-01,2015-02-01,2015-09-01,64040000.0,4.221592943397456,
2014-07-01,2015-03-01,2015-10-01,64106000.0,4.705594120049006,
2014-08-01,2015-04-01,2015-11-01,64889000.0,5.7409640517550375,
2014-09-01,2015-05-01,2015-12-01,64994000.0,5.108757176356438,
2014-10-01,2015-06-01,2016-01-01,65531000.0,5.664484504498701,
2014-11-01,2015-07-01,2016-02-01,66136000.0,6.6726882691656275,
2014-12-01,2015-08-01,2016-03-01,66452000.0,6.801671488267447,4.482365155035571
2015-01-01,2015-09-01,2016-04-01,68230000.0,8.639577097000185,5.01968188278877
2015-02-01,2015-10-01,2016-05-01,68149000.0,7.904111974919648,5.437799655290796
2015-03-01,2015-11-01,2016-06-01,67487000.0,6.263679163583125,5.679707601994572
2015-04-01,2015-12-01,2016-07-01,67871000.0,6.859904902856062,5.981823834742926
2015-05-01,2016-01-01,2016-08-01,67602000.0,6.045679864466336,6.219058796359589
2015-06-01,2016-02-01,2016-09-01,68159000.0,6.431917551530297,6.403252513703992
2015-07-01,2016-03-01,2016-10-01,68512000.0,6.872991607649825,6.583868971004061
2015-08-01,2016-04-01,2016-11-01,68699000.0,5.871565288415592,6.59475240739244
2015-09-01,2016-05-01,2016-12-01,68875000.0,5.971320429578109,6.6666326784942465
2015-10-01,2016-06-01,2017-01-01,68802000.0,4.9915307259159825,6.610553196945687
2015-11-01,2016-07-01,2017-02-01,69669000.0,5.342022499092769,6.499664382772949
2015-12-01,2016-08-01,2017-03-01,70129000.0,5.533317281646899,6.393968198887902
2016-01-01,2016-09-01,2017-04-01,70194000.0,2.8784991939029725,5.913878373629802
2016-02-01,2016-10-01,2017-05-01,70377000.0,3.2693069597499624,5.527644622365661
2016-03-01,2016-11-01,2017-06-01,69989000.0,3.707380680723693,5.314619748794041
2016-04-01,2016-12-01,2017-07-01,69381000.0,2.2248088285129253,4.9283617425987805
2016-05-01,2017-01-01,2017-08-01,68929000.0,1.962959675749243,4.58813506020569
2016-06-01,2017-02-01,2017-09-01,68678000.0,0.7614548335509674,4.115596500374078
2016-07-01,2017-03-01,2017-10-01,68440000.0,-0.1050910789350823,3.5340896098253363
2016-08-01,2017-04-01,2017-11-01,67755000.0,-1.3741102490574808,2.930283315035913
2016-09-01,2017-05-01,2017-12-01,68224000.0,-0.9451905626134294,2.353907399019952
2016-10-01,2017-06-01,2018-01-01,68872000.0,0.10174122845265643,1.946424940898008
2016-11-01,2017-07-01,2018-02-01,69047000.0,-0.8927930643471305,1.4268569772780164
2016-12-01,2017-08-01,2018-03-01,69492000.0,-0.9083260847866037,0.8900533634085578
2017-01-01,2017-09-01,2018-04-01,70197000.0,0.004273869561499666,0.6505345863801018
2017-02-01,2017-10-01,2018-05-01,70623000.0,0.34954601645424965,0.4072211744387923
2017-03-01,2017-11-01,2018-06-01,70734000.0,1.0644529854691553,0.18697719983424751
2017-04-01,2017-12-01,2018-07-01,70067000.0,0.9887433158934034,0.08397174044928735
2017-05-01,2018-01-01,2018-08-01,70155000.0,1.7786417908282504,0.0686119167058713
2017-06-01,2018-02-01,2018-09-01,69575000.0,1.306095110515737,0.11399860645293543
2017-07-01,2018-03-01,2018-10-01,69406000.0,1.4114552893045085,0.24037747047290134
2017-08-01,2018-04-01,2018-11-01,70010000.0,3.3281676629031143,0.6322339631362842
2017-09-01,2018-05-01,2018-12-01,70137000.0,2.803998592870549,0.9446663927599491
2017-10-01,2018-06-01,2019-01-01,70216000.0,1.951446160994319,1.0988084704717542
2017-11-01,2018-07-01,2019-02-01,70100000.0,1.5250481556041473,1.3002952388010274
2017-12-01,2018-08-01,2019-03-01,70500000.0,1.4505266793299887,1.4968663024774103
2018-01-01,2018-09-01,2019-04-01,71182000.0,1.4031938686838386,1.6134429690709384
2018-02-01,2018-10-01,2019-05-01,71318000.0,0.98409866474094,1.6663223564281626
2018-03-01,2018-11-01,2019-06-01,71640000.0,1.280855034354067,1.6843558605019053
2018-04-01,2018-12-01,2019-07-01,72147000.0,2.9685872093853094,1.8493428516262307
2018-05-01,2019-01-01,2019-08-01,71937000.0,2.540089801154588,1.912796852486759
2018-06-01,2019-02-01,2019-09-01,71537000.0,2.8199784405317896,2.0389537966547633
2018-07-01,2019-03-01,2019-10-01,71440000.0,2.9305823704002476,2.165547720079408
2018-08-01,2019-04-01,2019-11-01,71306000.0,1.851164119411508,2.0424640914551078
2018-09-01,2019-05-01,2019-12-01,71730000.0,2.2712690876427466,1.9980699660194574
2018-10-01,2019-06-01,2020-01-01,72170000.0,2.7828415176028187,2.067352912403499
2018-11-01,2019-07-01,2020-02-01,73411000.0,4.723252496433661,2.333869940805959
2018-12-01,2019-08-01,2020-03-01,73604000.0,4.4028368794326145,2.579895790814511
2019-01-01,2019-09-01,2020-04-01,73624000.0,3.4306425781798877,2.7488498499391816
2019-02-01,2019-10-01,2020-05-01,73677000.0,3.307720351103516,2.9424849904693957
2019-03-01,2019-11-01,2020-06-01,73936000.0,3.2049134561697334,3.1028231922873686
2019-04-01,2019-12-01,2020-07-01,74341000.0,3.041013486354238,3.1088587153681124
2019-05-01,2020-01-01,2020-08-01,74484000.0,3.540598023270358,3.192234400544427
2019-06-01,2020-02-01,2020-09-01,73852000.0,3.2360876189943655,3.226910165416308
2019-07-01,2020-03-01,2020-10-01,73682000.0,3.1382978723404342,3.2442197905779904
2019-08-01,2020-04-01,2020-11-01,73333000.0,2.8426780355089276,3.3268459502527747
2019-09-01,2020-05-01,2020-12-01,73427000.0,2.3658162554021978,3.334724880899396
2019-10-01,2020-06-01,2021-01-01,72886000.0,0.9921019814327359,3.1854965862185556
2019-11-01,2020-07-01,2021-02-01,73590000.0,0.2438326681287517,2.81221160052648
2019-12-01,2020-08-01,2021-03-01,73660000.0,0.07608282158577673,2.4516487623725767
2020-01-01,2020-09-01,2021-04-01,74741000.0,1.5171683146800063,2.292192573747587
2020-02-01,2020-10-01,2021-05-01,75331000.0,2.244933968538354,2.2036270418671564
2020-03-01,2020-11-01,2021-06-01,74992000.0,1.4282622808915901,2.0555727772606445
2020-04-01,2020-12-01,2021-07-01,74246000.0,-0.1277895104989213,1.7915058608562147
2020-05-01,2021-01-01,2021-08-01,74180000.0,-0.4081413457923899,1.4624442467676522
2020-06-01,2021-02-01,2021-09-01,74237000.0,0.521312896062387,1.236213019856654
2020-07-01,2021-03-01,2021-10-01,74395000.0,0.9676718872994705,1.0553275211032405
2020-08-01,2021-04-01,2021-11-01,74270000.0,1.2777330806049036,0.9249154415279053
2020-09-01,2021-05-01,2021-12-01,74767000.0,1.8249417789096611,0.8798425684868606
2020-10-01,2021-06-01,2022-01-01,74605000.0,2.358477622588695,0.9937072052498571
2020-11-01,2021-07-01,2022-02-01,75156000.0,2.1280065226253475,1.1507216931245734
2020-12-01,2021-08-01,2022-03-01,76097000.0,3.3084442030953065,1.4200851415837008
2021-01-01,2021-09-01,2022-04-01,77914000.0,4.245327196585547,1.647431715075829
2021-02-01,2021-10-01,2022-05-01,78385000.0,4.054107870597767,1.7981962069141135
2021-03-01,2021-11-01,2022-06-01,78126000.0,4.179112438660115,2.0274337200614907
2021-04-01,2021-12-01,2022-07-01,78880000.0,6.241413678851382,2.5582006525073493
2021-05-01,2022-01-01,2022-08-01,78650000.0,6.025882987328113,3.0943693469340574
2021-06-01,2022-02-01,2022-09-01,78441000.0,5.662944353893606,3.5228386350866594
2021-07-01,2022-03-01,2022-10-01,78191000.0,5.102493447140266,3.867407098406726
2021-08-01,2022-04-01,2022-11-01,77503000.0,4.353036219200224,4.123682359956336
2021-09-01,2022-05-01,2022-12-01,77234000.0,3.2995840410876554,4.246569215137836
2021-10-01,2022-06-01,2023-01-01,76325000.0,2.3054755043227626,4.2421523719490075
2021-11-01,2022-07-01,2023-02-01,75295000.0,0.18494864016178614,4.08023088174371
2021-12-01,2022-08-01,2023-03-01,74989000.0,-1.4560363746271232,3.6831908336001753
2022-01-01,2022-09-01,2023-04-01,74146000.0,-4.836101342505838,2.926405122009226
2022-02-01,2022-10-01,2023-05-01,73568000.0,-6.145308413599537,2.076453764992784
2022-03-01,2022-11-01,2023-06-01,72731000.0,-6.905511609451398,1.1527350943168246
2022-04-01,2022-12-01,2023-07-01,72593000.0,-7.970334685598379,-0.031577269387321895
2022-05-01,2023-01-01,2023-08-01,72668000.0,-7.605848696757789,-1.1675549097278137
2022-06-01,2023-02-01,2023-09-01,71906000.0,-8.33110235718566,-2.333725468984419
2022-07-01,2023-03-01,2023-10-01,72188000.0,-7.677354171196171,-3.398712770512456
2022-08-01,2023-04-01,2023-11-01,72769000.0,-6.108150652232814,-4.270478343131876
2022-09-01,2023-05-01,2023-12-01,73732000.0,-4.534272470673539,-4.9232997191119745
2022-10-01,2023-06-01,2024-01-01,75299000.0,-1.3442515558467094,-5.227443640792765
2022-11-01,2023-07-01,2024-02-01,76516000.0,1.6216216216216273,-5.1077208923377775
2022-12-01,2023-08-01,2024-03-01,77096000.0,2.8097454293296353,-4.7522390753413815
2023-01-01,2023-09-01,2024-04-01,76848000.0,3.64416151916489,-4.045550503535487
2023-02-01,2023-10-01,2024-05-01,76849000.0,4.459819486733352,-3.1617898451744133
2023-03-01,2023-11-01,2024-06-01,77350000.0,6.3507995215245305,-2.0570972509264185
2023-04-01,2023-12-01,2024-07-01,78008000.0,7.459396911547955,-0.7712862844975578
2023-05-01,2024-01-01,2024-08-01,77327000.0,6.4113502504541175,0.39681362777010126
2023-06-01,2024-02-01,2024-09-01,76881000.0,6.918755041303926,1.6676350776442332
2023-07-01,2024-03-01,2024-10-01,76590000.0,6.097966421011813,2.8155784603282323
2023-08-01,2024-04-01,2024-11-01,76223000.0,4.746526680317165,3.720134904707397
2023-09-01,2024-05-01,2024-12-01,76213000.0,3.364889057668319,4.378398365402552
2023-10-01,2024-06-01,2025-01-01,77087000.0,2.374533526341649,4.688297122251582
2023-11-01,2024-07-01,2025-02-01,76843000.0,0.42736159757437164,4.588775453580976
2023-12-01,2024-08-01,2025-03-01,77337000.0,0.3125972813116107,4.380679774579475
2024-01-01,2024-09-01,2025-04-01,77528000.0,0.8848636268998566,4.150738283557389
2024-02-01,2024-10-01,2025-05-01,78150000.0,1.6929302918710754,3.920164183985533
2024-03-01,2024-11-01,2025-06-01,78216000.0,1.1195862960568848,3.484229748529895
2024-04-01,2024-12-01,2025-07-01,77934000.0,-0.09486206542919096,2.854708167115133
2024-05-01,2025-01-01,2025-08-01,77556000.0,0.29614494290479687,2.3451077248193566
2024-06-01,2025-02-01,2025-09-01,77547000.0,0.8662738517969393,1.840734292360441
